sdfg_name,size,rep,time_seconds
division_by_zero_dace,4718592,0,1306
division_by_zero_dace,4718592,1,980
division_by_zero_dace,4718592,2,730
division_by_zero_dace,4718592,3,654
division_by_zero_dace,4718592,4,634
division_by_zero_dace,4718592,5,645
division_by_zero_dace,4718592,6,671
division_by_zero_dace,4718592,7,631
division_by_zero_dace,4718592,8,624
division_by_zero_dace,4718592,9,617
division_by_zero_dace,4718592,10,612
division_by_zero_dace,4718592,11,618
division_by_zero_dace,4718592,12,610
division_by_zero_dace,4718592,13,624
division_by_zero_dace,4718592,14,620
division_by_zero_dace,4718592,15,609
division_by_zero_dace,4718592,16,603
division_by_zero_dace,4718592,17,611
division_by_zero_dace,4718592,18,609
division_by_zero_dace,4718592,19,606
division_by_zero_dace_clang__no_vectorize_veclen_8_no_cpy,4718592,0,1015
division_by_zero_dace_clang__no_vectorize_veclen_8_no_cpy,4718592,1,906
division_by_zero_dace_clang__no_vectorize_veclen_8_no_cpy,4718592,2,818
division_by_zero_dace_clang__no_vectorize_veclen_8_no_cpy,4718592,3,641
division_by_zero_dace_clang__no_vectorize_veclen_8_no_cpy,4718592,4,812
division_by_zero_dace_clang__no_vectorize_veclen_8_no_cpy,4718592,5,799
division_by_zero_dace_clang__no_vectorize_veclen_8_no_cpy,4718592,6,814
division_by_zero_dace_clang__no_vectorize_veclen_8_no_cpy,4718592,7,860
division_by_zero_dace_clang__no_vectorize_veclen_8_no_cpy,4718592,8,821
division_by_zero_dace_clang__no_vectorize_veclen_8_no_cpy,4718592,9,790
division_by_zero_dace_clang__no_vectorize_veclen_8_no_cpy,4718592,10,791
division_by_zero_dace_clang__no_vectorize_veclen_8_no_cpy,4718592,11,830
division_by_zero_dace_clang__no_vectorize_veclen_8_no_cpy,4718592,12,806
division_by_zero_dace_clang__no_vectorize_veclen_8_no_cpy,4718592,13,790
division_by_zero_dace_clang__no_vectorize_veclen_8_no_cpy,4718592,14,798
division_by_zero_dace_clang__no_vectorize_veclen_8_no_cpy,4718592,15,796
division_by_zero_dace_clang__no_vectorize_veclen_8_no_cpy,4718592,16,798
division_by_zero_dace_clang__no_vectorize_veclen_8_no_cpy,4718592,17,788
division_by_zero_dace_clang__no_vectorize_veclen_8_no_cpy,4718592,18,782
division_by_zero_dace_clang__no_vectorize_veclen_8_no_cpy,4718592,19,619
division_by_zero_dace_clang__no_vectorize_veclen_8_cpy,4718592,0,865
division_by_zero_dace_clang__no_vectorize_veclen_8_cpy,4718592,1,710
division_by_zero_dace_clang__no_vectorize_veclen_8_cpy,4718592,2,593
division_by_zero_dace_clang__no_vectorize_veclen_8_cpy,4718592,3,572
division_by_zero_dace_clang__no_vectorize_veclen_8_cpy,4718592,4,588
division_by_zero_dace_clang__no_vectorize_veclen_8_cpy,4718592,5,588
division_by_zero_dace_clang__no_vectorize_veclen_8_cpy,4718592,6,569
division_by_zero_dace_clang__no_vectorize_veclen_8_cpy,4718592,7,573
division_by_zero_dace_clang__no_vectorize_veclen_8_cpy,4718592,8,576
division_by_zero_dace_clang__no_vectorize_veclen_8_cpy,4718592,9,574
division_by_zero_dace_clang__no_vectorize_veclen_8_cpy,4718592,10,569
division_by_zero_dace_clang__no_vectorize_veclen_8_cpy,4718592,11,571
division_by_zero_dace_clang__no_vectorize_veclen_8_cpy,4718592,12,575
division_by_zero_dace_clang__no_vectorize_veclen_8_cpy,4718592,13,581
division_by_zero_dace_clang__no_vectorize_veclen_8_cpy,4718592,14,570
division_by_zero_dace_clang__no_vectorize_veclen_8_cpy,4718592,15,578
division_by_zero_dace_clang__no_vectorize_veclen_8_cpy,4718592,16,576
division_by_zero_dace_clang__no_vectorize_veclen_8_cpy,4718592,17,566
division_by_zero_dace_clang__no_vectorize_veclen_8_cpy,4718592,18,571
division_by_zero_dace_clang__no_vectorize_veclen_8_cpy,4718592,19,567
division_by_zero_dace_clang__no_vectorize_veclen_16_no_cpy,4718592,0,1094
division_by_zero_dace_clang__no_vectorize_veclen_16_no_cpy,4718592,1,977
division_by_zero_dace_clang__no_vectorize_veclen_16_no_cpy,4718592,2,924
division_by_zero_dace_clang__no_vectorize_veclen_16_no_cpy,4718592,3,914
division_by_zero_dace_clang__no_vectorize_veclen_16_no_cpy,4718592,4,913
division_by_zero_dace_clang__no_vectorize_veclen_16_no_cpy,4718592,5,916
division_by_zero_dace_clang__no_vectorize_veclen_16_no_cpy,4718592,6,637
division_by_zero_dace_clang__no_vectorize_veclen_16_no_cpy,4718592,7,630
division_by_zero_dace_clang__no_vectorize_veclen_16_no_cpy,4718592,8,900
division_by_zero_dace_clang__no_vectorize_veclen_16_no_cpy,4718592,9,894
division_by_zero_dace_clang__no_vectorize_veclen_16_no_cpy,4718592,10,894
division_by_zero_dace_clang__no_vectorize_veclen_16_no_cpy,4718592,11,917
division_by_zero_dace_clang__no_vectorize_veclen_16_no_cpy,4718592,12,913
division_by_zero_dace_clang__no_vectorize_veclen_16_no_cpy,4718592,13,895
division_by_zero_dace_clang__no_vectorize_veclen_16_no_cpy,4718592,14,900
division_by_zero_dace_clang__no_vectorize_veclen_16_no_cpy,4718592,15,902
division_by_zero_dace_clang__no_vectorize_veclen_16_no_cpy,4718592,16,903
division_by_zero_dace_clang__no_vectorize_veclen_16_no_cpy,4718592,17,903
division_by_zero_dace_clang__no_vectorize_veclen_16_no_cpy,4718592,18,903
division_by_zero_dace_clang__no_vectorize_veclen_16_no_cpy,4718592,19,895
division_by_zero_dace_clang__no_vectorize_veclen_16_cpy,4718592,0,973
division_by_zero_dace_clang__no_vectorize_veclen_16_cpy,4718592,1,700
division_by_zero_dace_clang__no_vectorize_veclen_16_cpy,4718592,2,605
division_by_zero_dace_clang__no_vectorize_veclen_16_cpy,4718592,3,593
division_by_zero_dace_clang__no_vectorize_veclen_16_cpy,4718592,4,588
division_by_zero_dace_clang__no_vectorize_veclen_16_cpy,4718592,5,599
division_by_zero_dace_clang__no_vectorize_veclen_16_cpy,4718592,6,589
division_by_zero_dace_clang__no_vectorize_veclen_16_cpy,4718592,7,581
division_by_zero_dace_clang__no_vectorize_veclen_16_cpy,4718592,8,584
division_by_zero_dace_clang__no_vectorize_veclen_16_cpy,4718592,9,592
division_by_zero_dace_clang__no_vectorize_veclen_16_cpy,4718592,10,582
division_by_zero_dace_clang__no_vectorize_veclen_16_cpy,4718592,11,582
division_by_zero_dace_clang__no_vectorize_veclen_16_cpy,4718592,12,578
division_by_zero_dace_clang__no_vectorize_veclen_16_cpy,4718592,13,575
division_by_zero_dace_clang__no_vectorize_veclen_16_cpy,4718592,14,581
division_by_zero_dace_clang__no_vectorize_veclen_16_cpy,4718592,15,583
division_by_zero_dace_clang__no_vectorize_veclen_16_cpy,4718592,16,571
division_by_zero_dace_clang__no_vectorize_veclen_16_cpy,4718592,17,582
division_by_zero_dace_clang__no_vectorize_veclen_16_cpy,4718592,18,580
division_by_zero_dace_clang__no_vectorize_veclen_16_cpy,4718592,19,575
division_by_zero_dace_clang__no_vectorize_veclen_32_no_cpy,4718592,0,916
division_by_zero_dace_clang__no_vectorize_veclen_32_no_cpy,4718592,1,727
division_by_zero_dace_clang__no_vectorize_veclen_32_no_cpy,4718592,2,617
division_by_zero_dace_clang__no_vectorize_veclen_32_no_cpy,4718592,3,604
division_by_zero_dace_clang__no_vectorize_veclen_32_no_cpy,4718592,4,607
division_by_zero_dace_clang__no_vectorize_veclen_32_no_cpy,4718592,5,608
division_by_zero_dace_clang__no_vectorize_veclen_32_no_cpy,4718592,6,588
division_by_zero_dace_clang__no_vectorize_veclen_32_no_cpy,4718592,7,595
division_by_zero_dace_clang__no_vectorize_veclen_32_no_cpy,4718592,8,597
division_by_zero_dace_clang__no_vectorize_veclen_32_no_cpy,4718592,9,607
division_by_zero_dace_clang__no_vectorize_veclen_32_no_cpy,4718592,10,594
division_by_zero_dace_clang__no_vectorize_veclen_32_no_cpy,4718592,11,594
division_by_zero_dace_clang__no_vectorize_veclen_32_no_cpy,4718592,12,595
division_by_zero_dace_clang__no_vectorize_veclen_32_no_cpy,4718592,13,656
division_by_zero_dace_clang__no_vectorize_veclen_32_no_cpy,4718592,14,627
division_by_zero_dace_clang__no_vectorize_veclen_32_no_cpy,4718592,15,619
division_by_zero_dace_clang__no_vectorize_veclen_32_no_cpy,4718592,16,604
division_by_zero_dace_clang__no_vectorize_veclen_32_no_cpy,4718592,17,594
division_by_zero_dace_clang__no_vectorize_veclen_32_no_cpy,4718592,18,587
division_by_zero_dace_clang__no_vectorize_veclen_32_no_cpy,4718592,19,587
division_by_zero_dace_clang__no_vectorize_veclen_32_cpy,4718592,0,870
division_by_zero_dace_clang__no_vectorize_veclen_32_cpy,4718592,1,706
division_by_zero_dace_clang__no_vectorize_veclen_32_cpy,4718592,2,620
division_by_zero_dace_clang__no_vectorize_veclen_32_cpy,4718592,3,590
division_by_zero_dace_clang__no_vectorize_veclen_32_cpy,4718592,4,586
division_by_zero_dace_clang__no_vectorize_veclen_32_cpy,4718592,5,598
division_by_zero_dace_clang__no_vectorize_veclen_32_cpy,4718592,6,601
division_by_zero_dace_clang__no_vectorize_veclen_32_cpy,4718592,7,595
division_by_zero_dace_clang__no_vectorize_veclen_32_cpy,4718592,8,588
division_by_zero_dace_clang__no_vectorize_veclen_32_cpy,4718592,9,584
division_by_zero_dace_clang__no_vectorize_veclen_32_cpy,4718592,10,586
division_by_zero_dace_clang__no_vectorize_veclen_32_cpy,4718592,11,583
