sdfg_name,size,rep,time_seconds
exp_implementations_std,4718592,0,8709
exp_implementations_std,4718592,1,8672
exp_implementations_std,4718592,2,8649
exp_implementations_std,4718592,3,8667
exp_implementations_std,4718592,4,8659
exp_implementations_std,4718592,5,8636
exp_implementations_std,4718592,6,8647
exp_implementations_std,4718592,7,8609
exp_implementations_std,4718592,8,8631
exp_implementations_std,4718592,9,8611
exp_implementations_std,4718592,10,8626
exp_implementations_std,4718592,11,8587
exp_implementations_std,4718592,12,8613
exp_implementations_std,4718592,13,8607
exp_implementations_std,4718592,14,8589
exp_implementations_std,4718592,15,8558
exp_implementations_std,4718592,16,8597
exp_implementations_std,4718592,17,8579
exp_implementations_std,4718592,18,8574
exp_implementations_std,4718592,19,8579
exp_implementations_std_icpx__force_width_512_veclen_8_no_cpy,4718592,0,9501
exp_implementations_std_icpx__force_width_512_veclen_8_no_cpy,4718592,1,9440
exp_implementations_std_icpx__force_width_512_veclen_8_no_cpy,4718592,2,9439
exp_implementations_std_icpx__force_width_512_veclen_8_no_cpy,4718592,3,9452
exp_implementations_std_icpx__force_width_512_veclen_8_no_cpy,4718592,4,9411
exp_implementations_std_icpx__force_width_512_veclen_8_no_cpy,4718592,5,9432
exp_implementations_std_icpx__force_width_512_veclen_8_no_cpy,4718592,6,9441
exp_implementations_std_icpx__force_width_512_veclen_8_no_cpy,4718592,7,9403
exp_implementations_std_icpx__force_width_512_veclen_8_no_cpy,4718592,8,9370
exp_implementations_std_icpx__force_width_512_veclen_8_no_cpy,4718592,9,9413
exp_implementations_std_icpx__force_width_512_veclen_8_no_cpy,4718592,10,9364
exp_implementations_std_icpx__force_width_512_veclen_8_no_cpy,4718592,11,9376
exp_implementations_std_icpx__force_width_512_veclen_8_no_cpy,4718592,12,9355
exp_implementations_std_icpx__force_width_512_veclen_8_no_cpy,4718592,13,9379
exp_implementations_std_icpx__force_width_512_veclen_8_no_cpy,4718592,14,9373
exp_implementations_std_icpx__force_width_512_veclen_8_no_cpy,4718592,15,9341
exp_implementations_std_icpx__force_width_512_veclen_8_no_cpy,4718592,16,9343
exp_implementations_std_icpx__force_width_512_veclen_8_no_cpy,4718592,17,9361
exp_implementations_std_icpx__force_width_512_veclen_8_no_cpy,4718592,18,9327
exp_implementations_std_icpx__force_width_512_veclen_8_no_cpy,4718592,19,9372
exp_implementations_std_icpx__force_width_512_veclen_8_cpy,4718592,0,9567
exp_implementations_std_icpx__force_width_512_veclen_8_cpy,4718592,1,9559
exp_implementations_std_icpx__force_width_512_veclen_8_cpy,4718592,2,9485
exp_implementations_std_icpx__force_width_512_veclen_8_cpy,4718592,3,9489
exp_implementations_std_icpx__force_width_512_veclen_8_cpy,4718592,4,9481
exp_implementations_std_icpx__force_width_512_veclen_8_cpy,4718592,5,9502
exp_implementations_std_icpx__force_width_512_veclen_8_cpy,4718592,6,9453
exp_implementations_std_icpx__force_width_512_veclen_8_cpy,4718592,7,9490
exp_implementations_std_icpx__force_width_512_veclen_8_cpy,4718592,8,9409
exp_implementations_std_icpx__force_width_512_veclen_8_cpy,4718592,9,9467
exp_implementations_std_icpx__force_width_512_veclen_8_cpy,4718592,10,9424
exp_implementations_std_icpx__force_width_512_veclen_8_cpy,4718592,11,9410
exp_implementations_std_icpx__force_width_512_veclen_8_cpy,4718592,12,9412
exp_implementations_std_icpx__force_width_512_veclen_8_cpy,4718592,13,9397
exp_implementations_std_icpx__force_width_512_veclen_8_cpy,4718592,14,9422
exp_implementations_std_icpx__force_width_512_veclen_8_cpy,4718592,15,9385
exp_implementations_std_icpx__force_width_512_veclen_8_cpy,4718592,16,9367
exp_implementations_std_icpx__force_width_512_veclen_8_cpy,4718592,17,9407
exp_implementations_std_icpx__force_width_512_veclen_8_cpy,4718592,18,9377
exp_implementations_std_icpx__force_width_512_veclen_8_cpy,4718592,19,9335
exp_implementations_std_icpx__force_width_512_veclen_16_no_cpy,4718592,0,9423
exp_implementations_std_icpx__force_width_512_veclen_16_no_cpy,4718592,1,9448
exp_implementations_std_icpx__force_width_512_veclen_16_no_cpy,4718592,2,9443
exp_implementations_std_icpx__force_width_512_veclen_16_no_cpy,4718592,3,9421
exp_implementations_std_icpx__force_width_512_veclen_16_no_cpy,4718592,4,9421
exp_implementations_std_icpx__force_width_512_veclen_16_no_cpy,4718592,5,9395
exp_implementations_std_icpx__force_width_512_veclen_16_no_cpy,4718592,6,9409
exp_implementations_std_icpx__force_width_512_veclen_16_no_cpy,4718592,7,9409
exp_implementations_std_icpx__force_width_512_veclen_16_no_cpy,4718592,8,9349
exp_implementations_std_icpx__force_width_512_veclen_16_no_cpy,4718592,9,9375
exp_implementations_std_icpx__force_width_512_veclen_16_no_cpy,4718592,10,9392
exp_implementations_std_icpx__force_width_512_veclen_16_no_cpy,4718592,11,9359
exp_implementations_std_icpx__force_width_512_veclen_16_no_cpy,4718592,12,9339
exp_implementations_std_icpx__force_width_512_veclen_16_no_cpy,4718592,13,9377
exp_implementations_std_icpx__force_width_512_veclen_16_no_cpy,4718592,14,9356
exp_implementations_std_icpx__force_width_512_veclen_16_no_cpy,4718592,15,9331
exp_implementations_std_icpx__force_width_512_veclen_16_no_cpy,4718592,16,9355
exp_implementations_std_icpx__force_width_512_veclen_16_no_cpy,4718592,17,9317
exp_implementations_std_icpx__force_width_512_veclen_16_no_cpy,4718592,18,9329
exp_implementations_std_icpx__force_width_512_veclen_16_no_cpy,4718592,19,9334
exp_implementations_std_icpx__force_width_512_veclen_16_cpy,4718592,0,9543
exp_implementations_std_icpx__force_width_512_veclen_16_cpy,4718592,1,9610
exp_implementations_std_icpx__force_width_512_veclen_16_cpy,4718592,2,9530
exp_implementations_std_icpx__force_width_512_veclen_16_cpy,4718592,3,9508
exp_implementations_std_icpx__force_width_512_veclen_16_cpy,4718592,4,9513
exp_implementations_std_icpx__force_width_512_veclen_16_cpy,4718592,5,9480
exp_implementations_std_icpx__force_width_512_veclen_16_cpy,4718592,6,9443
exp_implementations_std_icpx__force_width_512_veclen_16_cpy,4718592,7,9451
exp_implementations_std_icpx__force_width_512_veclen_16_cpy,4718592,8,9396
exp_implementations_std_icpx__force_width_512_veclen_16_cpy,4718592,9,9444
exp_implementations_std_icpx__force_width_512_veclen_16_cpy,4718592,10,9392
exp_implementations_std_icpx__force_width_512_veclen_16_cpy,4718592,11,9409
exp_implementations_std_icpx__force_width_512_veclen_16_cpy,4718592,12,9390
exp_implementations_std_icpx__force_width_512_veclen_16_cpy,4718592,13,9578
exp_implementations_std_icpx__force_width_512_veclen_16_cpy,4718592,14,9625
exp_implementations_std_icpx__force_width_512_veclen_16_cpy,4718592,15,9597
exp_implementations_std_icpx__force_width_512_veclen_16_cpy,4718592,16,9598
exp_implementations_std_icpx__force_width_512_veclen_16_cpy,4718592,17,9557
exp_implementations_std_icpx__force_width_512_veclen_16_cpy,4718592,18,9593
exp_implementations_std_icpx__force_width_512_veclen_16_cpy,4718592,19,9503
exp_implementations_std_icpx__force_width_512_veclen_32_no_cpy,4718592,0,9909
exp_implementations_std_icpx__force_width_512_veclen_32_no_cpy,4718592,1,9877
exp_implementations_std_icpx__force_width_512_veclen_32_no_cpy,4718592,2,9879
exp_implementations_std_icpx__force_width_512_veclen_32_no_cpy,4718592,3,9857
exp_implementations_std_icpx__force_width_512_veclen_32_no_cpy,4718592,4,9844
exp_implementations_std_icpx__force_width_512_veclen_32_no_cpy,4718592,5,9822
exp_implementations_std_icpx__force_width_512_veclen_32_no_cpy,4718592,6,9826
exp_implementations_std_icpx__force_width_512_veclen_32_no_cpy,4718592,7,9865
exp_implementations_std_icpx__force_width_512_veclen_32_no_cpy,4718592,8,9805
