sdfg_name,size,rep,time_seconds
exp_implementations_std,4718592,0,243
exp_implementations_std,4718592,1,213
exp_implementations_std,4718592,2,197
exp_implementations_std,4718592,3,196
exp_implementations_std,4718592,4,207
exp_implementations_std,4718592,5,198
exp_implementations_std,4718592,6,198
exp_implementations_std,4718592,7,203
exp_implementations_std,4718592,8,197
exp_implementations_std,4718592,9,194
exp_implementations_std,4718592,10,195
exp_implementations_std,4718592,11,195
exp_implementations_std,4718592,12,191
exp_implementations_std,4718592,13,194
exp_implementations_std,4718592,14,193
exp_implementations_std,4718592,15,202
exp_implementations_std,4718592,16,195
exp_implementations_std,4718592,17,197
exp_implementations_std,4718592,18,198
exp_implementations_std,4718592,19,197
exp_implementations_std_clang__libmvec_veclen_4_no_cpy,4718592,0,236
exp_implementations_std_clang__libmvec_veclen_4_no_cpy,4718592,1,223
exp_implementations_std_clang__libmvec_veclen_4_no_cpy,4718592,2,202
exp_implementations_std_clang__libmvec_veclen_4_no_cpy,4718592,3,195
exp_implementations_std_clang__libmvec_veclen_4_no_cpy,4718592,4,198
exp_implementations_std_clang__libmvec_veclen_4_no_cpy,4718592,5,202
exp_implementations_std_clang__libmvec_veclen_4_no_cpy,4718592,6,198
exp_implementations_std_clang__libmvec_veclen_4_no_cpy,4718592,7,196
exp_implementations_std_clang__libmvec_veclen_4_no_cpy,4718592,8,199
exp_implementations_std_clang__libmvec_veclen_4_no_cpy,4718592,9,199
exp_implementations_std_clang__libmvec_veclen_4_no_cpy,4718592,10,200
exp_implementations_std_clang__libmvec_veclen_4_no_cpy,4718592,11,197
exp_implementations_std_clang__libmvec_veclen_4_no_cpy,4718592,12,203
exp_implementations_std_clang__libmvec_veclen_4_no_cpy,4718592,13,200
exp_implementations_std_clang__libmvec_veclen_4_no_cpy,4718592,14,202
exp_implementations_std_clang__libmvec_veclen_4_no_cpy,4718592,15,199
exp_implementations_std_clang__libmvec_veclen_4_no_cpy,4718592,16,204
exp_implementations_std_clang__libmvec_veclen_4_no_cpy,4718592,17,202
exp_implementations_std_clang__libmvec_veclen_4_no_cpy,4718592,18,202
exp_implementations_std_clang__libmvec_veclen_4_no_cpy,4718592,19,209
exp_implementations_std_clang__libmvec_veclen_4_cpy,4718592,0,252
exp_implementations_std_clang__libmvec_veclen_4_cpy,4718592,1,215
exp_implementations_std_clang__libmvec_veclen_4_cpy,4718592,2,209
exp_implementations_std_clang__libmvec_veclen_4_cpy,4718592,3,201
exp_implementations_std_clang__libmvec_veclen_4_cpy,4718592,4,199
exp_implementations_std_clang__libmvec_veclen_4_cpy,4718592,5,195
exp_implementations_std_clang__libmvec_veclen_4_cpy,4718592,6,196
exp_implementations_std_clang__libmvec_veclen_4_cpy,4718592,7,199
exp_implementations_std_clang__libmvec_veclen_4_cpy,4718592,8,194
exp_implementations_std_clang__libmvec_veclen_4_cpy,4718592,9,191
exp_implementations_std_clang__libmvec_veclen_4_cpy,4718592,10,189
exp_implementations_std_clang__libmvec_veclen_4_cpy,4718592,11,195
exp_implementations_std_clang__libmvec_veclen_4_cpy,4718592,12,191
exp_implementations_std_clang__libmvec_veclen_4_cpy,4718592,13,196
exp_implementations_std_clang__libmvec_veclen_4_cpy,4718592,14,189
exp_implementations_std_clang__libmvec_veclen_4_cpy,4718592,15,196
exp_implementations_std_clang__libmvec_veclen_4_cpy,4718592,16,200
exp_implementations_std_clang__libmvec_veclen_4_cpy,4718592,17,199
exp_implementations_std_clang__libmvec_veclen_4_cpy,4718592,18,192
exp_implementations_std_clang__libmvec_veclen_4_cpy,4718592,19,194
exp_implementations_std_clang__libmvec_veclen_8_no_cpy,4718592,0,277
exp_implementations_std_clang__libmvec_veclen_8_no_cpy,4718592,1,218
exp_implementations_std_clang__libmvec_veclen_8_no_cpy,4718592,2,231
exp_implementations_std_clang__libmvec_veclen_8_no_cpy,4718592,3,208
exp_implementations_std_clang__libmvec_veclen_8_no_cpy,4718592,4,203
exp_implementations_std_clang__libmvec_veclen_8_no_cpy,4718592,5,199
exp_implementations_std_clang__libmvec_veclen_8_no_cpy,4718592,6,205
exp_implementations_std_clang__libmvec_veclen_8_no_cpy,4718592,7,202
exp_implementations_std_clang__libmvec_veclen_8_no_cpy,4718592,8,205
exp_implementations_std_clang__libmvec_veclen_8_no_cpy,4718592,9,208
exp_implementations_std_clang__libmvec_veclen_8_no_cpy,4718592,10,206
exp_implementations_std_clang__libmvec_veclen_8_no_cpy,4718592,11,208
exp_implementations_std_clang__libmvec_veclen_8_no_cpy,4718592,12,208
exp_implementations_std_clang__libmvec_veclen_8_no_cpy,4718592,13,205
exp_implementations_std_clang__libmvec_veclen_8_no_cpy,4718592,14,208
exp_implementations_std_clang__libmvec_veclen_8_no_cpy,4718592,15,208
exp_implementations_std_clang__libmvec_veclen_8_no_cpy,4718592,16,205
exp_implementations_std_clang__libmvec_veclen_8_no_cpy,4718592,17,205
exp_implementations_std_clang__libmvec_veclen_8_no_cpy,4718592,18,202
exp_implementations_std_clang__libmvec_veclen_8_no_cpy,4718592,19,205
exp_implementations_std_clang__libmvec_veclen_8_cpy,4718592,0,268
exp_implementations_std_clang__libmvec_veclen_8_cpy,4718592,1,203
exp_implementations_std_clang__libmvec_veclen_8_cpy,4718592,2,228
exp_implementations_std_clang__libmvec_veclen_8_cpy,4718592,3,209
exp_implementations_std_clang__libmvec_veclen_8_cpy,4718592,4,208
exp_implementations_std_clang__libmvec_veclen_8_cpy,4718592,5,206
exp_implementations_std_clang__libmvec_veclen_8_cpy,4718592,6,210
exp_implementations_std_clang__libmvec_veclen_8_cpy,4718592,7,218
exp_implementations_std_clang__libmvec_veclen_8_cpy,4718592,8,220
exp_implementations_std_clang__libmvec_veclen_8_cpy,4718592,9,214
exp_implementations_std_clang__libmvec_veclen_8_cpy,4718592,10,206
exp_implementations_std_clang__libmvec_veclen_8_cpy,4718592,11,196
exp_implementations_std_clang__libmvec_veclen_8_cpy,4718592,12,202
exp_implementations_std_clang__libmvec_veclen_8_cpy,4718592,13,201
exp_implementations_std_clang__libmvec_veclen_8_cpy,4718592,14,199
exp_implementations_std_clang__libmvec_veclen_8_cpy,4718592,15,201
exp_implementations_std_clang__libmvec_veclen_8_cpy,4718592,16,204
exp_implementations_std_clang__libmvec_veclen_8_cpy,4718592,17,201
exp_implementations_std_clang__libmvec_veclen_8_cpy,4718592,18,197
exp_implementations_std_clang__libmvec_veclen_8_cpy,4718592,19,199
exp_implementations_std_clang__libmvec_veclen_16_no_cpy,4718592,0,221
exp_implementations_std_clang__libmvec_veclen_16_no_cpy,4718592,1,225
exp_implementations_std_clang__libmvec_veclen_16_no_cpy,4718592,2,224
exp_implementations_std_clang__libmvec_veclen_16_no_cpy,4718592,3,214
exp_implementations_std_clang__libmvec_veclen_16_no_cpy,4718592,4,222
exp_implementations_std_clang__libmvec_veclen_16_no_cpy,4718592,5,201
exp_implementations_std_clang__libmvec_veclen_16_no_cpy,4718592,6,204
exp_implementations_std_clang__libmvec_veclen_16_no_cpy,4718592,7,200
exp_implementations_std_clang__libmvec_veclen_16_no_cpy,4718592,8,204
exp_implementations_std_clang__libmvec_veclen_16_no_cpy,4718592,9,200
exp_implementations_std_clang__libmvec_veclen_16_no_cpy,4718592,10,207
exp_implementations_std_clang__libmvec_veclen_16_no_cpy,4718592,11,201
exp_implementations_std_clang__libmvec_veclen_16_no_cpy,4718592,12,209
exp_implementations_std_clang__libmvec_veclen_16_no_cpy,4718592,13,200
exp_implementations_std_clang__libmvec_veclen_16_no_cpy,4718592,14,209
exp_implementations_std_clang__libmvec_veclen_16_no_cpy,4718592,15,200
exp_implementations_std_clang__libmvec_veclen_16_no_cpy,4718592,16,206
exp_implementations_std_clang__libmvec_veclen_16_no_cpy,4718592,17,208
exp_implementations_std_clang__libmvec_veclen_16_no_cpy,4718592,18,201
exp_implementations_std_clang__libmvec_veclen_16_no_cpy,4718592,19,205
exp_implementations_std_clang__libmvec_veclen_16_cpy,4718592,0,224
exp_implementations_std_clang__libmvec_veclen_16_cpy,4718592,1,251
exp_implementations_std_clang__libmvec_veclen_16_cpy,4718592,2,231
exp_implementations_std_clang__libmvec_veclen_16_cpy,4718592,3,240
exp_implementations_std_clang__libmvec_veclen_16_cpy,4718592,4,241
exp_implementations_std_clang__libmvec_veclen_16_cpy,4718592,5,237
exp_implementations_std_clang__libmvec_veclen_16_cpy,4718592,6,242
exp_implementations_std_clang__libmvec_veclen_16_cpy,4718592,7,242
exp_implementations_std_clang__libmvec_veclen_16_cpy,4718592,8,244
exp_implementations_std_clang__libmvec_veclen_16_cpy,4718592,9,250
exp_implementations_std_clang__libmvec_veclen_16_cpy,4718592,10,245
exp_implementations_std_clang__libmvec_veclen_16_cpy,4718592,11,243
exp_implementations_std_clang__libmvec_veclen_16_cpy,4718592,12,242
exp_implementations_std_clang__libmvec_veclen_16_cpy,4718592,13,243
exp_implementations_std_clang__libmvec_veclen_16_cpy,4718592,14,240
exp_implementations_std_clang__libmvec_veclen_16_cpy,4718592,15,244
exp_implementations_std_clang__libmvec_veclen_16_cpy,4718592,16,244
exp_implementations_std_clang__libmvec_veclen_16_cpy,4718592,17,249
exp_implementations_std_clang__libmvec_veclen_16_cpy,4718592,18,247
exp_implementations_std_clang__libmvec_veclen_16_cpy,4718592,19,245
exp_implementations_std_clang__libmvec_veclen_32_no_cpy,4718592,0,271
exp_implementations_std_clang__libmvec_veclen_32_no_cpy,4718592,1,217
exp_implementations_std_clang__libmvec_veclen_32_no_cpy,4718592,2,201
exp_implementations_std_clang__libmvec_veclen_32_no_cpy,4718592,3,206
exp_implementations_std_clang__libmvec_veclen_32_no_cpy,4718592,4,194
exp_implementations_std_clang__libmvec_veclen_32_no_cpy,4718592,5,201
exp_implementations_std_clang__libmvec_veclen_32_no_cpy,4718592,6,208
exp_implementations_std_clang__libmvec_veclen_32_no_cpy,4718592,7,203
exp_implementations_std_clang__libmvec_veclen_32_no_cpy,4718592,8,209
exp_implementations_std_clang__libmvec_veclen_32_no_cpy,4718592,9,208
exp_implementations_std_clang__libmvec_veclen_32_no_cpy,4718592,10,195
exp_implementations_std_clang__libmvec_veclen_32_no_cpy,4718592,11,194
exp_implementations_std_clang__libmvec_veclen_32_no_cpy,4718592,12,201
exp_implementations_std_clang__libmvec_veclen_32_no_cpy,4718592,13,197
exp_implementations_std_clang__libmvec_veclen_32_no_cpy,4718592,14,193
exp_implementations_std_clang__libmvec_veclen_32_no_cpy,4718592,15,195
exp_implementations_std_clang__libmvec_veclen_32_no_cpy,4718592,16,202
exp_implementations_std_clang__libmvec_veclen_32_no_cpy,4718592,17,195
exp_implementations_std_clang__libmvec_veclen_32_no_cpy,4718592,18,199
exp_implementations_std_clang__libmvec_veclen_32_no_cpy,4718592,19,205
exp_implementations_std_clang__libmvec_veclen_32_cpy,4718592,0,201
exp_implementations_std_clang__libmvec_veclen_32_cpy,4718592,1,239
exp_implementations_std_clang__libmvec_veclen_32_cpy,4718592,2,210
exp_implementations_std_clang__libmvec_veclen_32_cpy,4718592,3,208
exp_implementations_std_clang__libmvec_veclen_32_cpy,4718592,4,202
exp_implementations_std_clang__libmvec_veclen_32_cpy,4718592,5,203
exp_implementations_std_clang__libmvec_veclen_32_cpy,4718592,6,211
exp_implementations_std_clang__libmvec_veclen_32_cpy,4718592,7,203
exp_implementations_std_clang__libmvec_veclen_32_cpy,4718592,8,198
exp_implementations_std_clang__libmvec_veclen_32_cpy,4718592,9,199
exp_implementations_std_clang__libmvec_veclen_32_cpy,4718592,10,200
exp_implementations_std_clang__libmvec_veclen_32_cpy,4718592,11,200
exp_implementations_std_clang__libmvec_veclen_32_cpy,4718592,12,202
exp_implementations_std_clang__libmvec_veclen_32_cpy,4718592,13,200
exp_implementations_std_clang__libmvec_veclen_32_cpy,4718592,14,204
exp_implementations_std_clang__libmvec_veclen_32_cpy,4718592,15,211
exp_implementations_std_clang__libmvec_veclen_32_cpy,4718592,16,197
exp_implementations_std_clang__libmvec_veclen_32_cpy,4718592,17,199
exp_implementations_std_clang__libmvec_veclen_32_cpy,4718592,18,204
exp_implementations_std_clang__libmvec_veclen_32_cpy,4718592,19,203
exp_implementations_std_clang__libmvec_veclen_64_no_cpy,4718592,0,198
exp_implementations_std_clang__libmvec_veclen_64_no_cpy,4718592,1,214
exp_implementations_std_clang__libmvec_veclen_64_no_cpy,4718592,2,213
exp_implementations_std_clang__libmvec_veclen_64_no_cpy,4718592,3,214
exp_implementations_std_clang__libmvec_veclen_64_no_cpy,4718592,4,205
exp_implementations_std_clang__libmvec_veclen_64_no_cpy,4718592,5,204
exp_implementations_std_clang__libmvec_veclen_64_no_cpy,4718592,6,198
exp_implementations_std_clang__libmvec_veclen_64_no_cpy,4718592,7,207
exp_implementations_std_clang__libmvec_veclen_64_no_cpy,4718592,8,195
exp_implementations_std_clang__libmvec_veclen_64_no_cpy,4718592,9,203
exp_implementations_std_clang__libmvec_veclen_64_no_cpy,4718592,10,201
exp_implementations_std_clang__libmvec_veclen_64_no_cpy,4718592,11,200
exp_implementations_std_clang__libmvec_veclen_64_no_cpy,4718592,12,195
exp_implementations_std_clang__libmvec_veclen_64_no_cpy,4718592,13,196
exp_implementations_std_clang__libmvec_veclen_64_no_cpy,4718592,14,195
exp_implementations_std_clang__libmvec_veclen_64_no_cpy,4718592,15,198
exp_implementations_std_clang__libmvec_veclen_64_no_cpy,4718592,16,197
exp_implementations_std_clang__libmvec_veclen_64_no_cpy,4718592,17,198
exp_implementations_std_clang__libmvec_veclen_64_no_cpy,4718592,18,199
exp_implementations_std_clang__libmvec_veclen_64_no_cpy,4718592,19,196
exp_implementations_std_clang__libmvec_veclen_64_cpy,4718592,0,288
exp_implementations_std_clang__libmvec_veclen_64_cpy,4718592,1,231
exp_implementations_std_clang__libmvec_veclen_64_cpy,4718592,2,228
exp_implementations_std_clang__libmvec_veclen_64_cpy,4718592,3,215
exp_implementations_std_clang__libmvec_veclen_64_cpy,4718592,4,217
exp_implementations_std_clang__libmvec_veclen_64_cpy,4718592,5,206
exp_implementations_std_clang__libmvec_veclen_64_cpy,4718592,6,211
exp_implementations_std_clang__libmvec_veclen_64_cpy,4718592,7,208
exp_implementations_std_clang__libmvec_veclen_64_cpy,4718592,8,217
exp_implementations_std_clang__libmvec_veclen_64_cpy,4718592,9,209
exp_implementations_std_clang__libmvec_veclen_64_cpy,4718592,10,208
exp_implementations_std_clang__libmvec_veclen_64_cpy,4718592,11,210
exp_implementations_std_clang__libmvec_veclen_64_cpy,4718592,12,213
exp_implementations_std_clang__libmvec_veclen_64_cpy,4718592,13,210
exp_implementations_std_clang__libmvec_veclen_64_cpy,4718592,14,214
exp_implementations_std_clang__libmvec_veclen_64_cpy,4718592,15,210
exp_implementations_std_clang__libmvec_veclen_64_cpy,4718592,16,211
exp_implementations_std_clang__libmvec_veclen_64_cpy,4718592,17,215
exp_implementations_std_clang__libmvec_veclen_64_cpy,4718592,18,209
exp_implementations_std_clang__libmvec_veclen_64_cpy,4718592,19,212
sdfg_name,size,rep,time_seconds
exp_implementations_std,9437184,0,399
exp_implementations_std,9437184,1,413
exp_implementations_std,9437184,2,419
exp_implementations_std,9437184,3,377
exp_implementations_std,9437184,4,381
exp_implementations_std,9437184,5,385
exp_implementations_std,9437184,6,389
exp_implementations_std,9437184,7,380
exp_implementations_std,9437184,8,382
exp_implementations_std,9437184,9,385
exp_implementations_std,9437184,10,383
exp_implementations_std,9437184,11,377
