sdfg_name,size,rep,time_seconds
exp_implementations_std,4718592,0,16047
exp_implementations_std,4718592,1,14196
exp_implementations_std,4718592,2,17068
exp_implementations_std,4718592,3,17134
exp_implementations_std,4718592,4,15785
exp_implementations_std,4718592,5,16764
exp_implementations_std,4718592,6,15930
exp_implementations_std,4718592,7,18408
exp_implementations_std,4718592,8,12164
exp_implementations_std,4718592,9,16874
exp_implementations_std,4718592,10,16816
exp_implementations_std,4718592,11,16667
exp_implementations_std,4718592,12,15892
exp_implementations_std,4718592,13,16983
exp_implementations_std,4718592,14,15853
exp_implementations_std,4718592,15,16613
exp_implementations_std,4718592,16,17188
exp_implementations_std,4718592,17,17324
exp_implementations_std,4718592,18,15941
exp_implementations_std,4718592,19,11299
exp_implementations_std_clang__libmvec_veclen_8_no_cpy,4718592,0,18024
exp_implementations_std_clang__libmvec_veclen_8_no_cpy,4718592,1,18503
exp_implementations_std_clang__libmvec_veclen_8_no_cpy,4718592,2,18924
exp_implementations_std_clang__libmvec_veclen_8_no_cpy,4718592,3,17797
exp_implementations_std_clang__libmvec_veclen_8_no_cpy,4718592,4,19783
exp_implementations_std_clang__libmvec_veclen_8_no_cpy,4718592,5,14263
exp_implementations_std_clang__libmvec_veclen_8_no_cpy,4718592,6,13877
exp_implementations_std_clang__libmvec_veclen_8_no_cpy,4718592,7,15961
exp_implementations_std_clang__libmvec_veclen_8_no_cpy,4718592,8,18691
exp_implementations_std_clang__libmvec_veclen_8_no_cpy,4718592,9,14399
exp_implementations_std_clang__libmvec_veclen_8_no_cpy,4718592,10,16198
exp_implementations_std_clang__libmvec_veclen_8_no_cpy,4718592,11,17449
exp_implementations_std_clang__libmvec_veclen_8_no_cpy,4718592,12,19079
exp_implementations_std_clang__libmvec_veclen_8_no_cpy,4718592,13,17704
exp_implementations_std_clang__libmvec_veclen_8_no_cpy,4718592,14,16370
exp_implementations_std_clang__libmvec_veclen_8_no_cpy,4718592,15,18137
exp_implementations_std_clang__libmvec_veclen_8_no_cpy,4718592,16,18071
exp_implementations_std_clang__libmvec_veclen_8_no_cpy,4718592,17,18254
exp_implementations_std_clang__libmvec_veclen_8_no_cpy,4718592,18,18554
exp_implementations_std_clang__libmvec_veclen_8_no_cpy,4718592,19,14902
