sdfg_name,size,rep,time_seconds
gather_load_force_width_512,4718592,0,28154
gather_load_force_width_512,4718592,1,28318
gather_load_force_width_512,4718592,2,28275
gather_load_force_width_512,4718592,3,28126
gather_load_force_width_512,4718592,4,28859
gather_load_force_width_512,4718592,5,28308
gather_load_force_width_512,4718592,6,28040
gather_load_force_width_512,4718592,7,28450
gather_load_force_width_512,4718592,8,28197
gather_load_force_width_512,4718592,9,28041
gather_load_force_width_512,4718592,10,28114
gather_load_force_width_512,4718592,11,28347
gather_load_force_width_512,4718592,12,28085
gather_load_force_width_512,4718592,13,28074
gather_load_force_width_512,4718592,14,28228
gather_load_force_width_512,4718592,15,28040
gather_load_force_width_512,4718592,16,28142
gather_load_force_width_512,4718592,17,28212
gather_load_force_width_512,4718592,18,28094
gather_load_force_width_512,4718592,19,28086
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,0,38812
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,1,38841
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,2,38850
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,3,38948
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,4,38957
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,5,39037
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,6,38883
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,7,38891
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,8,38833
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,9,39910
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,10,38953
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,11,39004
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,12,38829
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,13,39011
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,14,38838
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,15,38953
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,16,38996
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,17,38999
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,18,38859
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,19,38951
gather_load_force_width_512_static_veclen_8_cpy,4718592,0,39617
gather_load_force_width_512_static_veclen_8_cpy,4718592,1,39759
gather_load_force_width_512_static_veclen_8_cpy,4718592,2,39679
gather_load_force_width_512_static_veclen_8_cpy,4718592,3,39652
gather_load_force_width_512_static_veclen_8_cpy,4718592,4,39723
gather_load_force_width_512_static_veclen_8_cpy,4718592,5,39686
gather_load_force_width_512_static_veclen_8_cpy,4718592,6,39867
gather_load_force_width_512_static_veclen_8_cpy,4718592,7,39766
gather_load_force_width_512_static_veclen_8_cpy,4718592,8,39670
gather_load_force_width_512_static_veclen_8_cpy,4718592,9,39596
gather_load_force_width_512_static_veclen_8_cpy,4718592,10,39611
gather_load_force_width_512_static_veclen_8_cpy,4718592,11,39618
gather_load_force_width_512_static_veclen_8_cpy,4718592,12,39619
gather_load_force_width_512_static_veclen_8_cpy,4718592,13,39584
gather_load_force_width_512_static_veclen_8_cpy,4718592,14,39730
gather_load_force_width_512_static_veclen_8_cpy,4718592,15,39632
gather_load_force_width_512_static_veclen_8_cpy,4718592,16,39550
gather_load_force_width_512_static_veclen_8_cpy,4718592,17,39670
gather_load_force_width_512_static_veclen_8_cpy,4718592,18,39629
gather_load_force_width_512_static_veclen_8_cpy,4718592,19,39639
gather_load_force_width_512_static_veclen_16_no_cpy,4718592,0,37009
gather_load_force_width_512_static_veclen_16_no_cpy,4718592,1,37091
gather_load_force_width_512_static_veclen_16_no_cpy,4718592,2,37068
gather_load_force_width_512_static_veclen_16_no_cpy,4718592,3,37082
gather_load_force_width_512_static_veclen_16_no_cpy,4718592,4,37080
gather_load_force_width_512_static_veclen_16_no_cpy,4718592,5,37137
gather_load_force_width_512_static_veclen_16_no_cpy,4718592,6,37130
gather_load_force_width_512_static_veclen_16_no_cpy,4718592,7,37080
gather_load_force_width_512_static_veclen_16_no_cpy,4718592,8,37064
gather_load_force_width_512_static_veclen_16_no_cpy,4718592,9,37023
gather_load_force_width_512_static_veclen_16_no_cpy,4718592,10,37089
gather_load_force_width_512_static_veclen_16_no_cpy,4718592,11,37053
gather_load_force_width_512_static_veclen_16_no_cpy,4718592,12,37059
gather_load_force_width_512_static_veclen_16_no_cpy,4718592,13,37073
gather_load_force_width_512_static_veclen_16_no_cpy,4718592,14,37129
gather_load_force_width_512_static_veclen_16_no_cpy,4718592,15,37038
gather_load_force_width_512_static_veclen_16_no_cpy,4718592,16,37044
gather_load_force_width_512_static_veclen_16_no_cpy,4718592,17,37012
gather_load_force_width_512_static_veclen_16_no_cpy,4718592,18,37053
gather_load_force_width_512_static_veclen_16_no_cpy,4718592,19,37078
gather_load_force_width_512_static_veclen_16_cpy,4718592,0,34315
gather_load_force_width_512_static_veclen_16_cpy,4718592,1,34395
gather_load_force_width_512_static_veclen_16_cpy,4718592,2,34482
gather_load_force_width_512_static_veclen_16_cpy,4718592,3,34392
gather_load_force_width_512_static_veclen_16_cpy,4718592,4,34326
gather_load_force_width_512_static_veclen_16_cpy,4718592,5,34263
gather_load_force_width_512_static_veclen_16_cpy,4718592,6,34478
gather_load_force_width_512_static_veclen_16_cpy,4718592,7,34364
gather_load_force_width_512_static_veclen_16_cpy,4718592,8,34357
gather_load_force_width_512_static_veclen_16_cpy,4718592,9,34333
gather_load_force_width_512_static_veclen_16_cpy,4718592,10,34331
gather_load_force_width_512_static_veclen_16_cpy,4718592,11,34369
gather_load_force_width_512_static_veclen_16_cpy,4718592,12,34326
gather_load_force_width_512_static_veclen_16_cpy,4718592,13,34325
gather_load_force_width_512_static_veclen_16_cpy,4718592,14,34507
gather_load_force_width_512_static_veclen_16_cpy,4718592,15,34312
gather_load_force_width_512_static_veclen_16_cpy,4718592,16,34365
gather_load_force_width_512_static_veclen_16_cpy,4718592,17,34308
gather_load_force_width_512_static_veclen_16_cpy,4718592,18,34354
gather_load_force_width_512_static_veclen_16_cpy,4718592,19,34342
gather_load_force_width_512_static_veclen_32_no_cpy,4718592,0,25834
gather_load_force_width_512_static_veclen_32_no_cpy,4718592,1,25776
gather_load_force_width_512_static_veclen_32_no_cpy,4718592,2,25780
gather_load_force_width_512_static_veclen_32_no_cpy,4718592,3,25749
gather_load_force_width_512_static_veclen_32_no_cpy,4718592,4,25828
gather_load_force_width_512_static_veclen_32_no_cpy,4718592,5,25814
gather_load_force_width_512_static_veclen_32_no_cpy,4718592,6,25854
gather_load_force_width_512_static_veclen_32_no_cpy,4718592,7,25792
gather_load_force_width_512_static_veclen_32_no_cpy,4718592,8,25819
gather_load_force_width_512_static_veclen_32_no_cpy,4718592,9,25767
gather_load_force_width_512_static_veclen_32_no_cpy,4718592,10,25799
gather_load_force_width_512_static_veclen_32_no_cpy,4718592,11,25841
gather_load_force_width_512_static_veclen_32_no_cpy,4718592,12,25788
gather_load_force_width_512_static_veclen_32_no_cpy,4718592,13,25827
gather_load_force_width_512_static_veclen_32_no_cpy,4718592,14,25768
gather_load_force_width_512_static_veclen_32_no_cpy,4718592,15,25740
gather_load_force_width_512_static_veclen_32_no_cpy,4718592,16,25744
gather_load_force_width_512_static_veclen_32_no_cpy,4718592,17,25783
gather_load_force_width_512_static_veclen_32_no_cpy,4718592,18,25858
gather_load_force_width_512_static_veclen_32_no_cpy,4718592,19,25760
gather_load_force_width_512_static_veclen_32_cpy,4718592,0,25866
gather_load_force_width_512_static_veclen_32_cpy,4718592,1,25880
gather_load_force_width_512_static_veclen_32_cpy,4718592,2,25863
gather_load_force_width_512_static_veclen_32_cpy,4718592,3,25806
gather_load_force_width_512_static_veclen_32_cpy,4718592,4,25808
gather_load_force_width_512_static_veclen_32_cpy,4718592,5,25869
gather_load_force_width_512_static_veclen_32_cpy,4718592,6,25811
gather_load_force_width_512_static_veclen_32_cpy,4718592,7,25826
gather_load_force_width_512_static_veclen_32_cpy,4718592,8,25854
gather_load_force_width_512_static_veclen_32_cpy,4718592,9,25847
gather_load_force_width_512_static_veclen_32_cpy,4718592,10,25802
gather_load_force_width_512_static_veclen_32_cpy,4718592,11,25904
gather_load_force_width_512_static_veclen_32_cpy,4718592,12,25834
gather_load_force_width_512_static_veclen_32_cpy,4718592,13,25800
gather_load_force_width_512_static_veclen_32_cpy,4718592,14,25816
gather_load_force_width_512_static_veclen_32_cpy,4718592,15,25769
gather_load_force_width_512_static_veclen_32_cpy,4718592,16,25801
gather_load_force_width_512_static_veclen_32_cpy,4718592,17,25761
gather_load_force_width_512_static_veclen_32_cpy,4718592,18,25816
gather_load_force_width_512_static_veclen_32_cpy,4718592,19,25807
gather_load_force_width_512_static_veclen_64_no_cpy,4718592,0,22366
gather_load_force_width_512_static_veclen_64_no_cpy,4718592,1,22391
gather_load_force_width_512_static_veclen_64_no_cpy,4718592,2,22396
gather_load_force_width_512_static_veclen_64_no_cpy,4718592,3,22691
gather_load_force_width_512_static_veclen_64_no_cpy,4718592,4,22382
gather_load_force_width_512_static_veclen_64_no_cpy,4718592,5,22371
gather_load_force_width_512_static_veclen_64_no_cpy,4718592,6,22601
gather_load_force_width_512_static_veclen_64_no_cpy,4718592,7,22390
gather_load_force_width_512_static_veclen_64_no_cpy,4718592,8,22382
gather_load_force_width_512_static_veclen_64_no_cpy,4718592,9,22423
gather_load_force_width_512_static_veclen_64_no_cpy,4718592,10,22548
gather_load_force_width_512_static_veclen_64_no_cpy,4718592,11,22352
