sdfg_name,size,rep,time_seconds
gather_load_neon,4718592,0,290
gather_load_neon,4718592,1,355
gather_load_neon,4718592,2,259
gather_load_neon,4718592,3,267
gather_load_neon,4718592,4,245
gather_load_neon,4718592,5,238
gather_load_neon,4718592,6,235
gather_load_neon,4718592,7,242
gather_load_neon,4718592,8,238
gather_load_neon,4718592,9,235
gather_load_neon,4718592,10,235
gather_load_neon,4718592,11,237
gather_load_neon,4718592,12,238
gather_load_neon,4718592,13,241
gather_load_neon,4718592,14,269
gather_load_neon,4718592,15,234
gather_load_neon,4718592,16,233
gather_load_neon,4718592,17,233
gather_load_neon,4718592,18,261
gather_load_neon,4718592,19,236
gather_load_neon_static_veclen_8_no_cpy,4718592,0,387
gather_load_neon_static_veclen_8_no_cpy,4718592,1,294
gather_load_neon_static_veclen_8_no_cpy,4718592,2,301
gather_load_neon_static_veclen_8_no_cpy,4718592,3,294
gather_load_neon_static_veclen_8_no_cpy,4718592,4,651
gather_load_neon_static_veclen_8_no_cpy,4718592,5,345
gather_load_neon_static_veclen_8_no_cpy,4718592,6,298
gather_load_neon_static_veclen_8_no_cpy,4718592,7,305
gather_load_neon_static_veclen_8_no_cpy,4718592,8,322
gather_load_neon_static_veclen_8_no_cpy,4718592,9,285
gather_load_neon_static_veclen_8_no_cpy,4718592,10,290
gather_load_neon_static_veclen_8_no_cpy,4718592,11,286
gather_load_neon_static_veclen_8_no_cpy,4718592,12,286
gather_load_neon_static_veclen_8_no_cpy,4718592,13,292
gather_load_neon_static_veclen_8_no_cpy,4718592,14,290
gather_load_neon_static_veclen_8_no_cpy,4718592,15,282
gather_load_neon_static_veclen_8_no_cpy,4718592,16,286
gather_load_neon_static_veclen_8_no_cpy,4718592,17,289
gather_load_neon_static_veclen_8_no_cpy,4718592,18,332
gather_load_neon_static_veclen_8_no_cpy,4718592,19,315
gather_load_neon_static_veclen_8_cpy,4718592,0,794
gather_load_neon_static_veclen_8_cpy,4718592,1,318
gather_load_neon_static_veclen_8_cpy,4718592,2,307
gather_load_neon_static_veclen_8_cpy,4718592,3,315
gather_load_neon_static_veclen_8_cpy,4718592,4,341
gather_load_neon_static_veclen_8_cpy,4718592,5,305
gather_load_neon_static_veclen_8_cpy,4718592,6,297
gather_load_neon_static_veclen_8_cpy,4718592,7,394
gather_load_neon_static_veclen_8_cpy,4718592,8,345
gather_load_neon_static_veclen_8_cpy,4718592,9,303
gather_load_neon_static_veclen_8_cpy,4718592,10,294
gather_load_neon_static_veclen_8_cpy,4718592,11,302
gather_load_neon_static_veclen_8_cpy,4718592,12,355
gather_load_neon_static_veclen_8_cpy,4718592,13,301
gather_load_neon_static_veclen_8_cpy,4718592,14,298
gather_load_neon_static_veclen_8_cpy,4718592,15,297
gather_load_neon_static_veclen_8_cpy,4718592,16,301
gather_load_neon_static_veclen_8_cpy,4718592,17,328
gather_load_neon_static_veclen_8_cpy,4718592,18,299
gather_load_neon_static_veclen_8_cpy,4718592,19,295
gather_load_neon_static_veclen_16_no_cpy,4718592,0,302
gather_load_neon_static_veclen_16_no_cpy,4718592,1,318
gather_load_neon_static_veclen_16_no_cpy,4718592,2,286
gather_load_neon_static_veclen_16_no_cpy,4718592,3,283
gather_load_neon_static_veclen_16_no_cpy,4718592,4,316
gather_load_neon_static_veclen_16_no_cpy,4718592,5,329
gather_load_neon_static_veclen_16_no_cpy,4718592,6,282
gather_load_neon_static_veclen_16_no_cpy,4718592,7,323
gather_load_neon_static_veclen_16_no_cpy,4718592,8,286
gather_load_neon_static_veclen_16_no_cpy,4718592,9,285
gather_load_neon_static_veclen_16_no_cpy,4718592,10,279
gather_load_neon_static_veclen_16_no_cpy,4718592,11,283
gather_load_neon_static_veclen_16_no_cpy,4718592,12,282
gather_load_neon_static_veclen_16_no_cpy,4718592,13,322
gather_load_neon_static_veclen_16_no_cpy,4718592,14,322
gather_load_neon_static_veclen_16_no_cpy,4718592,15,288
gather_load_neon_static_veclen_16_no_cpy,4718592,16,283
gather_load_neon_static_veclen_16_no_cpy,4718592,17,278
gather_load_neon_static_veclen_16_no_cpy,4718592,18,277
gather_load_neon_static_veclen_16_no_cpy,4718592,19,281
gather_load_neon_static_veclen_16_cpy,4718592,0,333
gather_load_neon_static_veclen_16_cpy,4718592,1,344
gather_load_neon_static_veclen_16_cpy,4718592,2,382
gather_load_neon_static_veclen_16_cpy,4718592,3,289
gather_load_neon_static_veclen_16_cpy,4718592,4,307
gather_load_neon_static_veclen_16_cpy,4718592,5,296
