sdfg_name,size,rep,time_seconds
gather_load_intrinsic_neon,4718592,0,30064
gather_load_intrinsic_neon,4718592,1,26451
gather_load_intrinsic_neon,4718592,2,24714
gather_load_intrinsic_neon,4718592,3,22181
gather_load_intrinsic_neon,4718592,4,22468
gather_load_intrinsic_neon,4718592,5,22531
gather_load_intrinsic_neon,4718592,6,21999
gather_load_intrinsic_neon,4718592,7,21208
gather_load_intrinsic_neon,4718592,8,23062
gather_load_intrinsic_neon,4718592,9,22840
gather_load_intrinsic_neon,4718592,10,20653
gather_load_intrinsic_neon,4718592,11,21934
gather_load_intrinsic_neon,4718592,12,22969
gather_load_intrinsic_neon,4718592,13,21337
gather_load_intrinsic_neon,4718592,14,25481
gather_load_intrinsic_neon,4718592,15,24593
gather_load_intrinsic_neon,4718592,16,19012
gather_load_intrinsic_neon,4718592,17,17844
gather_load_intrinsic_neon,4718592,18,18463
gather_load_intrinsic_neon,4718592,19,21125
gather_load_intrinsic_neon_static_veclen_2_no_cpy,4718592,0,53885
gather_load_intrinsic_neon_static_veclen_2_no_cpy,4718592,1,48380
gather_load_intrinsic_neon_static_veclen_2_no_cpy,4718592,2,54021
gather_load_intrinsic_neon_static_veclen_2_no_cpy,4718592,3,46004
gather_load_intrinsic_neon_static_veclen_2_no_cpy,4718592,4,44419
gather_load_intrinsic_neon_static_veclen_2_no_cpy,4718592,5,45468
gather_load_intrinsic_neon_static_veclen_2_no_cpy,4718592,6,44994
gather_load_intrinsic_neon_static_veclen_2_no_cpy,4718592,7,45335
gather_load_intrinsic_neon_static_veclen_2_no_cpy,4718592,8,45437
gather_load_intrinsic_neon_static_veclen_2_no_cpy,4718592,9,45263
gather_load_intrinsic_neon_static_veclen_2_no_cpy,4718592,10,46157
gather_load_intrinsic_neon_static_veclen_2_no_cpy,4718592,11,46148
gather_load_intrinsic_neon_static_veclen_2_no_cpy,4718592,12,46863
gather_load_intrinsic_neon_static_veclen_2_no_cpy,4718592,13,46746
gather_load_intrinsic_neon_static_veclen_2_no_cpy,4718592,14,46515
gather_load_intrinsic_neon_static_veclen_2_no_cpy,4718592,15,46621
gather_load_intrinsic_neon_static_veclen_2_no_cpy,4718592,16,46407
gather_load_intrinsic_neon_static_veclen_2_no_cpy,4718592,17,45769
gather_load_intrinsic_neon_static_veclen_2_no_cpy,4718592,18,46459
gather_load_intrinsic_neon_static_veclen_2_no_cpy,4718592,19,48887
gather_load_intrinsic_neon_static_veclen_2_cpy,4718592,0,54094
gather_load_intrinsic_neon_static_veclen_2_cpy,4718592,1,47332
gather_load_intrinsic_neon_static_veclen_2_cpy,4718592,2,53729
gather_load_intrinsic_neon_static_veclen_2_cpy,4718592,3,69672
gather_load_intrinsic_neon_static_veclen_2_cpy,4718592,4,51266
gather_load_intrinsic_neon_static_veclen_2_cpy,4718592,5,48992
gather_load_intrinsic_neon_static_veclen_2_cpy,4718592,6,49509
gather_load_intrinsic_neon_static_veclen_2_cpy,4718592,7,48592
gather_load_intrinsic_neon_static_veclen_2_cpy,4718592,8,48162
gather_load_intrinsic_neon_static_veclen_2_cpy,4718592,9,49025
gather_load_intrinsic_neon_static_veclen_2_cpy,4718592,10,47780
gather_load_intrinsic_neon_static_veclen_2_cpy,4718592,11,48199
gather_load_intrinsic_neon_static_veclen_2_cpy,4718592,12,47942
gather_load_intrinsic_neon_static_veclen_2_cpy,4718592,13,51665
gather_load_intrinsic_neon_static_veclen_2_cpy,4718592,14,48992
gather_load_intrinsic_neon_static_veclen_2_cpy,4718592,15,48442
gather_load_intrinsic_neon_static_veclen_2_cpy,4718592,16,51602
gather_load_intrinsic_neon_static_veclen_2_cpy,4718592,17,50342
gather_load_intrinsic_neon_static_veclen_2_cpy,4718592,18,49549
gather_load_intrinsic_neon_static_veclen_2_cpy,4718592,19,48869
gather_load_intrinsic_neon_static_veclen_4_no_cpy,4718592,0,49538
gather_load_intrinsic_neon_static_veclen_4_no_cpy,4718592,1,42863
gather_load_intrinsic_neon_static_veclen_4_no_cpy,4718592,2,44815
gather_load_intrinsic_neon_static_veclen_4_no_cpy,4718592,3,43836
gather_load_intrinsic_neon_static_veclen_4_no_cpy,4718592,4,43896
gather_load_intrinsic_neon_static_veclen_4_no_cpy,4718592,5,43568
gather_load_intrinsic_neon_static_veclen_4_no_cpy,4718592,6,45587
gather_load_intrinsic_neon_static_veclen_4_no_cpy,4718592,7,44063
gather_load_intrinsic_neon_static_veclen_4_no_cpy,4718592,8,43626
gather_load_intrinsic_neon_static_veclen_4_no_cpy,4718592,9,43261
gather_load_intrinsic_neon_static_veclen_4_no_cpy,4718592,10,43898
gather_load_intrinsic_neon_static_veclen_4_no_cpy,4718592,11,43363
gather_load_intrinsic_neon_static_veclen_4_no_cpy,4718592,12,43438
gather_load_intrinsic_neon_static_veclen_4_no_cpy,4718592,13,43070
gather_load_intrinsic_neon_static_veclen_4_no_cpy,4718592,14,43328
gather_load_intrinsic_neon_static_veclen_4_no_cpy,4718592,15,43085
gather_load_intrinsic_neon_static_veclen_4_no_cpy,4718592,16,42642
gather_load_intrinsic_neon_static_veclen_4_no_cpy,4718592,17,42675
gather_load_intrinsic_neon_static_veclen_4_no_cpy,4718592,18,42652
gather_load_intrinsic_neon_static_veclen_4_no_cpy,4718592,19,42360
gather_load_intrinsic_neon_static_veclen_4_cpy,4718592,0,52272
gather_load_intrinsic_neon_static_veclen_4_cpy,4718592,1,49632
gather_load_intrinsic_neon_static_veclen_4_cpy,4718592,2,48650
gather_load_intrinsic_neon_static_veclen_4_cpy,4718592,3,48233
gather_load_intrinsic_neon_static_veclen_4_cpy,4718592,4,48070
gather_load_intrinsic_neon_static_veclen_4_cpy,4718592,5,47451
gather_load_intrinsic_neon_static_veclen_4_cpy,4718592,6,50233
