sdfg_name,size,rep,time_seconds
gather_load_force_width_512,4718592,0,65817
gather_load_force_width_512,4718592,1,64323
gather_load_force_width_512,4718592,2,64313
gather_load_force_width_512,4718592,3,64344
gather_load_force_width_512,4718592,4,64293
gather_load_force_width_512,4718592,5,64335
gather_load_force_width_512,4718592,6,64360
gather_load_force_width_512,4718592,7,80613
gather_load_force_width_512,4718592,8,71713
gather_load_force_width_512,4718592,9,64309
gather_load_force_width_512,4718592,10,64246
gather_load_force_width_512,4718592,11,64361
gather_load_force_width_512,4718592,12,64494
gather_load_force_width_512,4718592,13,64673
gather_load_force_width_512,4718592,14,64306
gather_load_force_width_512,4718592,15,64406
gather_load_force_width_512,4718592,16,64313
gather_load_force_width_512,4718592,17,64331
gather_load_force_width_512,4718592,18,64371
gather_load_force_width_512,4718592,19,64318
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,0,73032
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,1,72940
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,2,73303
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,3,73330
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,4,73024
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,5,72992
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,6,72986
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,7,73026
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,8,72977
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,9,73118
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,10,73024
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,11,72995
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,12,72958
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,13,73181
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,14,73046
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,15,72958
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,16,73119
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,17,73520
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,18,79042
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,19,75060
gather_load_force_width_512_static_veclen_8_cpy,4718592,0,72859
gather_load_force_width_512_static_veclen_8_cpy,4718592,1,72975
gather_load_force_width_512_static_veclen_8_cpy,4718592,2,73979
gather_load_force_width_512_static_veclen_8_cpy,4718592,3,72960
gather_load_force_width_512_static_veclen_8_cpy,4718592,4,73394
gather_load_force_width_512_static_veclen_8_cpy,4718592,5,73306
gather_load_force_width_512_static_veclen_8_cpy,4718592,6,72914
gather_load_force_width_512_static_veclen_8_cpy,4718592,7,73227
gather_load_force_width_512_static_veclen_8_cpy,4718592,8,76295
gather_load_force_width_512_static_veclen_8_cpy,4718592,9,95567
gather_load_force_width_512_static_veclen_8_cpy,4718592,10,73308
gather_load_force_width_512_static_veclen_8_cpy,4718592,11,73031
gather_load_force_width_512_static_veclen_8_cpy,4718592,12,74970
gather_load_force_width_512_static_veclen_8_cpy,4718592,13,73162
gather_load_force_width_512_static_veclen_8_cpy,4718592,14,73378
gather_load_force_width_512_static_veclen_8_cpy,4718592,15,74531
gather_load_force_width_512_static_veclen_8_cpy,4718592,16,73499
gather_load_force_width_512_static_veclen_8_cpy,4718592,17,73426
gather_load_force_width_512_static_veclen_8_cpy,4718592,18,73542
gather_load_force_width_512_static_veclen_8_cpy,4718592,19,72962
gather_load_force_width_512_static_veclen_16_no_cpy,4718592,0,63409
gather_load_force_width_512_static_veclen_16_no_cpy,4718592,1,63510
gather_load_force_width_512_static_veclen_16_no_cpy,4718592,2,63647
gather_load_force_width_512_static_veclen_16_no_cpy,4718592,3,64806
gather_load_force_width_512_static_veclen_16_no_cpy,4718592,4,88010
gather_load_force_width_512_static_veclen_16_no_cpy,4718592,5,63519
gather_load_force_width_512_static_veclen_16_no_cpy,4718592,6,63501
gather_load_force_width_512_static_veclen_16_no_cpy,4718592,7,63489
gather_load_force_width_512_static_veclen_16_no_cpy,4718592,8,63733
gather_load_force_width_512_static_veclen_16_no_cpy,4718592,9,63520
gather_load_force_width_512_static_veclen_16_no_cpy,4718592,10,64330
gather_load_force_width_512_static_veclen_16_no_cpy,4718592,11,63517
gather_load_force_width_512_static_veclen_16_no_cpy,4718592,12,63523
gather_load_force_width_512_static_veclen_16_no_cpy,4718592,13,63518
gather_load_force_width_512_static_veclen_16_no_cpy,4718592,14,63577
gather_load_force_width_512_static_veclen_16_no_cpy,4718592,15,63521
gather_load_force_width_512_static_veclen_16_no_cpy,4718592,16,63742
gather_load_force_width_512_static_veclen_16_no_cpy,4718592,17,78936
gather_load_force_width_512_static_veclen_16_no_cpy,4718592,18,66940
gather_load_force_width_512_static_veclen_16_no_cpy,4718592,19,63492
gather_load_force_width_512_static_veclen_16_cpy,4718592,0,60471
gather_load_force_width_512_static_veclen_16_cpy,4718592,1,159632
gather_load_force_width_512_static_veclen_16_cpy,4718592,2,60744
gather_load_force_width_512_static_veclen_16_cpy,4718592,3,60596
gather_load_force_width_512_static_veclen_16_cpy,4718592,4,60326
gather_load_force_width_512_static_veclen_16_cpy,4718592,5,60482
gather_load_force_width_512_static_veclen_16_cpy,4718592,6,60325
gather_load_force_width_512_static_veclen_16_cpy,4718592,7,60395
gather_load_force_width_512_static_veclen_16_cpy,4718592,8,60353
gather_load_force_width_512_static_veclen_16_cpy,4718592,9,60377
gather_load_force_width_512_static_veclen_16_cpy,4718592,10,60440
gather_load_force_width_512_static_veclen_16_cpy,4718592,11,60347
gather_load_force_width_512_static_veclen_16_cpy,4718592,12,60320
gather_load_force_width_512_static_veclen_16_cpy,4718592,13,60411
gather_load_force_width_512_static_veclen_16_cpy,4718592,14,60338
gather_load_force_width_512_static_veclen_16_cpy,4718592,15,60373
gather_load_force_width_512_static_veclen_16_cpy,4718592,16,60397
gather_load_force_width_512_static_veclen_16_cpy,4718592,17,60371
gather_load_force_width_512_static_veclen_16_cpy,4718592,18,60737
gather_load_force_width_512_static_veclen_16_cpy,4718592,19,60398
gather_load_force_width_512_static_veclen_32_no_cpy,4718592,0,59088
gather_load_force_width_512_static_veclen_32_no_cpy,4718592,1,59267
gather_load_force_width_512_static_veclen_32_no_cpy,4718592,2,58995
gather_load_force_width_512_static_veclen_32_no_cpy,4718592,3,58987
gather_load_force_width_512_static_veclen_32_no_cpy,4718592,4,58998
gather_load_force_width_512_static_veclen_32_no_cpy,4718592,5,58979
gather_load_force_width_512_static_veclen_32_no_cpy,4718592,6,59364
