sdfg_name,size,rep,time_seconds
gather_load_no_vectorize,4718592,0,24951
gather_load_no_vectorize,4718592,1,25005
gather_load_no_vectorize,4718592,2,25343
gather_load_no_vectorize,4718592,3,25013
gather_load_no_vectorize,4718592,4,24994
gather_load_no_vectorize,4718592,5,25334
gather_load_no_vectorize,4718592,6,25009
gather_load_no_vectorize,4718592,7,24982
gather_load_no_vectorize,4718592,8,25407
gather_load_no_vectorize,4718592,9,25022
gather_load_no_vectorize,4718592,10,25023
gather_load_no_vectorize,4718592,11,25328
gather_load_no_vectorize,4718592,12,24970
gather_load_no_vectorize,4718592,13,24981
gather_load_no_vectorize,4718592,14,25315
gather_load_no_vectorize,4718592,15,24973
gather_load_no_vectorize,4718592,16,25043
gather_load_no_vectorize,4718592,17,25320
gather_load_no_vectorize,4718592,18,25000
gather_load_no_vectorize,4718592,19,24988
gather_load_no_vectorize_static_veclen_8_no_cpy,4718592,0,26463
gather_load_no_vectorize_static_veclen_8_no_cpy,4718592,1,26478
gather_load_no_vectorize_static_veclen_8_no_cpy,4718592,2,26462
gather_load_no_vectorize_static_veclen_8_no_cpy,4718592,3,26468
gather_load_no_vectorize_static_veclen_8_no_cpy,4718592,4,26463
gather_load_no_vectorize_static_veclen_8_no_cpy,4718592,5,26446
gather_load_no_vectorize_static_veclen_8_no_cpy,4718592,6,26480
gather_load_no_vectorize_static_veclen_8_no_cpy,4718592,7,26492
gather_load_no_vectorize_static_veclen_8_no_cpy,4718592,8,26473
gather_load_no_vectorize_static_veclen_8_no_cpy,4718592,9,27968
gather_load_no_vectorize_static_veclen_8_no_cpy,4718592,10,27439
gather_load_no_vectorize_static_veclen_8_no_cpy,4718592,11,28342
gather_load_no_vectorize_static_veclen_8_no_cpy,4718592,12,28357
gather_load_no_vectorize_static_veclen_8_no_cpy,4718592,13,28741
gather_load_no_vectorize_static_veclen_8_no_cpy,4718592,14,28889
gather_load_no_vectorize_static_veclen_8_no_cpy,4718592,15,28837
gather_load_no_vectorize_static_veclen_8_no_cpy,4718592,16,29522
gather_load_no_vectorize_static_veclen_8_no_cpy,4718592,17,28757
gather_load_no_vectorize_static_veclen_8_no_cpy,4718592,18,28804
gather_load_no_vectorize_static_veclen_8_no_cpy,4718592,19,28715
gather_load_no_vectorize_static_veclen_8_cpy,4718592,0,26428
gather_load_no_vectorize_static_veclen_8_cpy,4718592,1,26492
gather_load_no_vectorize_static_veclen_8_cpy,4718592,2,26509
gather_load_no_vectorize_static_veclen_8_cpy,4718592,3,26576
gather_load_no_vectorize_static_veclen_8_cpy,4718592,4,26504
gather_load_no_vectorize_static_veclen_8_cpy,4718592,5,26497
gather_load_no_vectorize_static_veclen_8_cpy,4718592,6,26509
