sdfg_name,size,rep,time_seconds
gather_load_force_width_512,4718592,0,64845
gather_load_force_width_512,4718592,1,58772
gather_load_force_width_512,4718592,2,58442
gather_load_force_width_512,4718592,3,57942
gather_load_force_width_512,4718592,4,57948
gather_load_force_width_512,4718592,5,57342
gather_load_force_width_512,4718592,6,57745
gather_load_force_width_512,4718592,7,57637
gather_load_force_width_512,4718592,8,57259
gather_load_force_width_512,4718592,9,57153
gather_load_force_width_512,4718592,10,60790
gather_load_force_width_512,4718592,11,63934
gather_load_force_width_512,4718592,12,57077
gather_load_force_width_512,4718592,13,59143
gather_load_force_width_512,4718592,14,56777
gather_load_force_width_512,4718592,15,57846
gather_load_force_width_512,4718592,16,57778
gather_load_force_width_512,4718592,17,59167
gather_load_force_width_512,4718592,18,56784
gather_load_force_width_512,4718592,19,59389
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,0,57796
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,1,56669
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,2,67620
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,3,56483
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,4,57083
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,5,57449
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,6,57774
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,7,60034
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,8,58781
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,9,56966
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,10,59338
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,11,56917
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,12,156236
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,13,57476
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,14,58128
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,15,57818
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,16,57774
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,17,58565
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,18,57088
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,19,57861
gather_load_force_width_512_static_veclen_8_cpy,4718592,0,58221
gather_load_force_width_512_static_veclen_8_cpy,4718592,1,57580
gather_load_force_width_512_static_veclen_8_cpy,4718592,2,56902
gather_load_force_width_512_static_veclen_8_cpy,4718592,3,56833
gather_load_force_width_512_static_veclen_8_cpy,4718592,4,57875
gather_load_force_width_512_static_veclen_8_cpy,4718592,5,57698
gather_load_force_width_512_static_veclen_8_cpy,4718592,6,60381
gather_load_force_width_512_static_veclen_8_cpy,4718592,7,64432
gather_load_force_width_512_static_veclen_8_cpy,4718592,8,57353
gather_load_force_width_512_static_veclen_8_cpy,4718592,9,56801
gather_load_force_width_512_static_veclen_8_cpy,4718592,10,57282
gather_load_force_width_512_static_veclen_8_cpy,4718592,11,56700
gather_load_force_width_512_static_veclen_8_cpy,4718592,12,57680
gather_load_force_width_512_static_veclen_8_cpy,4718592,13,57709
gather_load_force_width_512_static_veclen_8_cpy,4718592,14,57804
gather_load_force_width_512_static_veclen_8_cpy,4718592,15,57084
gather_load_force_width_512_static_veclen_8_cpy,4718592,16,57724
gather_load_force_width_512_static_veclen_8_cpy,4718592,17,57604
gather_load_force_width_512_static_veclen_8_cpy,4718592,18,64461
gather_load_force_width_512_static_veclen_8_cpy,4718592,19,59152
gather_load_force_width_512_static_veclen_16_no_cpy,4718592,0,57616
gather_load_force_width_512_static_veclen_16_no_cpy,4718592,1,54945
gather_load_force_width_512_static_veclen_16_no_cpy,4718592,2,57194
gather_load_force_width_512_static_veclen_16_no_cpy,4718592,3,55788
gather_load_force_width_512_static_veclen_16_no_cpy,4718592,4,55750
gather_load_force_width_512_static_veclen_16_no_cpy,4718592,5,54924
gather_load_force_width_512_static_veclen_16_no_cpy,4718592,6,55567
gather_load_force_width_512_static_veclen_16_no_cpy,4718592,7,54980
gather_load_force_width_512_static_veclen_16_no_cpy,4718592,8,55284
gather_load_force_width_512_static_veclen_16_no_cpy,4718592,9,55564
gather_load_force_width_512_static_veclen_16_no_cpy,4718592,10,55615
gather_load_force_width_512_static_veclen_16_no_cpy,4718592,11,54495
gather_load_force_width_512_static_veclen_16_no_cpy,4718592,12,55553
gather_load_force_width_512_static_veclen_16_no_cpy,4718592,13,56988
gather_load_force_width_512_static_veclen_16_no_cpy,4718592,14,54727
gather_load_force_width_512_static_veclen_16_no_cpy,4718592,15,55291
gather_load_force_width_512_static_veclen_16_no_cpy,4718592,16,54916
gather_load_force_width_512_static_veclen_16_no_cpy,4718592,17,55508
gather_load_force_width_512_static_veclen_16_no_cpy,4718592,18,55483
gather_load_force_width_512_static_veclen_16_no_cpy,4718592,19,55569
gather_load_force_width_512_static_veclen_16_cpy,4718592,0,56907
gather_load_force_width_512_static_veclen_16_cpy,4718592,1,54783
gather_load_force_width_512_static_veclen_16_cpy,4718592,2,55450
gather_load_force_width_512_static_veclen_16_cpy,4718592,3,55534
gather_load_force_width_512_static_veclen_16_cpy,4718592,4,55276
gather_load_force_width_512_static_veclen_16_cpy,4718592,5,54483
gather_load_force_width_512_static_veclen_16_cpy,4718592,6,55481
gather_load_force_width_512_static_veclen_16_cpy,4718592,7,56409
gather_load_force_width_512_static_veclen_16_cpy,4718592,8,55127
gather_load_force_width_512_static_veclen_16_cpy,4718592,9,54817
gather_load_force_width_512_static_veclen_16_cpy,4718592,10,55582
gather_load_force_width_512_static_veclen_16_cpy,4718592,11,54776
gather_load_force_width_512_static_veclen_16_cpy,4718592,12,54643
gather_load_force_width_512_static_veclen_16_cpy,4718592,13,54982
gather_load_force_width_512_static_veclen_16_cpy,4718592,14,54681
gather_load_force_width_512_static_veclen_16_cpy,4718592,15,58148
gather_load_force_width_512_static_veclen_16_cpy,4718592,16,55730
gather_load_force_width_512_static_veclen_16_cpy,4718592,17,56490
gather_load_force_width_512_static_veclen_16_cpy,4718592,18,56417
gather_load_force_width_512_static_veclen_16_cpy,4718592,19,56749
gather_load_force_width_512_static_veclen_32_no_cpy,4718592,0,56333
gather_load_force_width_512_static_veclen_32_no_cpy,4718592,1,55014
gather_load_force_width_512_static_veclen_32_no_cpy,4718592,2,56258
gather_load_force_width_512_static_veclen_32_no_cpy,4718592,3,56726
gather_load_force_width_512_static_veclen_32_no_cpy,4718592,4,54869
gather_load_force_width_512_static_veclen_32_no_cpy,4718592,5,55350
gather_load_force_width_512_static_veclen_32_no_cpy,4718592,6,54202
gather_load_force_width_512_static_veclen_32_no_cpy,4718592,7,54049
gather_load_force_width_512_static_veclen_32_no_cpy,4718592,8,53780
gather_load_force_width_512_static_veclen_32_no_cpy,4718592,9,55681
gather_load_force_width_512_static_veclen_32_no_cpy,4718592,10,56126
gather_load_force_width_512_static_veclen_32_no_cpy,4718592,11,54894
gather_load_force_width_512_static_veclen_32_no_cpy,4718592,12,54917
gather_load_force_width_512_static_veclen_32_no_cpy,4718592,13,64522
gather_load_force_width_512_static_veclen_32_no_cpy,4718592,14,57018
gather_load_force_width_512_static_veclen_32_no_cpy,4718592,15,54042
gather_load_force_width_512_static_veclen_32_no_cpy,4718592,16,54649
gather_load_force_width_512_static_veclen_32_no_cpy,4718592,17,54460
gather_load_force_width_512_static_veclen_32_no_cpy,4718592,18,54509
gather_load_force_width_512_static_veclen_32_no_cpy,4718592,19,55707
gather_load_force_width_512_static_veclen_32_cpy,4718592,0,56424
gather_load_force_width_512_static_veclen_32_cpy,4718592,1,54235
gather_load_force_width_512_static_veclen_32_cpy,4718592,2,54170
gather_load_force_width_512_static_veclen_32_cpy,4718592,3,55741
gather_load_force_width_512_static_veclen_32_cpy,4718592,4,54971
gather_load_force_width_512_static_veclen_32_cpy,4718592,5,54096
gather_load_force_width_512_static_veclen_32_cpy,4718592,6,54947
gather_load_force_width_512_static_veclen_32_cpy,4718592,7,54125
gather_load_force_width_512_static_veclen_32_cpy,4718592,8,55159
gather_load_force_width_512_static_veclen_32_cpy,4718592,9,56404
gather_load_force_width_512_static_veclen_32_cpy,4718592,10,55031
gather_load_force_width_512_static_veclen_32_cpy,4718592,11,54317
gather_load_force_width_512_static_veclen_32_cpy,4718592,12,65138
gather_load_force_width_512_static_veclen_32_cpy,4718592,13,54011
gather_load_force_width_512_static_veclen_32_cpy,4718592,14,55140
gather_load_force_width_512_static_veclen_32_cpy,4718592,15,54252
gather_load_force_width_512_static_veclen_32_cpy,4718592,16,55823
gather_load_force_width_512_static_veclen_32_cpy,4718592,17,56972
gather_load_force_width_512_static_veclen_32_cpy,4718592,18,55057
gather_load_force_width_512_static_veclen_32_cpy,4718592,19,55545
gather_load_force_width_512_static_veclen_64_no_cpy,4718592,0,56264
gather_load_force_width_512_static_veclen_64_no_cpy,4718592,1,54464
gather_load_force_width_512_static_veclen_64_no_cpy,4718592,2,54193
gather_load_force_width_512_static_veclen_64_no_cpy,4718592,3,53981
gather_load_force_width_512_static_veclen_64_no_cpy,4718592,4,56154
gather_load_force_width_512_static_veclen_64_no_cpy,4718592,5,54309
gather_load_force_width_512_static_veclen_64_no_cpy,4718592,6,55721
gather_load_force_width_512_static_veclen_64_no_cpy,4718592,7,65731
gather_load_force_width_512_static_veclen_64_no_cpy,4718592,8,53743
gather_load_force_width_512_static_veclen_64_no_cpy,4718592,9,54178
gather_load_force_width_512_static_veclen_64_no_cpy,4718592,10,55306
gather_load_force_width_512_static_veclen_64_no_cpy,4718592,11,54101
gather_load_force_width_512_static_veclen_64_no_cpy,4718592,12,56421
gather_load_force_width_512_static_veclen_64_no_cpy,4718592,13,54749
gather_load_force_width_512_static_veclen_64_no_cpy,4718592,14,54118
gather_load_force_width_512_static_veclen_64_no_cpy,4718592,15,54064
gather_load_force_width_512_static_veclen_64_no_cpy,4718592,16,54199
gather_load_force_width_512_static_veclen_64_no_cpy,4718592,17,55114
