sdfg_name,size,rep,time_seconds
gather_load,4718592,0,57835
gather_load,4718592,1,58731
gather_load,4718592,2,57651
gather_load,4718592,3,61831
gather_load,4718592,4,63697
gather_load,4718592,5,58563
gather_load,4718592,6,57396
gather_load,4718592,7,59130
gather_load,4718592,8,58619
gather_load,4718592,9,56910
gather_load,4718592,10,58417
gather_load,4718592,11,57805
gather_load,4718592,12,57143
gather_load,4718592,13,57643
gather_load,4718592,14,67560
gather_load,4718592,15,56306
gather_load,4718592,16,57626
gather_load,4718592,17,57374
gather_load,4718592,18,58111
gather_load,4718592,19,58265
gather_load_static_veclen_8_no_cpy,4718592,0,60817
gather_load_static_veclen_8_no_cpy,4718592,1,59320
gather_load_static_veclen_8_no_cpy,4718592,2,58583
gather_load_static_veclen_8_no_cpy,4718592,3,64295
gather_load_static_veclen_8_no_cpy,4718592,4,59967
gather_load_static_veclen_8_no_cpy,4718592,5,59527
gather_load_static_veclen_8_no_cpy,4718592,6,56969
gather_load_static_veclen_8_no_cpy,4718592,7,57739
gather_load_static_veclen_8_no_cpy,4718592,8,57078
gather_load_static_veclen_8_no_cpy,4718592,9,56708
gather_load_static_veclen_8_no_cpy,4718592,10,57786
gather_load_static_veclen_8_no_cpy,4718592,11,57047
gather_load_static_veclen_8_no_cpy,4718592,12,58554
gather_load_static_veclen_8_no_cpy,4718592,13,56750
gather_load_static_veclen_8_no_cpy,4718592,14,59453
gather_load_static_veclen_8_no_cpy,4718592,15,64788
gather_load_static_veclen_8_no_cpy,4718592,16,59202
gather_load_static_veclen_8_no_cpy,4718592,17,59264
gather_load_static_veclen_8_no_cpy,4718592,18,59332
gather_load_static_veclen_8_no_cpy,4718592,19,59169
gather_load_static_veclen_8_cpy,4718592,0,60218
gather_load_static_veclen_8_cpy,4718592,1,58343
gather_load_static_veclen_8_cpy,4718592,2,58362
gather_load_static_veclen_8_cpy,4718592,3,68990
gather_load_static_veclen_8_cpy,4718592,4,56899
gather_load_static_veclen_8_cpy,4718592,5,56975
gather_load_static_veclen_8_cpy,4718592,6,56934
gather_load_static_veclen_8_cpy,4718592,7,57897
gather_load_static_veclen_8_cpy,4718592,8,57321
gather_load_static_veclen_8_cpy,4718592,9,58105
gather_load_static_veclen_8_cpy,4718592,10,56742
gather_load_static_veclen_8_cpy,4718592,11,58270
gather_load_static_veclen_8_cpy,4718592,12,57142
gather_load_static_veclen_8_cpy,4718592,13,59347
gather_load_static_veclen_8_cpy,4718592,14,65459
gather_load_static_veclen_8_cpy,4718592,15,58135
gather_load_static_veclen_8_cpy,4718592,16,58107
gather_load_static_veclen_8_cpy,4718592,17,57901
gather_load_static_veclen_8_cpy,4718592,18,57822
gather_load_static_veclen_8_cpy,4718592,19,57873
gather_load_static_veclen_16_no_cpy,4718592,0,57873
gather_load_static_veclen_16_no_cpy,4718592,1,55395
gather_load_static_veclen_16_no_cpy,4718592,2,56416
gather_load_static_veclen_16_no_cpy,4718592,3,55692
gather_load_static_veclen_16_no_cpy,4718592,4,54483
gather_load_static_veclen_16_no_cpy,4718592,5,55692
gather_load_static_veclen_16_no_cpy,4718592,6,55539
gather_load_static_veclen_16_no_cpy,4718592,7,56599
gather_load_static_veclen_16_no_cpy,4718592,8,60979
gather_load_static_veclen_16_no_cpy,4718592,9,56740
gather_load_static_veclen_16_no_cpy,4718592,10,54755
gather_load_static_veclen_16_no_cpy,4718592,11,55665
gather_load_static_veclen_16_no_cpy,4718592,12,56402
gather_load_static_veclen_16_no_cpy,4718592,13,55548
gather_load_static_veclen_16_no_cpy,4718592,14,55644
gather_load_static_veclen_16_no_cpy,4718592,15,55521
gather_load_static_veclen_16_no_cpy,4718592,16,55126
gather_load_static_veclen_16_no_cpy,4718592,17,55649
gather_load_static_veclen_16_no_cpy,4718592,18,54509
gather_load_static_veclen_16_no_cpy,4718592,19,54816
gather_load_static_veclen_16_cpy,4718592,0,54934
gather_load_static_veclen_16_cpy,4718592,1,54483
gather_load_static_veclen_16_cpy,4718592,2,56228
gather_load_static_veclen_16_cpy,4718592,3,54915
gather_load_static_veclen_16_cpy,4718592,4,56475
gather_load_static_veclen_16_cpy,4718592,5,54442
gather_load_static_veclen_16_cpy,4718592,6,54889
gather_load_static_veclen_16_cpy,4718592,7,54978
gather_load_static_veclen_16_cpy,4718592,8,54436
gather_load_static_veclen_16_cpy,4718592,9,63354
gather_load_static_veclen_16_cpy,4718592,10,54823
gather_load_static_veclen_16_cpy,4718592,11,55038
gather_load_static_veclen_16_cpy,4718592,12,55776
gather_load_static_veclen_16_cpy,4718592,13,55102
gather_load_static_veclen_16_cpy,4718592,14,55868
gather_load_static_veclen_16_cpy,4718592,15,55729
gather_load_static_veclen_16_cpy,4718592,16,54972
gather_load_static_veclen_16_cpy,4718592,17,55387
gather_load_static_veclen_16_cpy,4718592,18,54882
gather_load_static_veclen_16_cpy,4718592,19,55214
gather_load_static_veclen_32_no_cpy,4718592,0,54086
gather_load_static_veclen_32_no_cpy,4718592,1,56157
gather_load_static_veclen_32_no_cpy,4718592,2,55069
gather_load_static_veclen_32_no_cpy,4718592,3,55013
gather_load_static_veclen_32_no_cpy,4718592,4,54120
gather_load_static_veclen_32_no_cpy,4718592,5,54269
gather_load_static_veclen_32_no_cpy,4718592,6,54608
gather_load_static_veclen_32_no_cpy,4718592,7,55891
gather_load_static_veclen_32_no_cpy,4718592,8,54480
gather_load_static_veclen_32_no_cpy,4718592,9,55000
gather_load_static_veclen_32_no_cpy,4718592,10,153157
gather_load_static_veclen_32_no_cpy,4718592,11,54544
gather_load_static_veclen_32_no_cpy,4718592,12,56088
gather_load_static_veclen_32_no_cpy,4718592,13,54272
gather_load_static_veclen_32_no_cpy,4718592,14,55165
gather_load_static_veclen_32_no_cpy,4718592,15,54847
gather_load_static_veclen_32_no_cpy,4718592,16,56229
gather_load_static_veclen_32_no_cpy,4718592,17,54119
gather_load_static_veclen_32_no_cpy,4718592,18,56473
gather_load_static_veclen_32_no_cpy,4718592,19,55926
gather_load_static_veclen_32_cpy,4718592,0,56475
gather_load_static_veclen_32_cpy,4718592,1,55059
gather_load_static_veclen_32_cpy,4718592,2,55751
gather_load_static_veclen_32_cpy,4718592,3,54134
gather_load_static_veclen_32_cpy,4718592,4,66715
gather_load_static_veclen_32_cpy,4718592,5,53757
gather_load_static_veclen_32_cpy,4718592,6,56461
gather_load_static_veclen_32_cpy,4718592,7,53922
gather_load_static_veclen_32_cpy,4718592,8,56436
gather_load_static_veclen_32_cpy,4718592,9,56290
gather_load_static_veclen_32_cpy,4718592,10,54931
gather_load_static_veclen_32_cpy,4718592,11,56212
gather_load_static_veclen_32_cpy,4718592,12,55521
gather_load_static_veclen_32_cpy,4718592,13,55027
gather_load_static_veclen_32_cpy,4718592,14,66849
gather_load_static_veclen_32_cpy,4718592,15,53723
gather_load_static_veclen_32_cpy,4718592,16,55485
gather_load_static_veclen_32_cpy,4718592,17,56097
gather_load_static_veclen_32_cpy,4718592,18,56739
gather_load_static_veclen_32_cpy,4718592,19,56286
gather_load_static_veclen_64_no_cpy,4718592,0,57418
gather_load_static_veclen_64_no_cpy,4718592,1,54110
gather_load_static_veclen_64_no_cpy,4718592,2,54754
gather_load_static_veclen_64_no_cpy,4718592,3,55070
gather_load_static_veclen_64_no_cpy,4718592,4,54134
gather_load_static_veclen_64_no_cpy,4718592,5,53804
gather_load_static_veclen_64_no_cpy,4718592,6,55822
gather_load_static_veclen_64_no_cpy,4718592,7,54375
gather_load_static_veclen_64_no_cpy,4718592,8,55313
gather_load_static_veclen_64_no_cpy,4718592,9,54680
gather_load_static_veclen_64_no_cpy,4718592,10,55683
gather_load_static_veclen_64_no_cpy,4718592,11,56498
gather_load_static_veclen_64_no_cpy,4718592,12,55252
gather_load_static_veclen_64_no_cpy,4718592,13,55944
gather_load_static_veclen_64_no_cpy,4718592,14,56304
gather_load_static_veclen_64_no_cpy,4718592,15,54280
gather_load_static_veclen_64_no_cpy,4718592,16,54843
gather_load_static_veclen_64_no_cpy,4718592,17,55708
gather_load_static_veclen_64_no_cpy,4718592,18,54608
gather_load_static_veclen_64_no_cpy,4718592,19,54806
gather_load_static_veclen_64_cpy,4718592,0,55931
gather_load_static_veclen_64_cpy,4718592,1,55043
gather_load_static_veclen_64_cpy,4718592,2,54440
gather_load_static_veclen_64_cpy,4718592,3,54866
gather_load_static_veclen_64_cpy,4718592,4,54382
gather_load_static_veclen_64_cpy,4718592,5,54250
gather_load_static_veclen_64_cpy,4718592,6,54056
gather_load_static_veclen_64_cpy,4718592,7,55045
gather_load_static_veclen_64_cpy,4718592,8,53902
gather_load_static_veclen_64_cpy,4718592,9,54852
gather_load_static_veclen_64_cpy,4718592,10,53864
