sdfg_name,size,rep,time_seconds
gather_load_force_width_512,4718592,0,36358
gather_load_force_width_512,4718592,1,36422
gather_load_force_width_512,4718592,2,36420
gather_load_force_width_512,4718592,3,36414
gather_load_force_width_512,4718592,4,36391
gather_load_force_width_512,4718592,5,36423
gather_load_force_width_512,4718592,6,36395
gather_load_force_width_512,4718592,7,36430
gather_load_force_width_512,4718592,8,36388
gather_load_force_width_512,4718592,9,36419
gather_load_force_width_512,4718592,10,36395
gather_load_force_width_512,4718592,11,36405
gather_load_force_width_512,4718592,12,36418
gather_load_force_width_512,4718592,13,36401
gather_load_force_width_512,4718592,14,36366
gather_load_force_width_512,4718592,15,36385
gather_load_force_width_512,4718592,16,36404
gather_load_force_width_512,4718592,17,36394
gather_load_force_width_512,4718592,18,36396
gather_load_force_width_512,4718592,19,36426
gather_load_force_width_512_static_veclen_4_no_cpy,4718592,0,43
gather_load_force_width_512_static_veclen_4_no_cpy,4718592,1,43
gather_load_force_width_512_static_veclen_4_no_cpy,4718592,2,42
gather_load_force_width_512_static_veclen_4_no_cpy,4718592,3,43
gather_load_force_width_512_static_veclen_4_no_cpy,4718592,4,42
gather_load_force_width_512_static_veclen_4_no_cpy,4718592,5,42
gather_load_force_width_512_static_veclen_4_no_cpy,4718592,6,43
gather_load_force_width_512_static_veclen_4_no_cpy,4718592,7,42
gather_load_force_width_512_static_veclen_4_no_cpy,4718592,8,42
gather_load_force_width_512_static_veclen_4_no_cpy,4718592,9,43
gather_load_force_width_512_static_veclen_4_no_cpy,4718592,10,49
gather_load_force_width_512_static_veclen_4_no_cpy,4718592,11,42
gather_load_force_width_512_static_veclen_4_no_cpy,4718592,12,42
gather_load_force_width_512_static_veclen_4_no_cpy,4718592,13,42
gather_load_force_width_512_static_veclen_4_no_cpy,4718592,14,43
gather_load_force_width_512_static_veclen_4_no_cpy,4718592,15,42
gather_load_force_width_512_static_veclen_4_no_cpy,4718592,16,43
gather_load_force_width_512_static_veclen_4_no_cpy,4718592,17,42
gather_load_force_width_512_static_veclen_4_no_cpy,4718592,18,43
gather_load_force_width_512_static_veclen_4_no_cpy,4718592,19,42
gather_load_force_width_512_static_veclen_4_cpy,4718592,0,43
gather_load_force_width_512_static_veclen_4_cpy,4718592,1,43
gather_load_force_width_512_static_veclen_4_cpy,4718592,2,43
gather_load_force_width_512_static_veclen_4_cpy,4718592,3,42
gather_load_force_width_512_static_veclen_4_cpy,4718592,4,43
gather_load_force_width_512_static_veclen_4_cpy,4718592,5,42
gather_load_force_width_512_static_veclen_4_cpy,4718592,6,42
gather_load_force_width_512_static_veclen_4_cpy,4718592,7,42
gather_load_force_width_512_static_veclen_4_cpy,4718592,8,43
gather_load_force_width_512_static_veclen_4_cpy,4718592,9,43
gather_load_force_width_512_static_veclen_4_cpy,4718592,10,43
gather_load_force_width_512_static_veclen_4_cpy,4718592,11,42
gather_load_force_width_512_static_veclen_4_cpy,4718592,12,42
gather_load_force_width_512_static_veclen_4_cpy,4718592,13,43
gather_load_force_width_512_static_veclen_4_cpy,4718592,14,43
gather_load_force_width_512_static_veclen_4_cpy,4718592,15,42
gather_load_force_width_512_static_veclen_4_cpy,4718592,16,42
gather_load_force_width_512_static_veclen_4_cpy,4718592,17,43
gather_load_force_width_512_static_veclen_4_cpy,4718592,18,42
gather_load_force_width_512_static_veclen_4_cpy,4718592,19,42
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,0,36341
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,1,36365
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,2,36290
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,3,36339
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,4,36305
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,5,36318
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,6,36317
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,7,36326
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,8,36366
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,9,36342
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,10,36325
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,11,36312
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,12,36347
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,13,36357
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,14,36300
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,15,36514
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,16,36325
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,17,36308
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,18,36319
gather_load_force_width_512_static_veclen_8_no_cpy,4718592,19,36343
gather_load_force_width_512_static_veclen_8_cpy,4718592,0,36234
gather_load_force_width_512_static_veclen_8_cpy,4718592,1,36326
gather_load_force_width_512_static_veclen_8_cpy,4718592,2,36336
gather_load_force_width_512_static_veclen_8_cpy,4718592,3,36356
gather_load_force_width_512_static_veclen_8_cpy,4718592,4,36350
gather_load_force_width_512_static_veclen_8_cpy,4718592,5,36309
gather_load_force_width_512_static_veclen_8_cpy,4718592,6,36309
gather_load_force_width_512_static_veclen_8_cpy,4718592,7,36332
gather_load_force_width_512_static_veclen_8_cpy,4718592,8,36299
gather_load_force_width_512_static_veclen_8_cpy,4718592,9,36309
gather_load_force_width_512_static_veclen_8_cpy,4718592,10,36349
gather_load_force_width_512_static_veclen_8_cpy,4718592,11,36359
gather_load_force_width_512_static_veclen_8_cpy,4718592,12,36290
gather_load_force_width_512_static_veclen_8_cpy,4718592,13,36279
gather_load_force_width_512_static_veclen_8_cpy,4718592,14,36302
gather_load_force_width_512_static_veclen_8_cpy,4718592,15,36506
gather_load_force_width_512_static_veclen_8_cpy,4718592,16,36305
gather_load_force_width_512_static_veclen_8_cpy,4718592,17,36331
gather_load_force_width_512_static_veclen_8_cpy,4718592,18,36307
gather_load_force_width_512_static_veclen_8_cpy,4718592,19,36326
gather_load_force_width_512_static_veclen_16_no_cpy,4718592,0,35020
gather_load_force_width_512_static_veclen_16_no_cpy,4718592,1,35346
gather_load_force_width_512_static_veclen_16_no_cpy,4718592,2,35120
gather_load_force_width_512_static_veclen_16_no_cpy,4718592,3,35110
gather_load_force_width_512_static_veclen_16_no_cpy,4718592,4,35088
gather_load_force_width_512_static_veclen_16_no_cpy,4718592,5,35090
gather_load_force_width_512_static_veclen_16_no_cpy,4718592,6,35109
gather_load_force_width_512_static_veclen_16_no_cpy,4718592,7,35106
gather_load_force_width_512_static_veclen_16_no_cpy,4718592,8,35105
gather_load_force_width_512_static_veclen_16_no_cpy,4718592,9,35080
gather_load_force_width_512_static_veclen_16_no_cpy,4718592,10,35105
