sdfg_name,size,rep,time_seconds
gather_load,4718592,0,3469
gather_load,4718592,1,3369
gather_load,4718592,2,3353
gather_load,4718592,3,3338
gather_load,4718592,4,3335
gather_load,4718592,5,3321
gather_load,4718592,6,3321
gather_load,4718592,7,3310
gather_load,4718592,8,3310
gather_load,4718592,9,3304
gather_load,4718592,10,3311
gather_load,4718592,11,3318
gather_load,4718592,12,3298
gather_load,4718592,13,3295
gather_load,4718592,14,3292
gather_load,4718592,15,3304
gather_load,4718592,16,3296
gather_load,4718592,17,3305
gather_load,4718592,18,3298
gather_load,4718592,19,3295
gather_load_static_veclen_4_no_cpy,4718592,0,7
gather_load_static_veclen_4_no_cpy,4718592,1,7
gather_load_static_veclen_4_no_cpy,4718592,2,7
gather_load_static_veclen_4_no_cpy,4718592,3,7
gather_load_static_veclen_4_no_cpy,4718592,4,8
gather_load_static_veclen_4_no_cpy,4718592,5,8
gather_load_static_veclen_4_no_cpy,4718592,6,8
gather_load_static_veclen_4_no_cpy,4718592,7,7
gather_load_static_veclen_4_no_cpy,4718592,8,7
gather_load_static_veclen_4_no_cpy,4718592,9,7
gather_load_static_veclen_4_no_cpy,4718592,10,7
gather_load_static_veclen_4_no_cpy,4718592,11,8
gather_load_static_veclen_4_no_cpy,4718592,12,8
gather_load_static_veclen_4_no_cpy,4718592,13,7
gather_load_static_veclen_4_no_cpy,4718592,14,7
gather_load_static_veclen_4_no_cpy,4718592,15,7
gather_load_static_veclen_4_no_cpy,4718592,16,7
gather_load_static_veclen_4_no_cpy,4718592,17,7
gather_load_static_veclen_4_no_cpy,4718592,18,7
gather_load_static_veclen_4_no_cpy,4718592,19,7
gather_load_static_veclen_4_cpy,4718592,0,7
gather_load_static_veclen_4_cpy,4718592,1,8
gather_load_static_veclen_4_cpy,4718592,2,7
gather_load_static_veclen_4_cpy,4718592,3,7
gather_load_static_veclen_4_cpy,4718592,4,7
gather_load_static_veclen_4_cpy,4718592,5,7
gather_load_static_veclen_4_cpy,4718592,6,7
gather_load_static_veclen_4_cpy,4718592,7,8
