sdfg_name,size,rep,time_seconds
gather_load_no_vectorize,4718592,0,3627
gather_load_no_vectorize,4718592,1,3513
gather_load_no_vectorize,4718592,2,3497
gather_load_no_vectorize,4718592,3,3484
gather_load_no_vectorize,4718592,4,3476
gather_load_no_vectorize,4718592,5,3461
gather_load_no_vectorize,4718592,6,3466
gather_load_no_vectorize,4718592,7,3463
gather_load_no_vectorize,4718592,8,3462
gather_load_no_vectorize,4718592,9,3460
gather_load_no_vectorize,4718592,10,3449
gather_load_no_vectorize,4718592,11,3456
gather_load_no_vectorize,4718592,12,3442
gather_load_no_vectorize,4718592,13,3461
gather_load_no_vectorize,4718592,14,3456
gather_load_no_vectorize,4718592,15,3451
gather_load_no_vectorize,4718592,16,3447
gather_load_no_vectorize,4718592,17,3441
gather_load_no_vectorize,4718592,18,3444
gather_load_no_vectorize,4718592,19,3444
gather_load_no_vectorize_static_veclen_4_no_cpy,4718592,0,8
gather_load_no_vectorize_static_veclen_4_no_cpy,4718592,1,7
gather_load_no_vectorize_static_veclen_4_no_cpy,4718592,2,8
gather_load_no_vectorize_static_veclen_4_no_cpy,4718592,3,7
gather_load_no_vectorize_static_veclen_4_no_cpy,4718592,4,7
gather_load_no_vectorize_static_veclen_4_no_cpy,4718592,5,7
gather_load_no_vectorize_static_veclen_4_no_cpy,4718592,6,7
gather_load_no_vectorize_static_veclen_4_no_cpy,4718592,7,7
gather_load_no_vectorize_static_veclen_4_no_cpy,4718592,8,7
gather_load_no_vectorize_static_veclen_4_no_cpy,4718592,9,7
gather_load_no_vectorize_static_veclen_4_no_cpy,4718592,10,7
gather_load_no_vectorize_static_veclen_4_no_cpy,4718592,11,7
gather_load_no_vectorize_static_veclen_4_no_cpy,4718592,12,7
gather_load_no_vectorize_static_veclen_4_no_cpy,4718592,13,7
gather_load_no_vectorize_static_veclen_4_no_cpy,4718592,14,8
gather_load_no_vectorize_static_veclen_4_no_cpy,4718592,15,7
gather_load_no_vectorize_static_veclen_4_no_cpy,4718592,16,7
gather_load_no_vectorize_static_veclen_4_no_cpy,4718592,17,7
gather_load_no_vectorize_static_veclen_4_no_cpy,4718592,18,12
gather_load_no_vectorize_static_veclen_4_no_cpy,4718592,19,7
gather_load_no_vectorize_static_veclen_4_cpy,4718592,0,8
gather_load_no_vectorize_static_veclen_4_cpy,4718592,1,7
gather_load_no_vectorize_static_veclen_4_cpy,4718592,2,7
gather_load_no_vectorize_static_veclen_4_cpy,4718592,3,8
gather_load_no_vectorize_static_veclen_4_cpy,4718592,4,7
gather_load_no_vectorize_static_veclen_4_cpy,4718592,5,7
gather_load_no_vectorize_static_veclen_4_cpy,4718592,6,12
gather_load_no_vectorize_static_veclen_4_cpy,4718592,7,7
gather_load_no_vectorize_static_veclen_4_cpy,4718592,8,7
