sdfg_name,size,rep,time_seconds
gather_load_force_width_256,4718592,0,28106
gather_load_force_width_256,4718592,1,28177
gather_load_force_width_256,4718592,2,28385
gather_load_force_width_256,4718592,3,28044
gather_load_force_width_256,4718592,4,28050
gather_load_force_width_256,4718592,5,28422
gather_load_force_width_256,4718592,6,28161
gather_load_force_width_256,4718592,7,28152
gather_load_force_width_256,4718592,8,28194
gather_load_force_width_256,4718592,9,28050
gather_load_force_width_256,4718592,10,28001
gather_load_force_width_256,4718592,11,28254
gather_load_force_width_256,4718592,12,28163
gather_load_force_width_256,4718592,13,28194
gather_load_force_width_256,4718592,14,28362
gather_load_force_width_256,4718592,15,28014
gather_load_force_width_256,4718592,16,28017
gather_load_force_width_256,4718592,17,28244
gather_load_force_width_256,4718592,18,28151
gather_load_force_width_256,4718592,19,28198
gather_load_force_width_256_static_veclen_8_no_cpy,4718592,0,26420
gather_load_force_width_256_static_veclen_8_no_cpy,4718592,1,26449
gather_load_force_width_256_static_veclen_8_no_cpy,4718592,2,26443
gather_load_force_width_256_static_veclen_8_no_cpy,4718592,3,26436
gather_load_force_width_256_static_veclen_8_no_cpy,4718592,4,26461
gather_load_force_width_256_static_veclen_8_no_cpy,4718592,5,26448
gather_load_force_width_256_static_veclen_8_no_cpy,4718592,6,26445
gather_load_force_width_256_static_veclen_8_no_cpy,4718592,7,26403
gather_load_force_width_256_static_veclen_8_no_cpy,4718592,8,26402
gather_load_force_width_256_static_veclen_8_no_cpy,4718592,9,26425
gather_load_force_width_256_static_veclen_8_no_cpy,4718592,10,26421
gather_load_force_width_256_static_veclen_8_no_cpy,4718592,11,26449
gather_load_force_width_256_static_veclen_8_no_cpy,4718592,12,26405
gather_load_force_width_256_static_veclen_8_no_cpy,4718592,13,26429
gather_load_force_width_256_static_veclen_8_no_cpy,4718592,14,26398
gather_load_force_width_256_static_veclen_8_no_cpy,4718592,15,26392
gather_load_force_width_256_static_veclen_8_no_cpy,4718592,16,26380
gather_load_force_width_256_static_veclen_8_no_cpy,4718592,17,26374
gather_load_force_width_256_static_veclen_8_no_cpy,4718592,18,26441
gather_load_force_width_256_static_veclen_8_no_cpy,4718592,19,26401
gather_load_force_width_256_static_veclen_8_cpy,4718592,0,27413
gather_load_force_width_256_static_veclen_8_cpy,4718592,1,27421
gather_load_force_width_256_static_veclen_8_cpy,4718592,2,27415
gather_load_force_width_256_static_veclen_8_cpy,4718592,3,27448
gather_load_force_width_256_static_veclen_8_cpy,4718592,4,27436
gather_load_force_width_256_static_veclen_8_cpy,4718592,5,27423
gather_load_force_width_256_static_veclen_8_cpy,4718592,6,27423
gather_load_force_width_256_static_veclen_8_cpy,4718592,7,27449
gather_load_force_width_256_static_veclen_8_cpy,4718592,8,27414
gather_load_force_width_256_static_veclen_8_cpy,4718592,9,27431
gather_load_force_width_256_static_veclen_8_cpy,4718592,10,27397
gather_load_force_width_256_static_veclen_8_cpy,4718592,11,27405
gather_load_force_width_256_static_veclen_8_cpy,4718592,12,27414
gather_load_force_width_256_static_veclen_8_cpy,4718592,13,27445
gather_load_force_width_256_static_veclen_8_cpy,4718592,14,27432
gather_load_force_width_256_static_veclen_8_cpy,4718592,15,27406
gather_load_force_width_256_static_veclen_8_cpy,4718592,16,27411
gather_load_force_width_256_static_veclen_8_cpy,4718592,17,27402
gather_load_force_width_256_static_veclen_8_cpy,4718592,18,27389
gather_load_force_width_256_static_veclen_8_cpy,4718592,19,27418
gather_load_force_width_256_static_veclen_16_no_cpy,4718592,0,24357
gather_load_force_width_256_static_veclen_16_no_cpy,4718592,1,24538
gather_load_force_width_256_static_veclen_16_no_cpy,4718592,2,24582
gather_load_force_width_256_static_veclen_16_no_cpy,4718592,3,24564
gather_load_force_width_256_static_veclen_16_no_cpy,4718592,4,24460
gather_load_force_width_256_static_veclen_16_no_cpy,4718592,5,24546
gather_load_force_width_256_static_veclen_16_no_cpy,4718592,6,24492
gather_load_force_width_256_static_veclen_16_no_cpy,4718592,7,24571
gather_load_force_width_256_static_veclen_16_no_cpy,4718592,8,24648
gather_load_force_width_256_static_veclen_16_no_cpy,4718592,9,24548
gather_load_force_width_256_static_veclen_16_no_cpy,4718592,10,24575
gather_load_force_width_256_static_veclen_16_no_cpy,4718592,11,24467
gather_load_force_width_256_static_veclen_16_no_cpy,4718592,12,24634
gather_load_force_width_256_static_veclen_16_no_cpy,4718592,13,24452
gather_load_force_width_256_static_veclen_16_no_cpy,4718592,14,24455
gather_load_force_width_256_static_veclen_16_no_cpy,4718592,15,24538
gather_load_force_width_256_static_veclen_16_no_cpy,4718592,16,24441
gather_load_force_width_256_static_veclen_16_no_cpy,4718592,17,24566
gather_load_force_width_256_static_veclen_16_no_cpy,4718592,18,24493
gather_load_force_width_256_static_veclen_16_no_cpy,4718592,19,24499
gather_load_force_width_256_static_veclen_16_cpy,4718592,0,24952
gather_load_force_width_256_static_veclen_16_cpy,4718592,1,24951
gather_load_force_width_256_static_veclen_16_cpy,4718592,2,24926
gather_load_force_width_256_static_veclen_16_cpy,4718592,3,24972
gather_load_force_width_256_static_veclen_16_cpy,4718592,4,24929
gather_load_force_width_256_static_veclen_16_cpy,4718592,5,24933
gather_load_force_width_256_static_veclen_16_cpy,4718592,6,25007
gather_load_force_width_256_static_veclen_16_cpy,4718592,7,24964
gather_load_force_width_256_static_veclen_16_cpy,4718592,8,24948
gather_load_force_width_256_static_veclen_16_cpy,4718592,9,24962
gather_load_force_width_256_static_veclen_16_cpy,4718592,10,24951
gather_load_force_width_256_static_veclen_16_cpy,4718592,11,24915
gather_load_force_width_256_static_veclen_16_cpy,4718592,12,24958
gather_load_force_width_256_static_veclen_16_cpy,4718592,13,24947
gather_load_force_width_256_static_veclen_16_cpy,4718592,14,24954
gather_load_force_width_256_static_veclen_16_cpy,4718592,15,24957
gather_load_force_width_256_static_veclen_16_cpy,4718592,16,24955
gather_load_force_width_256_static_veclen_16_cpy,4718592,17,24937
gather_load_force_width_256_static_veclen_16_cpy,4718592,18,24945
gather_load_force_width_256_static_veclen_16_cpy,4718592,19,24916
gather_load_force_width_256_static_veclen_32_no_cpy,4718592,0,21683
gather_load_force_width_256_static_veclen_32_no_cpy,4718592,1,21715
gather_load_force_width_256_static_veclen_32_no_cpy,4718592,2,21752
gather_load_force_width_256_static_veclen_32_no_cpy,4718592,3,21922
gather_load_force_width_256_static_veclen_32_no_cpy,4718592,4,21696
gather_load_force_width_256_static_veclen_32_no_cpy,4718592,5,21716
gather_load_force_width_256_static_veclen_32_no_cpy,4718592,6,21700
gather_load_force_width_256_static_veclen_32_no_cpy,4718592,7,21724
gather_load_force_width_256_static_veclen_32_no_cpy,4718592,8,21757
gather_load_force_width_256_static_veclen_32_no_cpy,4718592,9,21882
gather_load_force_width_256_static_veclen_32_no_cpy,4718592,10,21748
gather_load_force_width_256_static_veclen_32_no_cpy,4718592,11,21771
gather_load_force_width_256_static_veclen_32_no_cpy,4718592,12,21726
gather_load_force_width_256_static_veclen_32_no_cpy,4718592,13,21740
gather_load_force_width_256_static_veclen_32_no_cpy,4718592,14,21825
gather_load_force_width_256_static_veclen_32_no_cpy,4718592,15,21949
gather_load_force_width_256_static_veclen_32_no_cpy,4718592,16,21727
gather_load_force_width_256_static_veclen_32_no_cpy,4718592,17,21751
gather_load_force_width_256_static_veclen_32_no_cpy,4718592,18,21728
gather_load_force_width_256_static_veclen_32_no_cpy,4718592,19,21715
gather_load_force_width_256_static_veclen_32_cpy,4718592,0,20683
gather_load_force_width_256_static_veclen_32_cpy,4718592,1,20713
gather_load_force_width_256_static_veclen_32_cpy,4718592,2,20708
gather_load_force_width_256_static_veclen_32_cpy,4718592,3,20680
gather_load_force_width_256_static_veclen_32_cpy,4718592,4,20735
gather_load_force_width_256_static_veclen_32_cpy,4718592,5,20710
gather_load_force_width_256_static_veclen_32_cpy,4718592,6,20738
gather_load_force_width_256_static_veclen_32_cpy,4718592,7,20704
gather_load_force_width_256_static_veclen_32_cpy,4718592,8,20715
gather_load_force_width_256_static_veclen_32_cpy,4718592,9,20752
gather_load_force_width_256_static_veclen_32_cpy,4718592,10,20779
gather_load_force_width_256_static_veclen_32_cpy,4718592,11,20704
gather_load_force_width_256_static_veclen_32_cpy,4718592,12,20733
gather_load_force_width_256_static_veclen_32_cpy,4718592,13,20818
gather_load_force_width_256_static_veclen_32_cpy,4718592,14,20766
gather_load_force_width_256_static_veclen_32_cpy,4718592,15,20732
gather_load_force_width_256_static_veclen_32_cpy,4718592,16,20761
gather_load_force_width_256_static_veclen_32_cpy,4718592,17,20765
gather_load_force_width_256_static_veclen_32_cpy,4718592,18,20791
gather_load_force_width_256_static_veclen_32_cpy,4718592,19,20769
gather_load_force_width_256_static_veclen_64_no_cpy,4718592,0,16796
gather_load_force_width_256_static_veclen_64_no_cpy,4718592,1,16837
gather_load_force_width_256_static_veclen_64_no_cpy,4718592,2,16786
gather_load_force_width_256_static_veclen_64_no_cpy,4718592,3,16785
gather_load_force_width_256_static_veclen_64_no_cpy,4718592,4,16894
gather_load_force_width_256_static_veclen_64_no_cpy,4718592,5,16804
gather_load_force_width_256_static_veclen_64_no_cpy,4718592,6,16844
gather_load_force_width_256_static_veclen_64_no_cpy,4718592,7,16859
gather_load_force_width_256_static_veclen_64_no_cpy,4718592,8,16838
gather_load_force_width_256_static_veclen_64_no_cpy,4718592,9,16813
gather_load_force_width_256_static_veclen_64_no_cpy,4718592,10,16826
gather_load_force_width_256_static_veclen_64_no_cpy,4718592,11,16826
gather_load_force_width_256_static_veclen_64_no_cpy,4718592,12,16805
gather_load_force_width_256_static_veclen_64_no_cpy,4718592,13,16849
gather_load_force_width_256_static_veclen_64_no_cpy,4718592,14,16897
gather_load_force_width_256_static_veclen_64_no_cpy,4718592,15,16841
gather_load_force_width_256_static_veclen_64_no_cpy,4718592,16,16867
gather_load_force_width_256_static_veclen_64_no_cpy,4718592,17,16837
gather_load_force_width_256_static_veclen_64_no_cpy,4718592,18,16863
gather_load_force_width_256_static_veclen_64_no_cpy,4718592,19,16859
gather_load_force_width_256_static_veclen_64_cpy,4718592,0,16442
