sdfg_name,size,rep,time_seconds
gather_load,4718592,0,494
gather_load,4718592,1,409
gather_load,4718592,2,375
gather_load,4718592,3,393
gather_load,4718592,4,346
gather_load,4718592,5,338
gather_load,4718592,6,328
gather_load,4718592,7,329
gather_load,4718592,8,325
gather_load,4718592,9,322
gather_load,4718592,10,318
gather_load,4718592,11,316
gather_load,4718592,12,313
gather_load,4718592,13,311
gather_load,4718592,14,309
gather_load,4718592,15,325
gather_load,4718592,16,309
gather_load,4718592,17,306
gather_load,4718592,18,309
gather_load,4718592,19,306
gather_load_static_veclen_8_no_cpy,4718592,0,300
gather_load_static_veclen_8_no_cpy,4718592,1,278
gather_load_static_veclen_8_no_cpy,4718592,2,269
gather_load_static_veclen_8_no_cpy,4718592,3,264
gather_load_static_veclen_8_no_cpy,4718592,4,261
gather_load_static_veclen_8_no_cpy,4718592,5,262
gather_load_static_veclen_8_no_cpy,4718592,6,261
gather_load_static_veclen_8_no_cpy,4718592,7,258
gather_load_static_veclen_8_no_cpy,4718592,8,258
gather_load_static_veclen_8_no_cpy,4718592,9,258
gather_load_static_veclen_8_no_cpy,4718592,10,261
gather_load_static_veclen_8_no_cpy,4718592,11,254
gather_load_static_veclen_8_no_cpy,4718592,12,253
gather_load_static_veclen_8_no_cpy,4718592,13,254
gather_load_static_veclen_8_no_cpy,4718592,14,254
gather_load_static_veclen_8_no_cpy,4718592,15,251
gather_load_static_veclen_8_no_cpy,4718592,16,251
gather_load_static_veclen_8_no_cpy,4718592,17,252
gather_load_static_veclen_8_no_cpy,4718592,18,2366
gather_load_static_veclen_8_no_cpy,4718592,19,251
gather_load_static_veclen_8_cpy,4718592,0,292
gather_load_static_veclen_8_cpy,4718592,1,269
gather_load_static_veclen_8_cpy,4718592,2,2752
gather_load_static_veclen_8_cpy,4718592,3,264
gather_load_static_veclen_8_cpy,4718592,4,266
gather_load_static_veclen_8_cpy,4718592,5,305
gather_load_static_veclen_8_cpy,4718592,6,267
gather_load_static_veclen_8_cpy,4718592,7,261
gather_load_static_veclen_8_cpy,4718592,8,261
gather_load_static_veclen_8_cpy,4718592,9,255
gather_load_static_veclen_8_cpy,4718592,10,258
gather_load_static_veclen_8_cpy,4718592,11,259
gather_load_static_veclen_8_cpy,4718592,12,260
gather_load_static_veclen_8_cpy,4718592,13,257
gather_load_static_veclen_8_cpy,4718592,14,257
gather_load_static_veclen_8_cpy,4718592,15,256
gather_load_static_veclen_8_cpy,4718592,16,252
gather_load_static_veclen_8_cpy,4718592,17,284
gather_load_static_veclen_8_cpy,4718592,18,255
gather_load_static_veclen_8_cpy,4718592,19,253
gather_load_static_veclen_16_no_cpy,4718592,0,310
gather_load_static_veclen_16_no_cpy,4718592,1,283
gather_load_static_veclen_16_no_cpy,4718592,2,276
gather_load_static_veclen_16_no_cpy,4718592,3,272
gather_load_static_veclen_16_no_cpy,4718592,4,265
gather_load_static_veclen_16_no_cpy,4718592,5,263
gather_load_static_veclen_16_no_cpy,4718592,6,260
gather_load_static_veclen_16_no_cpy,4718592,7,262
gather_load_static_veclen_16_no_cpy,4718592,8,259
gather_load_static_veclen_16_no_cpy,4718592,9,258
gather_load_static_veclen_16_no_cpy,4718592,10,258
gather_load_static_veclen_16_no_cpy,4718592,11,253
gather_load_static_veclen_16_no_cpy,4718592,12,254
gather_load_static_veclen_16_no_cpy,4718592,13,253
gather_load_static_veclen_16_no_cpy,4718592,14,252
gather_load_static_veclen_16_no_cpy,4718592,15,253
gather_load_static_veclen_16_no_cpy,4718592,16,252
gather_load_static_veclen_16_no_cpy,4718592,17,252
gather_load_static_veclen_16_no_cpy,4718592,18,253
gather_load_static_veclen_16_no_cpy,4718592,19,252
gather_load_static_veclen_16_cpy,4718592,0,296
gather_load_static_veclen_16_cpy,4718592,1,280
gather_load_static_veclen_16_cpy,4718592,2,278
gather_load_static_veclen_16_cpy,4718592,3,272
gather_load_static_veclen_16_cpy,4718592,4,267
gather_load_static_veclen_16_cpy,4718592,5,266
gather_load_static_veclen_16_cpy,4718592,6,266
gather_load_static_veclen_16_cpy,4718592,7,266
gather_load_static_veclen_16_cpy,4718592,8,266
gather_load_static_veclen_16_cpy,4718592,9,265
gather_load_static_veclen_16_cpy,4718592,10,260
gather_load_static_veclen_16_cpy,4718592,11,264
gather_load_static_veclen_16_cpy,4718592,12,284
gather_load_static_veclen_16_cpy,4718592,13,265
gather_load_static_veclen_16_cpy,4718592,14,3008
gather_load_static_veclen_16_cpy,4718592,15,262
gather_load_static_veclen_16_cpy,4718592,16,262
gather_load_static_veclen_16_cpy,4718592,17,260
gather_load_static_veclen_16_cpy,4718592,18,259
gather_load_static_veclen_16_cpy,4718592,19,261
gather_load_static_veclen_32_no_cpy,4718592,0,302
gather_load_static_veclen_32_no_cpy,4718592,1,284
gather_load_static_veclen_32_no_cpy,4718592,2,281
gather_load_static_veclen_32_no_cpy,4718592,3,276
gather_load_static_veclen_32_no_cpy,4718592,4,275
gather_load_static_veclen_32_no_cpy,4718592,5,303
gather_load_static_veclen_32_no_cpy,4718592,6,279
gather_load_static_veclen_32_no_cpy,4718592,7,271
gather_load_static_veclen_32_no_cpy,4718592,8,276
gather_load_static_veclen_32_no_cpy,4718592,9,272
gather_load_static_veclen_32_no_cpy,4718592,10,273
gather_load_static_veclen_32_no_cpy,4718592,11,273
gather_load_static_veclen_32_no_cpy,4718592,12,270
gather_load_static_veclen_32_no_cpy,4718592,13,292
gather_load_static_veclen_32_no_cpy,4718592,14,3054
gather_load_static_veclen_32_no_cpy,4718592,15,269
gather_load_static_veclen_32_no_cpy,4718592,16,271
gather_load_static_veclen_32_no_cpy,4718592,17,295
gather_load_static_veclen_32_no_cpy,4718592,18,270
gather_load_static_veclen_32_no_cpy,4718592,19,272
gather_load_static_veclen_32_cpy,4718592,0,347
gather_load_static_veclen_32_cpy,4718592,1,318
gather_load_static_veclen_32_cpy,4718592,2,331
gather_load_static_veclen_32_cpy,4718592,3,302
gather_load_static_veclen_32_cpy,4718592,4,299
gather_load_static_veclen_32_cpy,4718592,5,300
gather_load_static_veclen_32_cpy,4718592,6,339
gather_load_static_veclen_32_cpy,4718592,7,295
gather_load_static_veclen_32_cpy,4718592,8,293
gather_load_static_veclen_32_cpy,4718592,9,296
gather_load_static_veclen_32_cpy,4718592,10,294
gather_load_static_veclen_32_cpy,4718592,11,1298
gather_load_static_veclen_32_cpy,4718592,12,296
gather_load_static_veclen_32_cpy,4718592,13,299
gather_load_static_veclen_32_cpy,4718592,14,551
gather_load_static_veclen_32_cpy,4718592,15,293
gather_load_static_veclen_32_cpy,4718592,16,291
gather_load_static_veclen_32_cpy,4718592,17,290
gather_load_static_veclen_32_cpy,4718592,18,314
gather_load_static_veclen_32_cpy,4718592,19,291
gather_load_static_veclen_64_no_cpy,4718592,0,462
gather_load_static_veclen_64_no_cpy,4718592,1,413
gather_load_static_veclen_64_no_cpy,4718592,2,391
gather_load_static_veclen_64_no_cpy,4718592,3,382
gather_load_static_veclen_64_no_cpy,4718592,4,380
gather_load_static_veclen_64_no_cpy,4718592,5,376
gather_load_static_veclen_64_no_cpy,4718592,6,378
gather_load_static_veclen_64_no_cpy,4718592,7,375
gather_load_static_veclen_64_no_cpy,4718592,8,380
gather_load_static_veclen_64_no_cpy,4718592,9,385
gather_load_static_veclen_64_no_cpy,4718592,10,3464
gather_load_static_veclen_64_no_cpy,4718592,11,381
gather_load_static_veclen_64_no_cpy,4718592,12,384
gather_load_static_veclen_64_no_cpy,4718592,13,373
gather_load_static_veclen_64_no_cpy,4718592,14,374
gather_load_static_veclen_64_no_cpy,4718592,15,387
gather_load_static_veclen_64_no_cpy,4718592,16,368
gather_load_static_veclen_64_no_cpy,4718592,17,365
gather_load_static_veclen_64_no_cpy,4718592,18,372
gather_load_static_veclen_64_no_cpy,4718592,19,371
gather_load_static_veclen_64_cpy,4718592,0,526
gather_load_static_veclen_64_cpy,4718592,1,455
gather_load_static_veclen_64_cpy,4718592,2,424
gather_load_static_veclen_64_cpy,4718592,3,414
gather_load_static_veclen_64_cpy,4718592,4,412
gather_load_static_veclen_64_cpy,4718592,5,405
