sdfg_name,size,rep,time_seconds
gather_load_intrinsic_sve,4718592,0,31008
gather_load_intrinsic_sve,4718592,1,25450
gather_load_intrinsic_sve,4718592,2,23142
gather_load_intrinsic_sve,4718592,3,21904
gather_load_intrinsic_sve,4718592,4,21626
gather_load_intrinsic_sve,4718592,5,26867
gather_load_intrinsic_sve,4718592,6,21296
gather_load_intrinsic_sve,4718592,7,19848
gather_load_intrinsic_sve,4718592,8,20184
gather_load_intrinsic_sve,4718592,9,20533
gather_load_intrinsic_sve,4718592,10,18802
gather_load_intrinsic_sve,4718592,11,18265
gather_load_intrinsic_sve,4718592,12,18619
gather_load_intrinsic_sve,4718592,13,21318
gather_load_intrinsic_sve,4718592,14,19353
gather_load_intrinsic_sve,4718592,15,19148
gather_load_intrinsic_sve,4718592,16,20018
gather_load_intrinsic_sve,4718592,17,17858
gather_load_intrinsic_sve,4718592,18,18350
gather_load_intrinsic_sve,4718592,19,19247
gather_load_intrinsic_sve_static_veclen_2_no_cpy,4718592,0,78467
gather_load_intrinsic_sve_static_veclen_2_no_cpy,4718592,1,58857
gather_load_intrinsic_sve_static_veclen_2_no_cpy,4718592,2,59574
gather_load_intrinsic_sve_static_veclen_2_no_cpy,4718592,3,49116
gather_load_intrinsic_sve_static_veclen_2_no_cpy,4718592,4,47715
gather_load_intrinsic_sve_static_veclen_2_no_cpy,4718592,5,49424
gather_load_intrinsic_sve_static_veclen_2_no_cpy,4718592,6,50224
gather_load_intrinsic_sve_static_veclen_2_no_cpy,4718592,7,49068
gather_load_intrinsic_sve_static_veclen_2_no_cpy,4718592,8,50396
gather_load_intrinsic_sve_static_veclen_2_no_cpy,4718592,9,49320
gather_load_intrinsic_sve_static_veclen_2_no_cpy,4718592,10,47819
gather_load_intrinsic_sve_static_veclen_2_no_cpy,4718592,11,54432
gather_load_intrinsic_sve_static_veclen_2_no_cpy,4718592,12,74721
gather_load_intrinsic_sve_static_veclen_2_no_cpy,4718592,13,53761
gather_load_intrinsic_sve_static_veclen_2_no_cpy,4718592,14,43369
gather_load_intrinsic_sve_static_veclen_2_no_cpy,4718592,15,49711
gather_load_intrinsic_sve_static_veclen_2_no_cpy,4718592,16,49928
gather_load_intrinsic_sve_static_veclen_2_no_cpy,4718592,17,48774
