sdfg_name,size,rep,time_seconds
gather_load_no_vectorize,4718592,0,60217
gather_load_no_vectorize,4718592,1,60117
gather_load_no_vectorize,4718592,2,60170
gather_load_no_vectorize,4718592,3,60123
gather_load_no_vectorize,4718592,4,60094
gather_load_no_vectorize,4718592,5,60143
gather_load_no_vectorize,4718592,6,60167
gather_load_no_vectorize,4718592,7,60098
gather_load_no_vectorize,4718592,8,60087
gather_load_no_vectorize,4718592,9,60074
gather_load_no_vectorize,4718592,10,60310
gather_load_no_vectorize,4718592,11,60203
gather_load_no_vectorize,4718592,12,60156
gather_load_no_vectorize,4718592,13,60164
gather_load_no_vectorize,4718592,14,60158
gather_load_no_vectorize,4718592,15,60127
gather_load_no_vectorize,4718592,16,60075
gather_load_no_vectorize,4718592,17,60143
gather_load_no_vectorize,4718592,18,60133
gather_load_no_vectorize,4718592,19,60056
gather_load_no_vectorize_static_veclen_8_no_cpy,4718592,0,53643
gather_load_no_vectorize_static_veclen_8_no_cpy,4718592,1,53617
gather_load_no_vectorize_static_veclen_8_no_cpy,4718592,2,53665
gather_load_no_vectorize_static_veclen_8_no_cpy,4718592,3,53625
gather_load_no_vectorize_static_veclen_8_no_cpy,4718592,4,53622
gather_load_no_vectorize_static_veclen_8_no_cpy,4718592,5,53634
gather_load_no_vectorize_static_veclen_8_no_cpy,4718592,6,53730
gather_load_no_vectorize_static_veclen_8_no_cpy,4718592,7,53644
gather_load_no_vectorize_static_veclen_8_no_cpy,4718592,8,53631
gather_load_no_vectorize_static_veclen_8_no_cpy,4718592,9,53700
gather_load_no_vectorize_static_veclen_8_no_cpy,4718592,10,53616
gather_load_no_vectorize_static_veclen_8_no_cpy,4718592,11,53639
gather_load_no_vectorize_static_veclen_8_no_cpy,4718592,12,53691
gather_load_no_vectorize_static_veclen_8_no_cpy,4718592,13,53654
gather_load_no_vectorize_static_veclen_8_no_cpy,4718592,14,53609
gather_load_no_vectorize_static_veclen_8_no_cpy,4718592,15,53591
gather_load_no_vectorize_static_veclen_8_no_cpy,4718592,16,53636
gather_load_no_vectorize_static_veclen_8_no_cpy,4718592,17,53614
gather_load_no_vectorize_static_veclen_8_no_cpy,4718592,18,53617
gather_load_no_vectorize_static_veclen_8_no_cpy,4718592,19,53618
gather_load_no_vectorize_static_veclen_8_cpy,4718592,0,55998
gather_load_no_vectorize_static_veclen_8_cpy,4718592,1,56103
gather_load_no_vectorize_static_veclen_8_cpy,4718592,2,56100
gather_load_no_vectorize_static_veclen_8_cpy,4718592,3,56050
gather_load_no_vectorize_static_veclen_8_cpy,4718592,4,56049
gather_load_no_vectorize_static_veclen_8_cpy,4718592,5,56022
gather_load_no_vectorize_static_veclen_8_cpy,4718592,6,56058
gather_load_no_vectorize_static_veclen_8_cpy,4718592,7,56126
gather_load_no_vectorize_static_veclen_8_cpy,4718592,8,56045
gather_load_no_vectorize_static_veclen_8_cpy,4718592,9,56088
gather_load_no_vectorize_static_veclen_8_cpy,4718592,10,56078
gather_load_no_vectorize_static_veclen_8_cpy,4718592,11,56367
gather_load_no_vectorize_static_veclen_8_cpy,4718592,12,56047
gather_load_no_vectorize_static_veclen_8_cpy,4718592,13,56290
gather_load_no_vectorize_static_veclen_8_cpy,4718592,14,56075
gather_load_no_vectorize_static_veclen_8_cpy,4718592,15,56020
