sdfg_name,size,rep,time_seconds
gather_load_mvec,4718592,0,40668
gather_load_mvec,4718592,1,41527
gather_load_mvec,4718592,2,41158
gather_load_mvec,4718592,3,41402
gather_load_mvec,4718592,4,40875
gather_load_mvec,4718592,5,41241
gather_load_mvec,4718592,6,41290
gather_load_mvec,4718592,7,41256
gather_load_mvec,4718592,8,41231
gather_load_mvec,4718592,9,40817
gather_load_mvec,4718592,10,41055
gather_load_mvec,4718592,11,42306
gather_load_mvec,4718592,12,41061
gather_load_mvec,4718592,13,40398
gather_load_mvec,4718592,14,41048
gather_load_mvec,4718592,15,40873
gather_load_mvec,4718592,16,40789
gather_load_mvec,4718592,17,44128
gather_load_mvec,4718592,18,42721
gather_load_mvec,4718592,19,41799
gather_load_mvec_static_veclen_4_no_cpy,4718592,0,4959
gather_load_mvec_static_veclen_4_no_cpy,4718592,1,4546
gather_load_mvec_static_veclen_4_no_cpy,4718592,2,4081
gather_load_mvec_static_veclen_4_no_cpy,4718592,3,3788
gather_load_mvec_static_veclen_4_no_cpy,4718592,4,4318
gather_load_mvec_static_veclen_4_no_cpy,4718592,5,4402
gather_load_mvec_static_veclen_4_no_cpy,4718592,6,5370
gather_load_mvec_static_veclen_4_no_cpy,4718592,7,5304
gather_load_mvec_static_veclen_4_no_cpy,4718592,8,4842
gather_load_mvec_static_veclen_4_no_cpy,4718592,9,5013
gather_load_mvec_static_veclen_4_no_cpy,4718592,10,5310
gather_load_mvec_static_veclen_4_no_cpy,4718592,11,5619
gather_load_mvec_static_veclen_4_no_cpy,4718592,12,5831
gather_load_mvec_static_veclen_4_no_cpy,4718592,13,6164
gather_load_mvec_static_veclen_4_no_cpy,4718592,14,5701
gather_load_mvec_static_veclen_4_no_cpy,4718592,15,6152
gather_load_mvec_static_veclen_4_no_cpy,4718592,16,5988
gather_load_mvec_static_veclen_4_no_cpy,4718592,17,6101
gather_load_mvec_static_veclen_4_no_cpy,4718592,18,6234
gather_load_mvec_static_veclen_4_no_cpy,4718592,19,6087
gather_load_mvec_static_veclen_4_cpy,4718592,0,5238
gather_load_mvec_static_veclen_4_cpy,4718592,1,4834
gather_load_mvec_static_veclen_4_cpy,4718592,2,4393
gather_load_mvec_static_veclen_4_cpy,4718592,3,4100
gather_load_mvec_static_veclen_4_cpy,4718592,4,4216
gather_load_mvec_static_veclen_4_cpy,4718592,5,4326
gather_load_mvec_static_veclen_4_cpy,4718592,6,4475
gather_load_mvec_static_veclen_4_cpy,4718592,7,4317
gather_load_mvec_static_veclen_4_cpy,4718592,8,4154
gather_load_mvec_static_veclen_4_cpy,4718592,9,4236
gather_load_mvec_static_veclen_4_cpy,4718592,10,4329
gather_load_mvec_static_veclen_4_cpy,4718592,11,4734
gather_load_mvec_static_veclen_4_cpy,4718592,12,5356
gather_load_mvec_static_veclen_4_cpy,4718592,13,5717
gather_load_mvec_static_veclen_4_cpy,4718592,14,5809
gather_load_mvec_static_veclen_4_cpy,4718592,15,5464
gather_load_mvec_static_veclen_4_cpy,4718592,16,5816
gather_load_mvec_static_veclen_4_cpy,4718592,17,5386
gather_load_mvec_static_veclen_4_cpy,4718592,18,5695
gather_load_mvec_static_veclen_4_cpy,4718592,19,5355
