sdfg_name,size,rep,time_seconds
gather_load_no_vectorize,4718592,0,3779
gather_load_no_vectorize,4718592,1,3702
gather_load_no_vectorize,4718592,2,3663
gather_load_no_vectorize,4718592,3,3642
gather_load_no_vectorize,4718592,4,3649
gather_load_no_vectorize,4718592,5,3638
gather_load_no_vectorize,4718592,6,3628
gather_load_no_vectorize,4718592,7,3635
gather_load_no_vectorize,4718592,8,3627
gather_load_no_vectorize,4718592,9,3617
gather_load_no_vectorize,4718592,10,3623
gather_load_no_vectorize,4718592,11,3609
gather_load_no_vectorize,4718592,12,3614
gather_load_no_vectorize,4718592,13,3620
gather_load_no_vectorize,4718592,14,3615
gather_load_no_vectorize,4718592,15,3614
gather_load_no_vectorize,4718592,16,3614
gather_load_no_vectorize,4718592,17,3610
gather_load_no_vectorize,4718592,18,3608
gather_load_no_vectorize,4718592,19,3605
gather_load_no_vectorize_static_veclen_8_no_cpy,4718592,0,3349
gather_load_no_vectorize_static_veclen_8_no_cpy,4718592,1,3363
gather_load_no_vectorize_static_veclen_8_no_cpy,4718592,2,3355
gather_load_no_vectorize_static_veclen_8_no_cpy,4718592,3,3350
gather_load_no_vectorize_static_veclen_8_no_cpy,4718592,4,3345
gather_load_no_vectorize_static_veclen_8_no_cpy,4718592,5,3342
gather_load_no_vectorize_static_veclen_8_no_cpy,4718592,6,3345
gather_load_no_vectorize_static_veclen_8_no_cpy,4718592,7,3344
gather_load_no_vectorize_static_veclen_8_no_cpy,4718592,8,3336
gather_load_no_vectorize_static_veclen_8_no_cpy,4718592,9,3338
gather_load_no_vectorize_static_veclen_8_no_cpy,4718592,10,3335
gather_load_no_vectorize_static_veclen_8_no_cpy,4718592,11,3334
gather_load_no_vectorize_static_veclen_8_no_cpy,4718592,12,3342
gather_load_no_vectorize_static_veclen_8_no_cpy,4718592,13,3335
gather_load_no_vectorize_static_veclen_8_no_cpy,4718592,14,3333
gather_load_no_vectorize_static_veclen_8_no_cpy,4718592,15,3334
gather_load_no_vectorize_static_veclen_8_no_cpy,4718592,16,3334
gather_load_no_vectorize_static_veclen_8_no_cpy,4718592,17,3334
gather_load_no_vectorize_static_veclen_8_no_cpy,4718592,18,3328
gather_load_no_vectorize_static_veclen_8_no_cpy,4718592,19,3327
gather_load_no_vectorize_static_veclen_8_cpy,4718592,0,3464
gather_load_no_vectorize_static_veclen_8_cpy,4718592,1,3479
gather_load_no_vectorize_static_veclen_8_cpy,4718592,2,3467
gather_load_no_vectorize_static_veclen_8_cpy,4718592,3,3462
gather_load_no_vectorize_static_veclen_8_cpy,4718592,4,3462
gather_load_no_vectorize_static_veclen_8_cpy,4718592,5,3466
gather_load_no_vectorize_static_veclen_8_cpy,4718592,6,3460
gather_load_no_vectorize_static_veclen_8_cpy,4718592,7,3445
gather_load_no_vectorize_static_veclen_8_cpy,4718592,8,3455
gather_load_no_vectorize_static_veclen_8_cpy,4718592,9,3454
gather_load_no_vectorize_static_veclen_8_cpy,4718592,10,3451
gather_load_no_vectorize_static_veclen_8_cpy,4718592,11,3462
gather_load_no_vectorize_static_veclen_8_cpy,4718592,12,3452
gather_load_no_vectorize_static_veclen_8_cpy,4718592,13,3457
gather_load_no_vectorize_static_veclen_8_cpy,4718592,14,3449
gather_load_no_vectorize_static_veclen_8_cpy,4718592,15,3450
gather_load_no_vectorize_static_veclen_8_cpy,4718592,16,3453
gather_load_no_vectorize_static_veclen_8_cpy,4718592,17,3464
gather_load_no_vectorize_static_veclen_8_cpy,4718592,18,3449
gather_load_no_vectorize_static_veclen_8_cpy,4718592,19,3449
gather_load_no_vectorize_static_veclen_16_no_cpy,4718592,0,3237
gather_load_no_vectorize_static_veclen_16_no_cpy,4718592,1,3244
gather_load_no_vectorize_static_veclen_16_no_cpy,4718592,2,3241
gather_load_no_vectorize_static_veclen_16_no_cpy,4718592,3,3240
gather_load_no_vectorize_static_veclen_16_no_cpy,4718592,4,3224
gather_load_no_vectorize_static_veclen_16_no_cpy,4718592,5,3222
gather_load_no_vectorize_static_veclen_16_no_cpy,4718592,6,3214
gather_load_no_vectorize_static_veclen_16_no_cpy,4718592,7,3221
gather_load_no_vectorize_static_veclen_16_no_cpy,4718592,8,3224
gather_load_no_vectorize_static_veclen_16_no_cpy,4718592,9,3228
gather_load_no_vectorize_static_veclen_16_no_cpy,4718592,10,3219
gather_load_no_vectorize_static_veclen_16_no_cpy,4718592,11,3224
gather_load_no_vectorize_static_veclen_16_no_cpy,4718592,12,3221
gather_load_no_vectorize_static_veclen_16_no_cpy,4718592,13,3214
gather_load_no_vectorize_static_veclen_16_no_cpy,4718592,14,3215
gather_load_no_vectorize_static_veclen_16_no_cpy,4718592,15,3221
gather_load_no_vectorize_static_veclen_16_no_cpy,4718592,16,3225
gather_load_no_vectorize_static_veclen_16_no_cpy,4718592,17,3221
gather_load_no_vectorize_static_veclen_16_no_cpy,4718592,18,3214
gather_load_no_vectorize_static_veclen_16_no_cpy,4718592,19,3216
gather_load_no_vectorize_static_veclen_16_cpy,4718592,0,3297
gather_load_no_vectorize_static_veclen_16_cpy,4718592,1,3305
gather_load_no_vectorize_static_veclen_16_cpy,4718592,2,3311
gather_load_no_vectorize_static_veclen_16_cpy,4718592,3,3293
gather_load_no_vectorize_static_veclen_16_cpy,4718592,4,3284
gather_load_no_vectorize_static_veclen_16_cpy,4718592,5,3363
gather_load_no_vectorize_static_veclen_16_cpy,4718592,6,3321
gather_load_no_vectorize_static_veclen_16_cpy,4718592,7,3280
gather_load_no_vectorize_static_veclen_16_cpy,4718592,8,3291
gather_load_no_vectorize_static_veclen_16_cpy,4718592,9,3276
gather_load_no_vectorize_static_veclen_16_cpy,4718592,10,3320
gather_load_no_vectorize_static_veclen_16_cpy,4718592,11,3281
gather_load_no_vectorize_static_veclen_16_cpy,4718592,12,3269
gather_load_no_vectorize_static_veclen_16_cpy,4718592,13,3291
gather_load_no_vectorize_static_veclen_16_cpy,4718592,14,3283
gather_load_no_vectorize_static_veclen_16_cpy,4718592,15,3277
gather_load_no_vectorize_static_veclen_16_cpy,4718592,16,3290
gather_load_no_vectorize_static_veclen_16_cpy,4718592,17,3291
gather_load_no_vectorize_static_veclen_16_cpy,4718592,18,3301
gather_load_no_vectorize_static_veclen_16_cpy,4718592,19,3321
gather_load_no_vectorize_static_veclen_32_no_cpy,4718592,0,3230
gather_load_no_vectorize_static_veclen_32_no_cpy,4718592,1,3252
gather_load_no_vectorize_static_veclen_32_no_cpy,4718592,2,3243
gather_load_no_vectorize_static_veclen_32_no_cpy,4718592,3,3216
gather_load_no_vectorize_static_veclen_32_no_cpy,4718592,4,3226
gather_load_no_vectorize_static_veclen_32_no_cpy,4718592,5,3216
gather_load_no_vectorize_static_veclen_32_no_cpy,4718592,6,3241
gather_load_no_vectorize_static_veclen_32_no_cpy,4718592,7,3262
gather_load_no_vectorize_static_veclen_32_no_cpy,4718592,8,3250
gather_load_no_vectorize_static_veclen_32_no_cpy,4718592,9,3233
gather_load_no_vectorize_static_veclen_32_no_cpy,4718592,10,3239
gather_load_no_vectorize_static_veclen_32_no_cpy,4718592,11,3238
gather_load_no_vectorize_static_veclen_32_no_cpy,4718592,12,3239
gather_load_no_vectorize_static_veclen_32_no_cpy,4718592,13,3202
gather_load_no_vectorize_static_veclen_32_no_cpy,4718592,14,3204
gather_load_no_vectorize_static_veclen_32_no_cpy,4718592,15,3231
gather_load_no_vectorize_static_veclen_32_no_cpy,4718592,16,3229
gather_load_no_vectorize_static_veclen_32_no_cpy,4718592,17,3234
gather_load_no_vectorize_static_veclen_32_no_cpy,4718592,18,3225
gather_load_no_vectorize_static_veclen_32_no_cpy,4718592,19,3230
gather_load_no_vectorize_static_veclen_32_cpy,4718592,0,3287
gather_load_no_vectorize_static_veclen_32_cpy,4718592,1,3246
gather_load_no_vectorize_static_veclen_32_cpy,4718592,2,3233
gather_load_no_vectorize_static_veclen_32_cpy,4718592,3,3229
gather_load_no_vectorize_static_veclen_32_cpy,4718592,4,3227
gather_load_no_vectorize_static_veclen_32_cpy,4718592,5,3225
gather_load_no_vectorize_static_veclen_32_cpy,4718592,6,3233
gather_load_no_vectorize_static_veclen_32_cpy,4718592,7,3226
gather_load_no_vectorize_static_veclen_32_cpy,4718592,8,3239
gather_load_no_vectorize_static_veclen_32_cpy,4718592,9,3236
gather_load_no_vectorize_static_veclen_32_cpy,4718592,10,3244
gather_load_no_vectorize_static_veclen_32_cpy,4718592,11,3213
gather_load_no_vectorize_static_veclen_32_cpy,4718592,12,3217
gather_load_no_vectorize_static_veclen_32_cpy,4718592,13,3219
gather_load_no_vectorize_static_veclen_32_cpy,4718592,14,3236
gather_load_no_vectorize_static_veclen_32_cpy,4718592,15,3249
gather_load_no_vectorize_static_veclen_32_cpy,4718592,16,3209
gather_load_no_vectorize_static_veclen_32_cpy,4718592,17,3210
gather_load_no_vectorize_static_veclen_32_cpy,4718592,18,3216
gather_load_no_vectorize_static_veclen_32_cpy,4718592,19,3213
gather_load_no_vectorize_static_veclen_64_no_cpy,4718592,0,3237
gather_load_no_vectorize_static_veclen_64_no_cpy,4718592,1,3244
gather_load_no_vectorize_static_veclen_64_no_cpy,4718592,2,3220
gather_load_no_vectorize_static_veclen_64_no_cpy,4718592,3,3228
gather_load_no_vectorize_static_veclen_64_no_cpy,4718592,4,3216
gather_load_no_vectorize_static_veclen_64_no_cpy,4718592,5,3212
gather_load_no_vectorize_static_veclen_64_no_cpy,4718592,6,3210
gather_load_no_vectorize_static_veclen_64_no_cpy,4718592,7,3239
gather_load_no_vectorize_static_veclen_64_no_cpy,4718592,8,3214
gather_load_no_vectorize_static_veclen_64_no_cpy,4718592,9,3210
gather_load_no_vectorize_static_veclen_64_no_cpy,4718592,10,3212
