sdfg_name,size,rep,time_seconds
jacobi2d,514,0,26729
jacobi2d,514,1,26751
jacobi2d,514,2,26782
jacobi2d,514,3,26819
jacobi2d,514,4,26725
jacobi2d,514,5,26824
jacobi2d,514,6,26747
jacobi2d,514,7,26733
jacobi2d,514,8,26923
jacobi2d,514,9,26827
jacobi2d_vectorized_static_veclen_8_no_cpy,514,0,22901
jacobi2d_vectorized_static_veclen_8_no_cpy,514,1,22491
jacobi2d_vectorized_static_veclen_8_no_cpy,514,2,22319
jacobi2d_vectorized_static_veclen_8_no_cpy,514,3,22343
jacobi2d_vectorized_static_veclen_8_no_cpy,514,4,22329
jacobi2d_vectorized_static_veclen_8_no_cpy,514,5,22627
jacobi2d_vectorized_static_veclen_8_no_cpy,514,6,22863
jacobi2d_vectorized_static_veclen_8_no_cpy,514,7,22587
jacobi2d_vectorized_static_veclen_8_no_cpy,514,8,22259
jacobi2d_vectorized_static_veclen_8_no_cpy,514,9,22472
jacobi2d_vectorized_static_veclen_8_cpy,514,0,57677
jacobi2d_vectorized_static_veclen_8_cpy,514,1,57634
jacobi2d_vectorized_static_veclen_8_cpy,514,2,57577
jacobi2d_vectorized_static_veclen_8_cpy,514,3,57582
jacobi2d_vectorized_static_veclen_8_cpy,514,4,57632
jacobi2d_vectorized_static_veclen_8_cpy,514,5,57636
jacobi2d_vectorized_static_veclen_8_cpy,514,6,57670
jacobi2d_vectorized_static_veclen_8_cpy,514,7,57760
jacobi2d_vectorized_static_veclen_8_cpy,514,8,57632
jacobi2d_vectorized_static_veclen_8_cpy,514,9,57638
jacobi2d_vectorized_static_veclen_16_no_cpy,514,0,36859
jacobi2d_vectorized_static_veclen_16_no_cpy,514,1,36978
jacobi2d_vectorized_static_veclen_16_no_cpy,514,2,36935
jacobi2d_vectorized_static_veclen_16_no_cpy,514,3,37035
jacobi2d_vectorized_static_veclen_16_no_cpy,514,4,36915
jacobi2d_vectorized_static_veclen_16_no_cpy,514,5,36913
jacobi2d_vectorized_static_veclen_16_no_cpy,514,6,36905
jacobi2d_vectorized_static_veclen_16_no_cpy,514,7,36865
jacobi2d_vectorized_static_veclen_16_no_cpy,514,8,36881
jacobi2d_vectorized_static_veclen_16_no_cpy,514,9,36944
jacobi2d_vectorized_static_veclen_16_cpy,514,0,49313
jacobi2d_vectorized_static_veclen_16_cpy,514,1,49323
jacobi2d_vectorized_static_veclen_16_cpy,514,2,49337
jacobi2d_vectorized_static_veclen_16_cpy,514,3,49266
jacobi2d_vectorized_static_veclen_16_cpy,514,4,49273
jacobi2d_vectorized_static_veclen_16_cpy,514,5,49284
jacobi2d_vectorized_static_veclen_16_cpy,514,6,49279
jacobi2d_vectorized_static_veclen_16_cpy,514,7,49274
jacobi2d_vectorized_static_veclen_16_cpy,514,8,49283
jacobi2d_vectorized_static_veclen_16_cpy,514,9,49298
jacobi2d_vectorized_static_veclen_32_no_cpy,514,0,34937
jacobi2d_vectorized_static_veclen_32_no_cpy,514,1,34978
jacobi2d_vectorized_static_veclen_32_no_cpy,514,2,34948
jacobi2d_vectorized_static_veclen_32_no_cpy,514,3,34953
jacobi2d_vectorized_static_veclen_32_no_cpy,514,4,35019
jacobi2d_vectorized_static_veclen_32_no_cpy,514,5,34905
jacobi2d_vectorized_static_veclen_32_no_cpy,514,6,34909
jacobi2d_vectorized_static_veclen_32_no_cpy,514,7,34931
jacobi2d_vectorized_static_veclen_32_no_cpy,514,8,34938
jacobi2d_vectorized_static_veclen_32_no_cpy,514,9,34947
jacobi2d_vectorized_static_veclen_32_cpy,514,0,51123
jacobi2d_vectorized_static_veclen_32_cpy,514,1,51116
jacobi2d_vectorized_static_veclen_32_cpy,514,2,51139
jacobi2d_vectorized_static_veclen_32_cpy,514,3,51153
jacobi2d_vectorized_static_veclen_32_cpy,514,4,51178
jacobi2d_vectorized_static_veclen_32_cpy,514,5,51113
jacobi2d_vectorized_static_veclen_32_cpy,514,6,51146
jacobi2d_vectorized_static_veclen_32_cpy,514,7,51128
jacobi2d_vectorized_static_veclen_32_cpy,514,8,51169
jacobi2d_vectorized_static_veclen_32_cpy,514,9,51256
jacobi2d_vectorized_static_veclen_8_no_cpy_aligned,514,0,21579
jacobi2d_vectorized_static_veclen_8_no_cpy_aligned,514,1,21465
jacobi2d_vectorized_static_veclen_8_no_cpy_aligned,514,2,21225
jacobi2d_vectorized_static_veclen_8_no_cpy_aligned,514,3,21394
jacobi2d_vectorized_static_veclen_8_no_cpy_aligned,514,4,21705
jacobi2d_vectorized_static_veclen_8_no_cpy_aligned,514,5,21649
jacobi2d_vectorized_static_veclen_8_no_cpy_aligned,514,6,21046
jacobi2d_vectorized_static_veclen_8_no_cpy_aligned,514,7,21309
jacobi2d_vectorized_static_veclen_8_no_cpy_aligned,514,8,21326
jacobi2d_vectorized_static_veclen_8_no_cpy_aligned,514,9,21546
jacobi2d_vectorized_static_veclen_16_no_cpy_aligned,514,0,37377
jacobi2d_vectorized_static_veclen_16_no_cpy_aligned,514,1,37356
jacobi2d_vectorized_static_veclen_16_no_cpy_aligned,514,2,37351
jacobi2d_vectorized_static_veclen_16_no_cpy_aligned,514,3,37377
jacobi2d_vectorized_static_veclen_16_no_cpy_aligned,514,4,37394
jacobi2d_vectorized_static_veclen_16_no_cpy_aligned,514,5,37425
jacobi2d_vectorized_static_veclen_16_no_cpy_aligned,514,6,37387
jacobi2d_vectorized_static_veclen_16_no_cpy_aligned,514,7,37491
jacobi2d_vectorized_static_veclen_16_no_cpy_aligned,514,8,37408
jacobi2d_vectorized_static_veclen_16_no_cpy_aligned,514,9,37449
jacobi2d_vectorized_static_veclen_32_no_cpy_aligned,514,0,36254
jacobi2d_vectorized_static_veclen_32_no_cpy_aligned,514,1,36253
jacobi2d_vectorized_static_veclen_32_no_cpy_aligned,514,2,36184
jacobi2d_vectorized_static_veclen_32_no_cpy_aligned,514,3,36200
jacobi2d_vectorized_static_veclen_32_no_cpy_aligned,514,4,36441
jacobi2d_vectorized_static_veclen_32_no_cpy_aligned,514,5,36054
jacobi2d_vectorized_static_veclen_32_no_cpy_aligned,514,6,36045
jacobi2d_vectorized_static_veclen_32_no_cpy_aligned,514,7,36221
jacobi2d_vectorized_static_veclen_32_no_cpy_aligned,514,8,36438
jacobi2d_vectorized_static_veclen_32_no_cpy_aligned,514,9,36195
jacobi2d,514,0,26729
jacobi2d,514,1,26751
jacobi2d,514,2,26782
jacobi2d,514,3,26819
jacobi2d,514,4,26725
jacobi2d,514,5,26824
jacobi2d,514,6,26747
jacobi2d,514,7,26733
jacobi2d,514,8,26923
jacobi2d,514,9,26827
jacobi2d_vectorized_static_veclen_8_no_cpy,514,0,22901
jacobi2d_vectorized_static_veclen_8_no_cpy,514,1,22491
jacobi2d_vectorized_static_veclen_8_no_cpy,514,2,22319
jacobi2d_vectorized_static_veclen_8_no_cpy,514,3,22343
jacobi2d_vectorized_static_veclen_8_no_cpy,514,4,22329
jacobi2d_vectorized_static_veclen_8_no_cpy,514,5,22627
jacobi2d_vectorized_static_veclen_8_no_cpy,514,6,22863
jacobi2d_vectorized_static_veclen_8_no_cpy,514,7,22587
jacobi2d_vectorized_static_veclen_8_no_cpy,514,8,22259
jacobi2d_vectorized_static_veclen_8_no_cpy,514,9,22472
jacobi2d_vectorized_static_veclen_8_cpy,514,0,57677
jacobi2d_vectorized_static_veclen_8_cpy,514,1,57634
jacobi2d_vectorized_static_veclen_8_cpy,514,2,57577
jacobi2d_vectorized_static_veclen_8_cpy,514,3,57582
jacobi2d_vectorized_static_veclen_8_cpy,514,4,57632
jacobi2d_vectorized_static_veclen_8_cpy,514,5,57636
jacobi2d_vectorized_static_veclen_8_cpy,514,6,57670
jacobi2d_vectorized_static_veclen_8_cpy,514,7,57760
jacobi2d_vectorized_static_veclen_8_cpy,514,8,57632
jacobi2d_vectorized_static_veclen_8_cpy,514,9,57638
jacobi2d_vectorized_static_veclen_16_no_cpy,514,0,36859
jacobi2d_vectorized_static_veclen_16_no_cpy,514,1,36978
jacobi2d_vectorized_static_veclen_16_no_cpy,514,2,36935
jacobi2d_vectorized_static_veclen_16_no_cpy,514,3,37035
jacobi2d_vectorized_static_veclen_16_no_cpy,514,4,36915
jacobi2d_vectorized_static_veclen_16_no_cpy,514,5,36913
jacobi2d_vectorized_static_veclen_16_no_cpy,514,6,36905
jacobi2d_vectorized_static_veclen_16_no_cpy,514,7,36865
jacobi2d_vectorized_static_veclen_16_no_cpy,514,8,36881
jacobi2d_vectorized_static_veclen_16_no_cpy,514,9,36944
jacobi2d_vectorized_static_veclen_16_cpy,514,0,49313
jacobi2d_vectorized_static_veclen_16_cpy,514,1,49323
jacobi2d_vectorized_static_veclen_16_cpy,514,2,49337
jacobi2d_vectorized_static_veclen_16_cpy,514,3,49266
jacobi2d_vectorized_static_veclen_16_cpy,514,4,49273
jacobi2d_vectorized_static_veclen_16_cpy,514,5,49284
jacobi2d_vectorized_static_veclen_16_cpy,514,6,49279
jacobi2d_vectorized_static_veclen_16_cpy,514,7,49274
