sdfg_name,size,rep,time_seconds
log_implementations_dace,4718592,0,24426
log_implementations_dace,4718592,1,24557
log_implementations_dace,4718592,2,24404
log_implementations_dace,4718592,3,24477
log_implementations_dace,4718592,4,24149
log_implementations_dace,4718592,5,24374
log_implementations_dace,4718592,6,24315
log_implementations_dace,4718592,7,24281
log_implementations_dace,4718592,8,24348
log_implementations_dace,4718592,9,24390
log_implementations_dace,4718592,10,24640
log_implementations_dace,4718592,11,24514
log_implementations_dace,4718592,12,24686
log_implementations_dace,4718592,13,24423
log_implementations_dace,4718592,14,24304
log_implementations_dace,4718592,15,24471
log_implementations_dace,4718592,16,24382
log_implementations_dace,4718592,17,24502
log_implementations_dace,4718592,18,24421
log_implementations_dace,4718592,19,24491
log_implementations_dace_g__veclen_2_no_cpy,4718592,0,12125
log_implementations_dace_g__veclen_2_no_cpy,4718592,1,12242
log_implementations_dace_g__veclen_2_no_cpy,4718592,2,12118
log_implementations_dace_g__veclen_2_no_cpy,4718592,3,12320
log_implementations_dace_g__veclen_2_no_cpy,4718592,4,12194
log_implementations_dace_g__veclen_2_no_cpy,4718592,5,12171
log_implementations_dace_g__veclen_2_no_cpy,4718592,6,12142
log_implementations_dace_g__veclen_2_no_cpy,4718592,7,12188
log_implementations_dace_g__veclen_2_no_cpy,4718592,8,12132
log_implementations_dace_g__veclen_2_no_cpy,4718592,9,12374
log_implementations_dace_g__veclen_2_no_cpy,4718592,10,12198
log_implementations_dace_g__veclen_2_no_cpy,4718592,11,12110
log_implementations_dace_g__veclen_2_no_cpy,4718592,12,12262
log_implementations_dace_g__veclen_2_no_cpy,4718592,13,12205
log_implementations_dace_g__veclen_2_no_cpy,4718592,14,12256
log_implementations_dace_g__veclen_2_no_cpy,4718592,15,12449
log_implementations_dace_g__veclen_2_no_cpy,4718592,16,12234
log_implementations_dace_g__veclen_2_no_cpy,4718592,17,12148
log_implementations_dace_g__veclen_2_no_cpy,4718592,18,12303
log_implementations_dace_g__veclen_2_no_cpy,4718592,19,12289
log_implementations_dace_g__veclen_2_cpy,4718592,0,12043
log_implementations_dace_g__veclen_2_cpy,4718592,1,12137
log_implementations_dace_g__veclen_2_cpy,4718592,2,12182
log_implementations_dace_g__veclen_2_cpy,4718592,3,12282
log_implementations_dace_g__veclen_2_cpy,4718592,4,12127
log_implementations_dace_g__veclen_2_cpy,4718592,5,12210
log_implementations_dace_g__veclen_2_cpy,4718592,6,12190
log_implementations_dace_g__veclen_2_cpy,4718592,7,12182
log_implementations_dace_g__veclen_2_cpy,4718592,8,12143
log_implementations_dace_g__veclen_2_cpy,4718592,9,12259
log_implementations_dace_g__veclen_2_cpy,4718592,10,12171
log_implementations_dace_g__veclen_2_cpy,4718592,11,12327
log_implementations_dace_g__veclen_2_cpy,4718592,12,12385
log_implementations_dace_g__veclen_2_cpy,4718592,13,12294
log_implementations_dace_g__veclen_2_cpy,4718592,14,12271
log_implementations_dace_g__veclen_2_cpy,4718592,15,12468
log_implementations_dace_g__veclen_2_cpy,4718592,16,12536
log_implementations_dace_g__veclen_2_cpy,4718592,17,12396
log_implementations_dace_g__veclen_2_cpy,4718592,18,12644
log_implementations_dace_g__veclen_2_cpy,4718592,19,12642
log_implementations_dace_g__veclen_4_no_cpy,4718592,0,12867
log_implementations_dace_g__veclen_4_no_cpy,4718592,1,12807
log_implementations_dace_g__veclen_4_no_cpy,4718592,2,12878
log_implementations_dace_g__veclen_4_no_cpy,4718592,3,12838
log_implementations_dace_g__veclen_4_no_cpy,4718592,4,13133
log_implementations_dace_g__veclen_4_no_cpy,4718592,5,12781
log_implementations_dace_g__veclen_4_no_cpy,4718592,6,13047
log_implementations_dace_g__veclen_4_no_cpy,4718592,7,13032
log_implementations_dace_g__veclen_4_no_cpy,4718592,8,12809
log_implementations_dace_g__veclen_4_no_cpy,4718592,9,12899
log_implementations_dace_g__veclen_4_no_cpy,4718592,10,13057
log_implementations_dace_g__veclen_4_no_cpy,4718592,11,12906
log_implementations_dace_g__veclen_4_no_cpy,4718592,12,13038
log_implementations_dace_g__veclen_4_no_cpy,4718592,13,12968
log_implementations_dace_g__veclen_4_no_cpy,4718592,14,13644
log_implementations_dace_g__veclen_4_no_cpy,4718592,15,13086
log_implementations_dace_g__veclen_4_no_cpy,4718592,16,13062
log_implementations_dace_g__veclen_4_no_cpy,4718592,17,13008
log_implementations_dace_g__veclen_4_no_cpy,4718592,18,12982
log_implementations_dace_g__veclen_4_no_cpy,4718592,19,12935
log_implementations_dace_g__veclen_4_cpy,4718592,0,13681
log_implementations_dace_g__veclen_4_cpy,4718592,1,13756
log_implementations_dace_g__veclen_4_cpy,4718592,2,13866
log_implementations_dace_g__veclen_4_cpy,4718592,3,13785
log_implementations_dace_g__veclen_4_cpy,4718592,4,13870
log_implementations_dace_g__veclen_4_cpy,4718592,5,13861
log_implementations_dace_g__veclen_4_cpy,4718592,6,14021
log_implementations_dace_g__veclen_4_cpy,4718592,7,13845
log_implementations_dace_g__veclen_4_cpy,4718592,8,13995
log_implementations_dace_g__veclen_4_cpy,4718592,9,14106
log_implementations_dace_g__veclen_4_cpy,4718592,10,14119
log_implementations_dace_g__veclen_4_cpy,4718592,11,14021
log_implementations_dace_g__veclen_4_cpy,4718592,12,14265
log_implementations_dace_g__veclen_4_cpy,4718592,13,14205
log_implementations_dace_g__veclen_4_cpy,4718592,14,14433
log_implementations_dace_g__veclen_4_cpy,4718592,15,14293
log_implementations_dace_g__veclen_4_cpy,4718592,16,14084
log_implementations_dace_g__veclen_4_cpy,4718592,17,14228
log_implementations_dace_g__veclen_4_cpy,4718592,18,14361
log_implementations_dace_g__veclen_4_cpy,4718592,19,14786
log_implementations_dace_g__veclen_8_no_cpy,4718592,0,12653
log_implementations_dace_g__veclen_8_no_cpy,4718592,1,12666
log_implementations_dace_g__veclen_8_no_cpy,4718592,2,12629
log_implementations_dace_g__veclen_8_no_cpy,4718592,3,12743
log_implementations_dace_g__veclen_8_no_cpy,4718592,4,12653
log_implementations_dace_g__veclen_8_no_cpy,4718592,5,12716
log_implementations_dace_g__veclen_8_no_cpy,4718592,6,12747
log_implementations_dace_g__veclen_8_no_cpy,4718592,7,12844
log_implementations_dace_g__veclen_8_no_cpy,4718592,8,13029
log_implementations_dace_g__veclen_8_no_cpy,4718592,9,12809
log_implementations_dace_g__veclen_8_no_cpy,4718592,10,12947
log_implementations_dace_g__veclen_8_no_cpy,4718592,11,12833
log_implementations_dace_g__veclen_8_no_cpy,4718592,12,12836
log_implementations_dace_g__veclen_8_no_cpy,4718592,13,12904
log_implementations_dace_g__veclen_8_no_cpy,4718592,14,12829
log_implementations_dace_g__veclen_8_no_cpy,4718592,15,12825
log_implementations_dace_g__veclen_8_no_cpy,4718592,16,12889
log_implementations_dace_g__veclen_8_no_cpy,4718592,17,12895
log_implementations_dace_g__veclen_8_no_cpy,4718592,18,12831
log_implementations_dace_g__veclen_8_no_cpy,4718592,19,12930
log_implementations_dace_g__veclen_8_cpy,4718592,0,13230
log_implementations_dace_g__veclen_8_cpy,4718592,1,13380
log_implementations_dace_g__veclen_8_cpy,4718592,2,13442
log_implementations_dace_g__veclen_8_cpy,4718592,3,13553
log_implementations_dace_g__veclen_8_cpy,4718592,4,13596
log_implementations_dace_g__veclen_8_cpy,4718592,5,13448
log_implementations_dace_g__veclen_8_cpy,4718592,6,13494
log_implementations_dace_g__veclen_8_cpy,4718592,7,13385
log_implementations_dace_g__veclen_8_cpy,4718592,8,13478
log_implementations_dace_g__veclen_8_cpy,4718592,9,13599
log_implementations_dace_g__veclen_8_cpy,4718592,10,13410
log_implementations_dace_g__veclen_8_cpy,4718592,11,13758
log_implementations_dace_g__veclen_8_cpy,4718592,12,13590
log_implementations_dace_g__veclen_8_cpy,4718592,13,13466
log_implementations_dace_g__veclen_8_cpy,4718592,14,13526
log_implementations_dace_g__veclen_8_cpy,4718592,15,13445
log_implementations_dace_g__veclen_8_cpy,4718592,16,13528
log_implementations_dace_g__veclen_8_cpy,4718592,17,13522
log_implementations_dace_g__veclen_8_cpy,4718592,18,13434
log_implementations_dace_g__veclen_8_cpy,4718592,19,13583
log_implementations_dace_g__veclen_16_no_cpy,4718592,0,12333
log_implementations_dace_g__veclen_16_no_cpy,4718592,1,12459
log_implementations_dace_g__veclen_16_no_cpy,4718592,2,12581
log_implementations_dace_g__veclen_16_no_cpy,4718592,3,12459
log_implementations_dace_g__veclen_16_no_cpy,4718592,4,12564
log_implementations_dace_g__veclen_16_no_cpy,4718592,5,12475
log_implementations_dace_g__veclen_16_no_cpy,4718592,6,12409
log_implementations_dace_g__veclen_16_no_cpy,4718592,7,12489
log_implementations_dace_g__veclen_16_no_cpy,4718592,8,12473
log_implementations_dace_g__veclen_16_no_cpy,4718592,9,12534
log_implementations_dace_g__veclen_16_no_cpy,4718592,10,12547
log_implementations_dace_g__veclen_16_no_cpy,4718592,11,12873
log_implementations_dace_g__veclen_16_no_cpy,4718592,12,12483
log_implementations_dace_g__veclen_16_no_cpy,4718592,13,12451
log_implementations_dace_g__veclen_16_no_cpy,4718592,14,12661
log_implementations_dace_g__veclen_16_no_cpy,4718592,15,12501
log_implementations_dace_g__veclen_16_no_cpy,4718592,16,12505
log_implementations_dace_g__veclen_16_no_cpy,4718592,17,12580
log_implementations_dace_g__veclen_16_no_cpy,4718592,18,12604
log_implementations_dace_g__veclen_16_no_cpy,4718592,19,12580
log_implementations_dace_g__veclen_16_cpy,4718592,0,12890
log_implementations_dace_g__veclen_16_cpy,4718592,1,12912
log_implementations_dace_g__veclen_16_cpy,4718592,2,12855
log_implementations_dace_g__veclen_16_cpy,4718592,3,13124
log_implementations_dace_g__veclen_16_cpy,4718592,4,13025
log_implementations_dace_g__veclen_16_cpy,4718592,5,13006
log_implementations_dace_g__veclen_16_cpy,4718592,6,12986
log_implementations_dace_g__veclen_16_cpy,4718592,7,13025
log_implementations_dace_g__veclen_16_cpy,4718592,8,12974
log_implementations_dace_g__veclen_16_cpy,4718592,9,12973
log_implementations_dace_g__veclen_16_cpy,4718592,10,12999
log_implementations_dace_g__veclen_16_cpy,4718592,11,13007
log_implementations_dace_g__veclen_16_cpy,4718592,12,13010
log_implementations_dace_g__veclen_16_cpy,4718592,13,12954
log_implementations_dace_g__veclen_16_cpy,4718592,14,12911
log_implementations_dace_g__veclen_16_cpy,4718592,15,12987
log_implementations_dace_g__veclen_16_cpy,4718592,16,13080
log_implementations_dace_g__veclen_16_cpy,4718592,17,12920
log_implementations_dace_g__veclen_16_cpy,4718592,18,13263
log_implementations_dace_g__veclen_16_cpy,4718592,19,13209
log_implementations_dace_g__veclen_32_no_cpy,4718592,0,12250
log_implementations_dace_g__veclen_32_no_cpy,4718592,1,12268
log_implementations_dace_g__veclen_32_no_cpy,4718592,2,12294
log_implementations_dace_g__veclen_32_no_cpy,4718592,3,12327
log_implementations_dace_g__veclen_32_no_cpy,4718592,4,12337
log_implementations_dace_g__veclen_32_no_cpy,4718592,5,12361
log_implementations_dace_g__veclen_32_no_cpy,4718592,6,12512
log_implementations_dace_g__veclen_32_no_cpy,4718592,7,12368
log_implementations_dace_g__veclen_32_no_cpy,4718592,8,12405
log_implementations_dace_g__veclen_32_no_cpy,4718592,9,12306
log_implementations_dace_g__veclen_32_no_cpy,4718592,10,12429
log_implementations_dace_g__veclen_32_no_cpy,4718592,11,12314
log_implementations_dace_g__veclen_32_no_cpy,4718592,12,12422
log_implementations_dace_g__veclen_32_no_cpy,4718592,13,12298
log_implementations_dace_g__veclen_32_no_cpy,4718592,14,12343
log_implementations_dace_g__veclen_32_no_cpy,4718592,15,12345
log_implementations_dace_g__veclen_32_no_cpy,4718592,16,12549
log_implementations_dace_g__veclen_32_no_cpy,4718592,17,12372
log_implementations_dace_g__veclen_32_no_cpy,4718592,18,12365
log_implementations_dace_g__veclen_32_no_cpy,4718592,19,12304
log_implementations_dace_g__veclen_32_cpy,4718592,0,15662
log_implementations_dace_g__veclen_32_cpy,4718592,1,15995
log_implementations_dace_g__veclen_32_cpy,4718592,2,15781
log_implementations_dace_g__veclen_32_cpy,4718592,3,15717
log_implementations_dace_g__veclen_32_cpy,4718592,4,15788
log_implementations_dace_g__veclen_32_cpy,4718592,5,15722
log_implementations_dace_g__veclen_32_cpy,4718592,6,15751
log_implementations_dace_g__veclen_32_cpy,4718592,7,15734
log_implementations_dace_g__veclen_32_cpy,4718592,8,15742
log_implementations_dace_g__veclen_32_cpy,4718592,9,15820
log_implementations_dace_g__veclen_32_cpy,4718592,10,15791
log_implementations_dace_g__veclen_32_cpy,4718592,11,15774
log_implementations_dace_g__veclen_32_cpy,4718592,12,15918
log_implementations_dace_g__veclen_32_cpy,4718592,13,15917
log_implementations_dace_g__veclen_32_cpy,4718592,14,16048
log_implementations_dace_g__veclen_32_cpy,4718592,15,16193
log_implementations_dace_g__veclen_32_cpy,4718592,16,15966
log_implementations_dace_g__veclen_32_cpy,4718592,17,15768
log_implementations_dace_g__veclen_32_cpy,4718592,18,16024
log_implementations_dace_g__veclen_32_cpy,4718592,19,16032
log_implementations_dace_g__veclen_64_no_cpy,4718592,0,13182
log_implementations_dace_g__veclen_64_no_cpy,4718592,1,12998
log_implementations_dace_g__veclen_64_no_cpy,4718592,2,13062
log_implementations_dace_g__veclen_64_no_cpy,4718592,3,12967
log_implementations_dace_g__veclen_64_no_cpy,4718592,4,12890
log_implementations_dace_g__veclen_64_no_cpy,4718592,5,12910
log_implementations_dace_g__veclen_64_no_cpy,4718592,6,13047
log_implementations_dace_g__veclen_64_no_cpy,4718592,7,12997
log_implementations_dace_g__veclen_64_no_cpy,4718592,8,12928
log_implementations_dace_g__veclen_64_no_cpy,4718592,9,12879
log_implementations_dace_g__veclen_64_no_cpy,4718592,10,12919
log_implementations_dace_g__veclen_64_no_cpy,4718592,11,12881
log_implementations_dace_g__veclen_64_no_cpy,4718592,12,13004
log_implementations_dace_g__veclen_64_no_cpy,4718592,13,12886
log_implementations_dace_g__veclen_64_no_cpy,4718592,14,12955
log_implementations_dace_g__veclen_64_no_cpy,4718592,15,12883
log_implementations_dace_g__veclen_64_no_cpy,4718592,16,12940
log_implementations_dace_g__veclen_64_no_cpy,4718592,17,12849
log_implementations_dace_g__veclen_64_no_cpy,4718592,18,12910
log_implementations_dace_g__veclen_64_no_cpy,4718592,19,13073
log_implementations_dace_g__veclen_64_cpy,4718592,0,14732
log_implementations_dace_g__veclen_64_cpy,4718592,1,14674
log_implementations_dace_g__veclen_64_cpy,4718592,2,14630
log_implementations_dace_g__veclen_64_cpy,4718592,3,14659
