sdfg_name,size,rep,time_seconds
log_implementations_dace,4718592,0,98323
log_implementations_dace,4718592,1,99116
log_implementations_dace,4718592,2,98374
log_implementations_dace,4718592,3,98411
log_implementations_dace,4718592,4,99186
log_implementations_dace,4718592,5,98555
log_implementations_dace,4718592,6,98786
log_implementations_dace,4718592,7,99346
log_implementations_dace,4718592,8,98738
log_implementations_dace,4718592,9,104707
log_implementations_dace,4718592,10,88881
log_implementations_dace,4718592,11,99075
log_implementations_dace,4718592,12,98320
log_implementations_dace,4718592,13,101107
log_implementations_dace,4718592,14,100545
log_implementations_dace,4718592,15,98349
log_implementations_dace,4718592,16,98885
log_implementations_dace,4718592,17,99068
log_implementations_dace,4718592,18,99152
log_implementations_dace,4718592,19,106401
log_implementations_dace_g__veclen_8_no_cpy,4718592,0,18412
log_implementations_dace_g__veclen_8_no_cpy,4718592,1,17342
log_implementations_dace_g__veclen_8_no_cpy,4718592,2,17626
log_implementations_dace_g__veclen_8_no_cpy,4718592,3,18018
log_implementations_dace_g__veclen_8_no_cpy,4718592,4,13937
log_implementations_dace_g__veclen_8_no_cpy,4718592,5,16794
log_implementations_dace_g__veclen_8_no_cpy,4718592,6,17488
log_implementations_dace_g__veclen_8_no_cpy,4718592,7,17177
log_implementations_dace_g__veclen_8_no_cpy,4718592,8,18065
log_implementations_dace_g__veclen_8_no_cpy,4718592,9,18098
log_implementations_dace_g__veclen_8_no_cpy,4718592,10,17907
log_implementations_dace_g__veclen_8_no_cpy,4718592,11,18559
log_implementations_dace_g__veclen_8_no_cpy,4718592,12,18240
log_implementations_dace_g__veclen_8_no_cpy,4718592,13,17759
log_implementations_dace_g__veclen_8_no_cpy,4718592,14,19032
log_implementations_dace_g__veclen_8_no_cpy,4718592,15,10332
log_implementations_dace_g__veclen_8_no_cpy,4718592,16,17158
log_implementations_dace_g__veclen_8_no_cpy,4718592,17,18321
log_implementations_dace_g__veclen_8_no_cpy,4718592,18,17508
log_implementations_dace_g__veclen_8_no_cpy,4718592,19,18099
log_implementations_dace_g__veclen_8_cpy,4718592,0,18593
log_implementations_dace_g__veclen_8_cpy,4718592,1,18029
log_implementations_dace_g__veclen_8_cpy,4718592,2,18741
log_implementations_dace_g__veclen_8_cpy,4718592,3,18173
log_implementations_dace_g__veclen_8_cpy,4718592,4,18334
log_implementations_dace_g__veclen_8_cpy,4718592,5,18471
log_implementations_dace_g__veclen_8_cpy,4718592,6,10791
log_implementations_dace_g__veclen_8_cpy,4718592,7,17699
log_implementations_dace_g__veclen_8_cpy,4718592,8,18202
log_implementations_dace_g__veclen_8_cpy,4718592,9,18590
log_implementations_dace_g__veclen_8_cpy,4718592,10,18925
log_implementations_dace_g__veclen_8_cpy,4718592,11,17603
log_implementations_dace_g__veclen_8_cpy,4718592,12,17442
log_implementations_dace_g__veclen_8_cpy,4718592,13,17782
log_implementations_dace_g__veclen_8_cpy,4718592,14,19266
