sdfg_name,size,rep,time_seconds
log_implementations_std,4718592,0,92210
log_implementations_std,4718592,1,92170
log_implementations_std,4718592,2,92214
log_implementations_std,4718592,3,92211
log_implementations_std,4718592,4,92156
log_implementations_std,4718592,5,92248
log_implementations_std,4718592,6,92171
log_implementations_std,4718592,7,92229
log_implementations_std,4718592,8,92363
log_implementations_std,4718592,9,92407
log_implementations_std,4718592,10,92360
log_implementations_std,4718592,11,92165
log_implementations_std,4718592,12,92192
log_implementations_std,4718592,13,92220
log_implementations_std,4718592,14,92149
log_implementations_std,4718592,15,92509
log_implementations_std,4718592,16,92650
log_implementations_std,4718592,17,92273
log_implementations_std,4718592,18,92127
log_implementations_std,4718592,19,92707
log_implementations_std_icpx__no_vectorize_veclen_8_no_cpy,4718592,0,10868
log_implementations_std_icpx__no_vectorize_veclen_8_no_cpy,4718592,1,10859
log_implementations_std_icpx__no_vectorize_veclen_8_no_cpy,4718592,2,10863
log_implementations_std_icpx__no_vectorize_veclen_8_no_cpy,4718592,3,10880
log_implementations_std_icpx__no_vectorize_veclen_8_no_cpy,4718592,4,10875
log_implementations_std_icpx__no_vectorize_veclen_8_no_cpy,4718592,5,10892
log_implementations_std_icpx__no_vectorize_veclen_8_no_cpy,4718592,6,10907
log_implementations_std_icpx__no_vectorize_veclen_8_no_cpy,4718592,7,10888
log_implementations_std_icpx__no_vectorize_veclen_8_no_cpy,4718592,8,10926
log_implementations_std_icpx__no_vectorize_veclen_8_no_cpy,4718592,9,10920
log_implementations_std_icpx__no_vectorize_veclen_8_no_cpy,4718592,10,10916
log_implementations_std_icpx__no_vectorize_veclen_8_no_cpy,4718592,11,10940
log_implementations_std_icpx__no_vectorize_veclen_8_no_cpy,4718592,12,11007
log_implementations_std_icpx__no_vectorize_veclen_8_no_cpy,4718592,13,10964
log_implementations_std_icpx__no_vectorize_veclen_8_no_cpy,4718592,14,11006
log_implementations_std_icpx__no_vectorize_veclen_8_no_cpy,4718592,15,11026
log_implementations_std_icpx__no_vectorize_veclen_8_no_cpy,4718592,16,11023
log_implementations_std_icpx__no_vectorize_veclen_8_no_cpy,4718592,17,11020
log_implementations_std_icpx__no_vectorize_veclen_8_no_cpy,4718592,18,11038
log_implementations_std_icpx__no_vectorize_veclen_8_no_cpy,4718592,19,10994
log_implementations_std_icpx__no_vectorize_veclen_8_cpy,4718592,0,11754
log_implementations_std_icpx__no_vectorize_veclen_8_cpy,4718592,1,11826
log_implementations_std_icpx__no_vectorize_veclen_8_cpy,4718592,2,11831
log_implementations_std_icpx__no_vectorize_veclen_8_cpy,4718592,3,11812
log_implementations_std_icpx__no_vectorize_veclen_8_cpy,4718592,4,11887
log_implementations_std_icpx__no_vectorize_veclen_8_cpy,4718592,5,11792
log_implementations_std_icpx__no_vectorize_veclen_8_cpy,4718592,6,11865
log_implementations_std_icpx__no_vectorize_veclen_8_cpy,4718592,7,11870
log_implementations_std_icpx__no_vectorize_veclen_8_cpy,4718592,8,11860
log_implementations_std_icpx__no_vectorize_veclen_8_cpy,4718592,9,11924
log_implementations_std_icpx__no_vectorize_veclen_8_cpy,4718592,10,11950
log_implementations_std_icpx__no_vectorize_veclen_8_cpy,4718592,11,11977
log_implementations_std_icpx__no_vectorize_veclen_8_cpy,4718592,12,11970
log_implementations_std_icpx__no_vectorize_veclen_8_cpy,4718592,13,12047
log_implementations_std_icpx__no_vectorize_veclen_8_cpy,4718592,14,12077
log_implementations_std_icpx__no_vectorize_veclen_8_cpy,4718592,15,12085
log_implementations_std_icpx__no_vectorize_veclen_8_cpy,4718592,16,12156
log_implementations_std_icpx__no_vectorize_veclen_8_cpy,4718592,17,12153
log_implementations_std_icpx__no_vectorize_veclen_8_cpy,4718592,18,12107
log_implementations_std_icpx__no_vectorize_veclen_8_cpy,4718592,19,12167
log_implementations_std_icpx__no_vectorize_veclen_16_no_cpy,4718592,0,10845
log_implementations_std_icpx__no_vectorize_veclen_16_no_cpy,4718592,1,10882
log_implementations_std_icpx__no_vectorize_veclen_16_no_cpy,4718592,2,10918
log_implementations_std_icpx__no_vectorize_veclen_16_no_cpy,4718592,3,10895
log_implementations_std_icpx__no_vectorize_veclen_16_no_cpy,4718592,4,10789
log_implementations_std_icpx__no_vectorize_veclen_16_no_cpy,4718592,5,10847
log_implementations_std_icpx__no_vectorize_veclen_16_no_cpy,4718592,6,10897
log_implementations_std_icpx__no_vectorize_veclen_16_no_cpy,4718592,7,10914
log_implementations_std_icpx__no_vectorize_veclen_16_no_cpy,4718592,8,10912
log_implementations_std_icpx__no_vectorize_veclen_16_no_cpy,4718592,9,10973
log_implementations_std_icpx__no_vectorize_veclen_16_no_cpy,4718592,10,10937
log_implementations_std_icpx__no_vectorize_veclen_16_no_cpy,4718592,11,10691
log_implementations_std_icpx__no_vectorize_veclen_16_no_cpy,4718592,12,10881
log_implementations_std_icpx__no_vectorize_veclen_16_no_cpy,4718592,13,10934
log_implementations_std_icpx__no_vectorize_veclen_16_no_cpy,4718592,14,10915
log_implementations_std_icpx__no_vectorize_veclen_16_no_cpy,4718592,15,10876
log_implementations_std_icpx__no_vectorize_veclen_16_no_cpy,4718592,16,10650
log_implementations_std_icpx__no_vectorize_veclen_16_no_cpy,4718592,17,10666
log_implementations_std_icpx__no_vectorize_veclen_16_no_cpy,4718592,18,10656
log_implementations_std_icpx__no_vectorize_veclen_16_no_cpy,4718592,19,10635
log_implementations_std_icpx__no_vectorize_veclen_16_cpy,4718592,0,11001
log_implementations_std_icpx__no_vectorize_veclen_16_cpy,4718592,1,10986
log_implementations_std_icpx__no_vectorize_veclen_16_cpy,4718592,2,10993
log_implementations_std_icpx__no_vectorize_veclen_16_cpy,4718592,3,11004
log_implementations_std_icpx__no_vectorize_veclen_16_cpy,4718592,4,10973
log_implementations_std_icpx__no_vectorize_veclen_16_cpy,4718592,5,10953
log_implementations_std_icpx__no_vectorize_veclen_16_cpy,4718592,6,10919
log_implementations_std_icpx__no_vectorize_veclen_16_cpy,4718592,7,10674
log_implementations_std_icpx__no_vectorize_veclen_16_cpy,4718592,8,10785
log_implementations_std_icpx__no_vectorize_veclen_16_cpy,4718592,9,10786
log_implementations_std_icpx__no_vectorize_veclen_16_cpy,4718592,10,10906
log_implementations_std_icpx__no_vectorize_veclen_16_cpy,4718592,11,10907
log_implementations_std_icpx__no_vectorize_veclen_16_cpy,4718592,12,10924
log_implementations_std_icpx__no_vectorize_veclen_16_cpy,4718592,13,10921
log_implementations_std_icpx__no_vectorize_veclen_16_cpy,4718592,14,10722
log_implementations_std_icpx__no_vectorize_veclen_16_cpy,4718592,15,10708
log_implementations_std_icpx__no_vectorize_veclen_16_cpy,4718592,16,10834
log_implementations_std_icpx__no_vectorize_veclen_16_cpy,4718592,17,10852
log_implementations_std_icpx__no_vectorize_veclen_16_cpy,4718592,18,10849
log_implementations_std_icpx__no_vectorize_veclen_16_cpy,4718592,19,10906
log_implementations_std_icpx__no_vectorize_veclen_32_no_cpy,4718592,0,10677
log_implementations_std_icpx__no_vectorize_veclen_32_no_cpy,4718592,1,10778
log_implementations_std_icpx__no_vectorize_veclen_32_no_cpy,4718592,2,10713
log_implementations_std_icpx__no_vectorize_veclen_32_no_cpy,4718592,3,10705
log_implementations_std_icpx__no_vectorize_veclen_32_no_cpy,4718592,4,10655
log_implementations_std_icpx__no_vectorize_veclen_32_no_cpy,4718592,5,10579
log_implementations_std_icpx__no_vectorize_veclen_32_no_cpy,4718592,6,10578
log_implementations_std_icpx__no_vectorize_veclen_32_no_cpy,4718592,7,10634
log_implementations_std_icpx__no_vectorize_veclen_32_no_cpy,4718592,8,10635
log_implementations_std_icpx__no_vectorize_veclen_32_no_cpy,4718592,9,10624
log_implementations_std_icpx__no_vectorize_veclen_32_no_cpy,4718592,10,10696
log_implementations_std_icpx__no_vectorize_veclen_32_no_cpy,4718592,11,10604
log_implementations_std_icpx__no_vectorize_veclen_32_no_cpy,4718592,12,10601
log_implementations_std_icpx__no_vectorize_veclen_32_no_cpy,4718592,13,10677
log_implementations_std_icpx__no_vectorize_veclen_32_no_cpy,4718592,14,10631
log_implementations_std_icpx__no_vectorize_veclen_32_no_cpy,4718592,15,10626
log_implementations_std_icpx__no_vectorize_veclen_32_no_cpy,4718592,16,10885
log_implementations_std_icpx__no_vectorize_veclen_32_no_cpy,4718592,17,10590
log_implementations_std_icpx__no_vectorize_veclen_32_no_cpy,4718592,18,10599
log_implementations_std_icpx__no_vectorize_veclen_32_no_cpy,4718592,19,10610
log_implementations_std_icpx__no_vectorize_veclen_32_cpy,4718592,0,10674
log_implementations_std_icpx__no_vectorize_veclen_32_cpy,4718592,1,10782
log_implementations_std_icpx__no_vectorize_veclen_32_cpy,4718592,2,10747
log_implementations_std_icpx__no_vectorize_veclen_32_cpy,4718592,3,10733
log_implementations_std_icpx__no_vectorize_veclen_32_cpy,4718592,4,10702
log_implementations_std_icpx__no_vectorize_veclen_32_cpy,4718592,5,10724
log_implementations_std_icpx__no_vectorize_veclen_32_cpy,4718592,6,10773
log_implementations_std_icpx__no_vectorize_veclen_32_cpy,4718592,7,10614
log_implementations_std_icpx__no_vectorize_veclen_32_cpy,4718592,8,10652
log_implementations_std_icpx__no_vectorize_veclen_32_cpy,4718592,9,10660
log_implementations_std_icpx__no_vectorize_veclen_32_cpy,4718592,10,10710
log_implementations_std_icpx__no_vectorize_veclen_32_cpy,4718592,11,10635
log_implementations_std_icpx__no_vectorize_veclen_32_cpy,4718592,12,10541
log_implementations_std_icpx__no_vectorize_veclen_32_cpy,4718592,13,10629
log_implementations_std_icpx__no_vectorize_veclen_32_cpy,4718592,14,10704
log_implementations_std_icpx__no_vectorize_veclen_32_cpy,4718592,15,10661
log_implementations_std_icpx__no_vectorize_veclen_32_cpy,4718592,16,10572
log_implementations_std_icpx__no_vectorize_veclen_32_cpy,4718592,17,10630
log_implementations_std_icpx__no_vectorize_veclen_32_cpy,4718592,18,10671
log_implementations_std_icpx__no_vectorize_veclen_32_cpy,4718592,19,10605
log_implementations_std_icpx__no_vectorize_veclen_64_no_cpy,4718592,0,11484
log_implementations_std_icpx__no_vectorize_veclen_64_no_cpy,4718592,1,11514
log_implementations_std_icpx__no_vectorize_veclen_64_no_cpy,4718592,2,11476
log_implementations_std_icpx__no_vectorize_veclen_64_no_cpy,4718592,3,11520
log_implementations_std_icpx__no_vectorize_veclen_64_no_cpy,4718592,4,11491
log_implementations_std_icpx__no_vectorize_veclen_64_no_cpy,4718592,5,11503
log_implementations_std_icpx__no_vectorize_veclen_64_no_cpy,4718592,6,11479
