sdfg_name,size,rep,time_seconds
log_implementations_dace,4718592,0,188
log_implementations_dace,4718592,1,256
log_implementations_dace,4718592,2,224
log_implementations_dace,4718592,3,220
log_implementations_dace,4718592,4,212
log_implementations_dace,4718592,5,204
log_implementations_dace,4718592,6,198
log_implementations_dace,4718592,7,207
log_implementations_dace,4718592,8,200
log_implementations_dace,4718592,9,197
log_implementations_dace,4718592,10,264
log_implementations_dace,4718592,11,201
log_implementations_dace,4718592,12,198
log_implementations_dace,4718592,13,199
log_implementations_dace,4718592,14,196
log_implementations_dace,4718592,15,198
log_implementations_dace,4718592,16,196
log_implementations_dace,4718592,17,198
log_implementations_dace,4718592,18,198
log_implementations_dace,4718592,19,197
log_implementations_dace_clang__neon_veclen_2_no_cpy,4718592,0,217
log_implementations_dace_clang__neon_veclen_2_no_cpy,4718592,1,210
log_implementations_dace_clang__neon_veclen_2_no_cpy,4718592,2,205
log_implementations_dace_clang__neon_veclen_2_no_cpy,4718592,3,202
log_implementations_dace_clang__neon_veclen_2_no_cpy,4718592,4,199
log_implementations_dace_clang__neon_veclen_2_no_cpy,4718592,5,215
log_implementations_dace_clang__neon_veclen_2_no_cpy,4718592,6,202
log_implementations_dace_clang__neon_veclen_2_no_cpy,4718592,7,201
log_implementations_dace_clang__neon_veclen_2_no_cpy,4718592,8,203
log_implementations_dace_clang__neon_veclen_2_no_cpy,4718592,9,200
log_implementations_dace_clang__neon_veclen_2_no_cpy,4718592,10,196
log_implementations_dace_clang__neon_veclen_2_no_cpy,4718592,11,197
log_implementations_dace_clang__neon_veclen_2_no_cpy,4718592,12,199
log_implementations_dace_clang__neon_veclen_2_no_cpy,4718592,13,198
log_implementations_dace_clang__neon_veclen_2_no_cpy,4718592,14,192
log_implementations_dace_clang__neon_veclen_2_no_cpy,4718592,15,194
log_implementations_dace_clang__neon_veclen_2_no_cpy,4718592,16,195
log_implementations_dace_clang__neon_veclen_2_no_cpy,4718592,17,194
log_implementations_dace_clang__neon_veclen_2_no_cpy,4718592,18,192
log_implementations_dace_clang__neon_veclen_2_no_cpy,4718592,19,197
log_implementations_dace_clang__neon_veclen_2_cpy,4718592,0,215
log_implementations_dace_clang__neon_veclen_2_cpy,4718592,1,207
log_implementations_dace_clang__neon_veclen_2_cpy,4718592,2,206
log_implementations_dace_clang__neon_veclen_2_cpy,4718592,3,205
log_implementations_dace_clang__neon_veclen_2_cpy,4718592,4,200
log_implementations_dace_clang__neon_veclen_2_cpy,4718592,5,197
log_implementations_dace_clang__neon_veclen_2_cpy,4718592,6,194
log_implementations_dace_clang__neon_veclen_2_cpy,4718592,7,194
log_implementations_dace_clang__neon_veclen_2_cpy,4718592,8,199
log_implementations_dace_clang__neon_veclen_2_cpy,4718592,9,199
log_implementations_dace_clang__neon_veclen_2_cpy,4718592,10,194
log_implementations_dace_clang__neon_veclen_2_cpy,4718592,11,190
log_implementations_dace_clang__neon_veclen_2_cpy,4718592,12,191
log_implementations_dace_clang__neon_veclen_2_cpy,4718592,13,192
log_implementations_dace_clang__neon_veclen_2_cpy,4718592,14,192
log_implementations_dace_clang__neon_veclen_2_cpy,4718592,15,192
log_implementations_dace_clang__neon_veclen_2_cpy,4718592,16,190
log_implementations_dace_clang__neon_veclen_2_cpy,4718592,17,191
log_implementations_dace_clang__neon_veclen_2_cpy,4718592,18,200
log_implementations_dace_clang__neon_veclen_2_cpy,4718592,19,197
log_implementations_dace_clang__neon_veclen_4_no_cpy,4718592,0,207
log_implementations_dace_clang__neon_veclen_4_no_cpy,4718592,1,220
log_implementations_dace_clang__neon_veclen_4_no_cpy,4718592,2,251
log_implementations_dace_clang__neon_veclen_4_no_cpy,4718592,3,198
log_implementations_dace_clang__neon_veclen_4_no_cpy,4718592,4,194
log_implementations_dace_clang__neon_veclen_4_no_cpy,4718592,5,193
log_implementations_dace_clang__neon_veclen_4_no_cpy,4718592,6,190
log_implementations_dace_clang__neon_veclen_4_no_cpy,4718592,7,191
log_implementations_dace_clang__neon_veclen_4_no_cpy,4718592,8,186
log_implementations_dace_clang__neon_veclen_4_no_cpy,4718592,9,187
log_implementations_dace_clang__neon_veclen_4_no_cpy,4718592,10,194
log_implementations_dace_clang__neon_veclen_4_no_cpy,4718592,11,195
log_implementations_dace_clang__neon_veclen_4_no_cpy,4718592,12,191
log_implementations_dace_clang__neon_veclen_4_no_cpy,4718592,13,191
log_implementations_dace_clang__neon_veclen_4_no_cpy,4718592,14,192
log_implementations_dace_clang__neon_veclen_4_no_cpy,4718592,15,485
log_implementations_dace_clang__neon_veclen_4_no_cpy,4718592,16,187
log_implementations_dace_clang__neon_veclen_4_no_cpy,4718592,17,186
log_implementations_dace_clang__neon_veclen_4_no_cpy,4718592,18,187
log_implementations_dace_clang__neon_veclen_4_no_cpy,4718592,19,183
log_implementations_dace_clang__neon_veclen_4_cpy,4718592,0,219
log_implementations_dace_clang__neon_veclen_4_cpy,4718592,1,203
log_implementations_dace_clang__neon_veclen_4_cpy,4718592,2,199
log_implementations_dace_clang__neon_veclen_4_cpy,4718592,3,193
log_implementations_dace_clang__neon_veclen_4_cpy,4718592,4,188
log_implementations_dace_clang__neon_veclen_4_cpy,4718592,5,186
log_implementations_dace_clang__neon_veclen_4_cpy,4718592,6,186
log_implementations_dace_clang__neon_veclen_4_cpy,4718592,7,184
log_implementations_dace_clang__neon_veclen_4_cpy,4718592,8,184
log_implementations_dace_clang__neon_veclen_4_cpy,4718592,9,185
log_implementations_dace_clang__neon_veclen_4_cpy,4718592,10,185
log_implementations_dace_clang__neon_veclen_4_cpy,4718592,11,185
log_implementations_dace_clang__neon_veclen_4_cpy,4718592,12,181
log_implementations_dace_clang__neon_veclen_4_cpy,4718592,13,182
log_implementations_dace_clang__neon_veclen_4_cpy,4718592,14,184
log_implementations_dace_clang__neon_veclen_4_cpy,4718592,15,194
log_implementations_dace_clang__neon_veclen_4_cpy,4718592,16,188
log_implementations_dace_clang__neon_veclen_4_cpy,4718592,17,184
log_implementations_dace_clang__neon_veclen_4_cpy,4718592,18,181
log_implementations_dace_clang__neon_veclen_4_cpy,4718592,19,183
log_implementations_dace_clang__neon_veclen_8_no_cpy,4718592,0,219
log_implementations_dace_clang__neon_veclen_8_no_cpy,4718592,1,206
log_implementations_dace_clang__neon_veclen_8_no_cpy,4718592,2,201
log_implementations_dace_clang__neon_veclen_8_no_cpy,4718592,3,204
log_implementations_dace_clang__neon_veclen_8_no_cpy,4718592,4,203
log_implementations_dace_clang__neon_veclen_8_no_cpy,4718592,5,198
log_implementations_dace_clang__neon_veclen_8_no_cpy,4718592,6,195
log_implementations_dace_clang__neon_veclen_8_no_cpy,4718592,7,197
log_implementations_dace_clang__neon_veclen_8_no_cpy,4718592,8,193
log_implementations_dace_clang__neon_veclen_8_no_cpy,4718592,9,195
log_implementations_dace_clang__neon_veclen_8_no_cpy,4718592,10,204
log_implementations_dace_clang__neon_veclen_8_no_cpy,4718592,11,194
log_implementations_dace_clang__neon_veclen_8_no_cpy,4718592,12,193
log_implementations_dace_clang__neon_veclen_8_no_cpy,4718592,13,194
log_implementations_dace_clang__neon_veclen_8_no_cpy,4718592,14,193
log_implementations_dace_clang__neon_veclen_8_no_cpy,4718592,15,194
log_implementations_dace_clang__neon_veclen_8_no_cpy,4718592,16,194
log_implementations_dace_clang__neon_veclen_8_no_cpy,4718592,17,192
log_implementations_dace_clang__neon_veclen_8_no_cpy,4718592,18,193
log_implementations_dace_clang__neon_veclen_8_no_cpy,4718592,19,193
log_implementations_dace_clang__neon_veclen_8_cpy,4718592,0,226
log_implementations_dace_clang__neon_veclen_8_cpy,4718592,1,221
log_implementations_dace_clang__neon_veclen_8_cpy,4718592,2,217
log_implementations_dace_clang__neon_veclen_8_cpy,4718592,3,215
log_implementations_dace_clang__neon_veclen_8_cpy,4718592,4,217
log_implementations_dace_clang__neon_veclen_8_cpy,4718592,5,218
log_implementations_dace_clang__neon_veclen_8_cpy,4718592,6,253
log_implementations_dace_clang__neon_veclen_8_cpy,4718592,7,215
log_implementations_dace_clang__neon_veclen_8_cpy,4718592,8,212
log_implementations_dace_clang__neon_veclen_8_cpy,4718592,9,220
log_implementations_dace_clang__neon_veclen_8_cpy,4718592,10,210
log_implementations_dace_clang__neon_veclen_8_cpy,4718592,11,217
log_implementations_dace_clang__neon_veclen_8_cpy,4718592,12,205
log_implementations_dace_clang__neon_veclen_8_cpy,4718592,13,215
log_implementations_dace_clang__neon_veclen_8_cpy,4718592,14,220
log_implementations_dace_clang__neon_veclen_8_cpy,4718592,15,216
log_implementations_dace_clang__neon_veclen_8_cpy,4718592,16,215
log_implementations_dace_clang__neon_veclen_8_cpy,4718592,17,214
log_implementations_dace_clang__neon_veclen_8_cpy,4718592,18,216
log_implementations_dace_clang__neon_veclen_8_cpy,4718592,19,217
log_implementations_dace_clang__neon_veclen_16_no_cpy,4718592,0,216
log_implementations_dace_clang__neon_veclen_16_no_cpy,4718592,1,215
log_implementations_dace_clang__neon_veclen_16_no_cpy,4718592,2,209
log_implementations_dace_clang__neon_veclen_16_no_cpy,4718592,3,212
log_implementations_dace_clang__neon_veclen_16_no_cpy,4718592,4,210
log_implementations_dace_clang__neon_veclen_16_no_cpy,4718592,5,209
log_implementations_dace_clang__neon_veclen_16_no_cpy,4718592,6,202
log_implementations_dace_clang__neon_veclen_16_no_cpy,4718592,7,202
log_implementations_dace_clang__neon_veclen_16_no_cpy,4718592,8,206
log_implementations_dace_clang__neon_veclen_16_no_cpy,4718592,9,204
log_implementations_dace_clang__neon_veclen_16_no_cpy,4718592,10,234
log_implementations_dace_clang__neon_veclen_16_no_cpy,4718592,11,203
log_implementations_dace_clang__neon_veclen_16_no_cpy,4718592,12,199
