sdfg_name,size,rep,time_seconds
log_implementations_std,4718592,0,98367
log_implementations_std,4718592,1,110510
log_implementations_std,4718592,2,102010
log_implementations_std,4718592,3,100054
log_implementations_std,4718592,4,101244
log_implementations_std,4718592,5,102123
log_implementations_std,4718592,6,99566
log_implementations_std,4718592,7,101269
log_implementations_std,4718592,8,93471
log_implementations_std,4718592,9,93818
log_implementations_std,4718592,10,99872
log_implementations_std,4718592,11,95396
log_implementations_std,4718592,12,98982
log_implementations_std,4718592,13,100149
log_implementations_std,4718592,14,100013
log_implementations_std,4718592,15,100685
log_implementations_std,4718592,16,98317
log_implementations_std,4718592,17,99767
log_implementations_std,4718592,18,99217
log_implementations_std,4718592,19,100210
log_implementations_std_clang__force_width_512_veclen_8_no_cpy,4718592,0,96044
log_implementations_std_clang__force_width_512_veclen_8_no_cpy,4718592,1,94835
log_implementations_std_clang__force_width_512_veclen_8_no_cpy,4718592,2,100380
log_implementations_std_clang__force_width_512_veclen_8_no_cpy,4718592,3,98024
log_implementations_std_clang__force_width_512_veclen_8_no_cpy,4718592,4,94616
log_implementations_std_clang__force_width_512_veclen_8_no_cpy,4718592,5,103274
log_implementations_std_clang__force_width_512_veclen_8_no_cpy,4718592,6,101611
log_implementations_std_clang__force_width_512_veclen_8_no_cpy,4718592,7,100491
log_implementations_std_clang__force_width_512_veclen_8_no_cpy,4718592,8,101603
log_implementations_std_clang__force_width_512_veclen_8_no_cpy,4718592,9,93271
log_implementations_std_clang__force_width_512_veclen_8_no_cpy,4718592,10,101724
log_implementations_std_clang__force_width_512_veclen_8_no_cpy,4718592,11,96066
log_implementations_std_clang__force_width_512_veclen_8_no_cpy,4718592,12,198743
log_implementations_std_clang__force_width_512_veclen_8_no_cpy,4718592,13,95766
log_implementations_std_clang__force_width_512_veclen_8_no_cpy,4718592,14,96377
log_implementations_std_clang__force_width_512_veclen_8_no_cpy,4718592,15,99433
log_implementations_std_clang__force_width_512_veclen_8_no_cpy,4718592,16,94702
log_implementations_std_clang__force_width_512_veclen_8_no_cpy,4718592,17,95580
log_implementations_std_clang__force_width_512_veclen_8_no_cpy,4718592,18,98744
log_implementations_std_clang__force_width_512_veclen_8_no_cpy,4718592,19,198016
log_implementations_std_clang__force_width_512_veclen_8_cpy,4718592,0,101513
log_implementations_std_clang__force_width_512_veclen_8_cpy,4718592,1,96321
log_implementations_std_clang__force_width_512_veclen_8_cpy,4718592,2,95942
log_implementations_std_clang__force_width_512_veclen_8_cpy,4718592,3,196092
log_implementations_std_clang__force_width_512_veclen_8_cpy,4718592,4,96786
log_implementations_std_clang__force_width_512_veclen_8_cpy,4718592,5,99689
log_implementations_std_clang__force_width_512_veclen_8_cpy,4718592,6,98619
log_implementations_std_clang__force_width_512_veclen_8_cpy,4718592,7,101546
log_implementations_std_clang__force_width_512_veclen_8_cpy,4718592,8,102136
log_implementations_std_clang__force_width_512_veclen_8_cpy,4718592,9,198041
log_implementations_std_clang__force_width_512_veclen_8_cpy,4718592,10,100052
log_implementations_std_clang__force_width_512_veclen_8_cpy,4718592,11,102160
log_implementations_std_clang__force_width_512_veclen_8_cpy,4718592,12,100937
log_implementations_std_clang__force_width_512_veclen_8_cpy,4718592,13,100924
log_implementations_std_clang__force_width_512_veclen_8_cpy,4718592,14,101465
log_implementations_std_clang__force_width_512_veclen_8_cpy,4718592,15,99809
log_implementations_std_clang__force_width_512_veclen_8_cpy,4718592,16,97218
log_implementations_std_clang__force_width_512_veclen_8_cpy,4718592,17,98337
log_implementations_std_clang__force_width_512_veclen_8_cpy,4718592,18,102635
log_implementations_std_clang__force_width_512_veclen_8_cpy,4718592,19,97166
log_implementations_std_clang__force_width_512_veclen_16_no_cpy,4718592,0,111511
log_implementations_std_clang__force_width_512_veclen_16_no_cpy,4718592,1,209905
log_implementations_std_clang__force_width_512_veclen_16_no_cpy,4718592,2,110843
log_implementations_std_clang__force_width_512_veclen_16_no_cpy,4718592,3,105280
log_implementations_std_clang__force_width_512_veclen_16_no_cpy,4718592,4,110212
log_implementations_std_clang__force_width_512_veclen_16_no_cpy,4718592,5,107805
log_implementations_std_clang__force_width_512_veclen_16_no_cpy,4718592,6,109329
log_implementations_std_clang__force_width_512_veclen_16_no_cpy,4718592,7,110435
log_implementations_std_clang__force_width_512_veclen_16_no_cpy,4718592,8,108460
log_implementations_std_clang__force_width_512_veclen_16_no_cpy,4718592,9,107436
log_implementations_std_clang__force_width_512_veclen_16_no_cpy,4718592,10,109548
log_implementations_std_clang__force_width_512_veclen_16_no_cpy,4718592,11,110131
log_implementations_std_clang__force_width_512_veclen_16_no_cpy,4718592,12,110535
log_implementations_std_clang__force_width_512_veclen_16_no_cpy,4718592,13,105844
log_implementations_std_clang__force_width_512_veclen_16_no_cpy,4718592,14,210341
log_implementations_std_clang__force_width_512_veclen_16_no_cpy,4718592,15,110683
log_implementations_std_clang__force_width_512_veclen_16_no_cpy,4718592,16,107659
log_implementations_std_clang__force_width_512_veclen_16_no_cpy,4718592,17,106386
log_implementations_std_clang__force_width_512_veclen_16_no_cpy,4718592,18,110633
log_implementations_std_clang__force_width_512_veclen_16_no_cpy,4718592,19,108106
log_implementations_std_clang__force_width_512_veclen_16_cpy,4718592,0,109373
log_implementations_std_clang__force_width_512_veclen_16_cpy,4718592,1,107674
log_implementations_std_clang__force_width_512_veclen_16_cpy,4718592,2,105315
log_implementations_std_clang__force_width_512_veclen_16_cpy,4718592,3,109794
log_implementations_std_clang__force_width_512_veclen_16_cpy,4718592,4,109510
log_implementations_std_clang__force_width_512_veclen_16_cpy,4718592,5,110367
log_implementations_std_clang__force_width_512_veclen_16_cpy,4718592,6,112210
log_implementations_std_clang__force_width_512_veclen_16_cpy,4718592,7,117171
log_implementations_std_clang__force_width_512_veclen_16_cpy,4718592,8,106531
log_implementations_std_clang__force_width_512_veclen_16_cpy,4718592,9,108582
log_implementations_std_clang__force_width_512_veclen_16_cpy,4718592,10,112537
log_implementations_std_clang__force_width_512_veclen_16_cpy,4718592,11,113157
log_implementations_std_clang__force_width_512_veclen_16_cpy,4718592,12,110638
log_implementations_std_clang__force_width_512_veclen_16_cpy,4718592,13,113078
log_implementations_std_clang__force_width_512_veclen_16_cpy,4718592,14,108097
log_implementations_std_clang__force_width_512_veclen_16_cpy,4718592,15,111591
log_implementations_std_clang__force_width_512_veclen_16_cpy,4718592,16,108096
log_implementations_std_clang__force_width_512_veclen_16_cpy,4718592,17,111770
log_implementations_std_clang__force_width_512_veclen_16_cpy,4718592,18,106789
log_implementations_std_clang__force_width_512_veclen_16_cpy,4718592,19,109283
log_implementations_std_clang__force_width_512_veclen_32_no_cpy,4718592,0,111054
log_implementations_std_clang__force_width_512_veclen_32_no_cpy,4718592,1,109617
log_implementations_std_clang__force_width_512_veclen_32_no_cpy,4718592,2,112344
log_implementations_std_clang__force_width_512_veclen_32_no_cpy,4718592,3,112153
log_implementations_std_clang__force_width_512_veclen_32_no_cpy,4718592,4,112488
log_implementations_std_clang__force_width_512_veclen_32_no_cpy,4718592,5,112415
log_implementations_std_clang__force_width_512_veclen_32_no_cpy,4718592,6,112465
log_implementations_std_clang__force_width_512_veclen_32_no_cpy,4718592,7,107630
log_implementations_std_clang__force_width_512_veclen_32_no_cpy,4718592,8,112213
log_implementations_std_clang__force_width_512_veclen_32_no_cpy,4718592,9,113163
log_implementations_std_clang__force_width_512_veclen_32_no_cpy,4718592,10,209223
log_implementations_std_clang__force_width_512_veclen_32_no_cpy,4718592,11,112589
log_implementations_std_clang__force_width_512_veclen_32_no_cpy,4718592,12,112534
log_implementations_std_clang__force_width_512_veclen_32_no_cpy,4718592,13,112925
log_implementations_std_clang__force_width_512_veclen_32_no_cpy,4718592,14,112263
log_implementations_std_clang__force_width_512_veclen_32_no_cpy,4718592,15,111733
log_implementations_std_clang__force_width_512_veclen_32_no_cpy,4718592,16,204559
log_implementations_std_clang__force_width_512_veclen_32_no_cpy,4718592,17,109713
log_implementations_std_clang__force_width_512_veclen_32_no_cpy,4718592,18,112341
log_implementations_std_clang__force_width_512_veclen_32_no_cpy,4718592,19,112722
log_implementations_std_clang__force_width_512_veclen_32_cpy,4718592,0,125036
log_implementations_std_clang__force_width_512_veclen_32_cpy,4718592,1,113732
log_implementations_std_clang__force_width_512_veclen_32_cpy,4718592,2,113569
log_implementations_std_clang__force_width_512_veclen_32_cpy,4718592,3,115108
log_implementations_std_clang__force_width_512_veclen_32_cpy,4718592,4,115316
log_implementations_std_clang__force_width_512_veclen_32_cpy,4718592,5,112336
log_implementations_std_clang__force_width_512_veclen_32_cpy,4718592,6,113697
log_implementations_std_clang__force_width_512_veclen_32_cpy,4718592,7,113940
log_implementations_std_clang__force_width_512_veclen_32_cpy,4718592,8,112514
log_implementations_std_clang__force_width_512_veclen_32_cpy,4718592,9,113715
log_implementations_std_clang__force_width_512_veclen_32_cpy,4718592,10,111375
log_implementations_std_clang__force_width_512_veclen_32_cpy,4718592,11,110960
log_implementations_std_clang__force_width_512_veclen_32_cpy,4718592,12,114448
log_implementations_std_clang__force_width_512_veclen_32_cpy,4718592,13,112782
log_implementations_std_clang__force_width_512_veclen_32_cpy,4718592,14,114114
log_implementations_std_clang__force_width_512_veclen_32_cpy,4718592,15,114100
log_implementations_std_clang__force_width_512_veclen_32_cpy,4718592,16,110708
log_implementations_std_clang__force_width_512_veclen_32_cpy,4718592,17,113307
log_implementations_std_clang__force_width_512_veclen_32_cpy,4718592,18,113654
log_implementations_std_clang__force_width_512_veclen_32_cpy,4718592,19,112525
log_implementations_std_clang__force_width_512_veclen_64_no_cpy,4718592,0,108108
