sdfg_name,size,rep,time_seconds
log_implementations_dace,4718592,0,99073
log_implementations_dace,4718592,1,98740
log_implementations_dace,4718592,2,100749
log_implementations_dace,4718592,3,100287
log_implementations_dace,4718592,4,99382
log_implementations_dace,4718592,5,98224
log_implementations_dace,4718592,6,100388
log_implementations_dace,4718592,7,98497
log_implementations_dace,4718592,8,99762
log_implementations_dace,4718592,9,98934
log_implementations_dace,4718592,10,99986
log_implementations_dace,4718592,11,99245
log_implementations_dace,4718592,12,98941
log_implementations_dace,4718592,13,95780
log_implementations_dace,4718592,14,99665
log_implementations_dace,4718592,15,98807
log_implementations_dace,4718592,16,98553
log_implementations_dace,4718592,17,99987
log_implementations_dace,4718592,18,98935
log_implementations_dace,4718592,19,98808
log_implementations_dace_clang__force_width_512_veclen_8_no_cpy,4718592,0,99865
log_implementations_dace_clang__force_width_512_veclen_8_no_cpy,4718592,1,99792
log_implementations_dace_clang__force_width_512_veclen_8_no_cpy,4718592,2,101203
log_implementations_dace_clang__force_width_512_veclen_8_no_cpy,4718592,3,98261
log_implementations_dace_clang__force_width_512_veclen_8_no_cpy,4718592,4,99167
log_implementations_dace_clang__force_width_512_veclen_8_no_cpy,4718592,5,100693
log_implementations_dace_clang__force_width_512_veclen_8_no_cpy,4718592,6,99944
log_implementations_dace_clang__force_width_512_veclen_8_no_cpy,4718592,7,100059
log_implementations_dace_clang__force_width_512_veclen_8_no_cpy,4718592,8,99843
log_implementations_dace_clang__force_width_512_veclen_8_no_cpy,4718592,9,100138
log_implementations_dace_clang__force_width_512_veclen_8_no_cpy,4718592,10,98918
log_implementations_dace_clang__force_width_512_veclen_8_no_cpy,4718592,11,99444
log_implementations_dace_clang__force_width_512_veclen_8_no_cpy,4718592,12,99993
log_implementations_dace_clang__force_width_512_veclen_8_no_cpy,4718592,13,100383
log_implementations_dace_clang__force_width_512_veclen_8_no_cpy,4718592,14,99764
log_implementations_dace_clang__force_width_512_veclen_8_no_cpy,4718592,15,99432
log_implementations_dace_clang__force_width_512_veclen_8_no_cpy,4718592,16,99874
log_implementations_dace_clang__force_width_512_veclen_8_no_cpy,4718592,17,100400
log_implementations_dace_clang__force_width_512_veclen_8_no_cpy,4718592,18,99910
log_implementations_dace_clang__force_width_512_veclen_8_no_cpy,4718592,19,99787
log_implementations_dace_clang__force_width_512_veclen_8_cpy,4718592,0,101286
log_implementations_dace_clang__force_width_512_veclen_8_cpy,4718592,1,100911
log_implementations_dace_clang__force_width_512_veclen_8_cpy,4718592,2,101246
log_implementations_dace_clang__force_width_512_veclen_8_cpy,4718592,3,102771
