sdfg_name,size,rep,time_seconds
log_implementations_std,4718592,0,10674
log_implementations_std,4718592,1,11523
log_implementations_std,4718592,2,11960
log_implementations_std,4718592,3,13224
log_implementations_std,4718592,4,12689
log_implementations_std,4718592,5,13473
log_implementations_std,4718592,6,12510
log_implementations_std,4718592,7,6859
log_implementations_std,4718592,8,12446
log_implementations_std,4718592,9,12480
log_implementations_std,4718592,10,14331
log_implementations_std,4718592,11,12136
log_implementations_std,4718592,12,12941
log_implementations_std,4718592,13,13327
log_implementations_std,4718592,14,11816
log_implementations_std,4718592,15,12032
log_implementations_std,4718592,16,13383
log_implementations_std,4718592,17,12657
log_implementations_std,4718592,18,5666
log_implementations_std,4718592,19,11984
log_implementations_std_clang__no_vectorize_veclen_8_no_cpy,4718592,0,12593
log_implementations_std_clang__no_vectorize_veclen_8_no_cpy,4718592,1,13174
log_implementations_std_clang__no_vectorize_veclen_8_no_cpy,4718592,2,12130
log_implementations_std_clang__no_vectorize_veclen_8_no_cpy,4718592,3,14371
log_implementations_std_clang__no_vectorize_veclen_8_no_cpy,4718592,4,13709
log_implementations_std_clang__no_vectorize_veclen_8_no_cpy,4718592,5,7026
log_implementations_std_clang__no_vectorize_veclen_8_no_cpy,4718592,6,5701
log_implementations_std_clang__no_vectorize_veclen_8_no_cpy,4718592,7,8397
log_implementations_std_clang__no_vectorize_veclen_8_no_cpy,4718592,8,12371
log_implementations_std_clang__no_vectorize_veclen_8_no_cpy,4718592,9,12216
log_implementations_std_clang__no_vectorize_veclen_8_no_cpy,4718592,10,14660
log_implementations_std_clang__no_vectorize_veclen_8_no_cpy,4718592,11,11102
log_implementations_std_clang__no_vectorize_veclen_8_no_cpy,4718592,12,12406
log_implementations_std_clang__no_vectorize_veclen_8_no_cpy,4718592,13,14198
log_implementations_std_clang__no_vectorize_veclen_8_no_cpy,4718592,14,12017
log_implementations_std_clang__no_vectorize_veclen_8_no_cpy,4718592,15,12090
log_implementations_std_clang__no_vectorize_veclen_8_no_cpy,4718592,16,12498
log_implementations_std_clang__no_vectorize_veclen_8_no_cpy,4718592,17,13531
log_implementations_std_clang__no_vectorize_veclen_8_no_cpy,4718592,18,12039
log_implementations_std_clang__no_vectorize_veclen_8_no_cpy,4718592,19,11855
log_implementations_std_clang__no_vectorize_veclen_8_cpy,4718592,0,13811
log_implementations_std_clang__no_vectorize_veclen_8_cpy,4718592,1,13608
log_implementations_std_clang__no_vectorize_veclen_8_cpy,4718592,2,13834
log_implementations_std_clang__no_vectorize_veclen_8_cpy,4718592,3,12450
log_implementations_std_clang__no_vectorize_veclen_8_cpy,4718592,4,14187
log_implementations_std_clang__no_vectorize_veclen_8_cpy,4718592,5,13083
log_implementations_std_clang__no_vectorize_veclen_8_cpy,4718592,6,13308
log_implementations_std_clang__no_vectorize_veclen_8_cpy,4718592,7,13267
log_implementations_std_clang__no_vectorize_veclen_8_cpy,4718592,8,13315
log_implementations_std_clang__no_vectorize_veclen_8_cpy,4718592,9,13007
log_implementations_std_clang__no_vectorize_veclen_8_cpy,4718592,10,12059
log_implementations_std_clang__no_vectorize_veclen_8_cpy,4718592,11,12452
log_implementations_std_clang__no_vectorize_veclen_8_cpy,4718592,12,12265
log_implementations_std_clang__no_vectorize_veclen_8_cpy,4718592,13,12958
log_implementations_std_clang__no_vectorize_veclen_8_cpy,4718592,14,12715
log_implementations_std_clang__no_vectorize_veclen_8_cpy,4718592,15,12646
log_implementations_std_clang__no_vectorize_veclen_8_cpy,4718592,16,14687
log_implementations_std_clang__no_vectorize_veclen_8_cpy,4718592,17,12375
log_implementations_std_clang__no_vectorize_veclen_8_cpy,4718592,18,12652
log_implementations_std_clang__no_vectorize_veclen_8_cpy,4718592,19,14414
log_implementations_std_clang__no_vectorize_veclen_16_no_cpy,4718592,0,10491
log_implementations_std_clang__no_vectorize_veclen_16_no_cpy,4718592,1,13943
