sdfg_name,size,rep,time_seconds
log_implementations_std,4718592,0,90498
log_implementations_std,4718592,1,90347
log_implementations_std,4718592,2,90396
log_implementations_std,4718592,3,90365
log_implementations_std,4718592,4,90367
log_implementations_std,4718592,5,90336
log_implementations_std,4718592,6,90363
log_implementations_std,4718592,7,90384
log_implementations_std,4718592,8,90323
log_implementations_std,4718592,9,90493
log_implementations_std,4718592,10,90359
log_implementations_std,4718592,11,90371
log_implementations_std,4718592,12,90320
log_implementations_std,4718592,13,90338
log_implementations_std,4718592,14,90584
log_implementations_std,4718592,15,90315
log_implementations_std,4718592,16,90398
log_implementations_std,4718592,17,90436
log_implementations_std,4718592,18,90420
log_implementations_std,4718592,19,90401
log_implementations_std_graceclang__veclen_8_no_cpy,4718592,0,90378
log_implementations_std_graceclang__veclen_8_no_cpy,4718592,1,90378
log_implementations_std_graceclang__veclen_8_no_cpy,4718592,2,90329
log_implementations_std_graceclang__veclen_8_no_cpy,4718592,3,90364
log_implementations_std_graceclang__veclen_8_no_cpy,4718592,4,90361
log_implementations_std_graceclang__veclen_8_no_cpy,4718592,5,90175
log_implementations_std_graceclang__veclen_8_no_cpy,4718592,6,90225
log_implementations_std_graceclang__veclen_8_no_cpy,4718592,7,90370
log_implementations_std_graceclang__veclen_8_no_cpy,4718592,8,90378
log_implementations_std_graceclang__veclen_8_no_cpy,4718592,9,90408
log_implementations_std_graceclang__veclen_8_no_cpy,4718592,10,90416
log_implementations_std_graceclang__veclen_8_no_cpy,4718592,11,90461
log_implementations_std_graceclang__veclen_8_no_cpy,4718592,12,90460
log_implementations_std_graceclang__veclen_8_no_cpy,4718592,13,90400
log_implementations_std_graceclang__veclen_8_no_cpy,4718592,14,90403
log_implementations_std_graceclang__veclen_8_no_cpy,4718592,15,90439
log_implementations_std_graceclang__veclen_8_no_cpy,4718592,16,90370
log_implementations_std_graceclang__veclen_8_no_cpy,4718592,17,90422
log_implementations_std_graceclang__veclen_8_no_cpy,4718592,18,90367
log_implementations_std_graceclang__veclen_8_no_cpy,4718592,19,90397
log_implementations_std_graceclang__veclen_8_cpy,4718592,0,91219
log_implementations_std_graceclang__veclen_8_cpy,4718592,1,91400
log_implementations_std_graceclang__veclen_8_cpy,4718592,2,91300
log_implementations_std_graceclang__veclen_8_cpy,4718592,3,91416
log_implementations_std_graceclang__veclen_8_cpy,4718592,4,90989
log_implementations_std_graceclang__veclen_8_cpy,4718592,5,91324
log_implementations_std_graceclang__veclen_8_cpy,4718592,6,91359
log_implementations_std_graceclang__veclen_8_cpy,4718592,7,91292
log_implementations_std_graceclang__veclen_8_cpy,4718592,8,91399
log_implementations_std_graceclang__veclen_8_cpy,4718592,9,90991
log_implementations_std_graceclang__veclen_8_cpy,4718592,10,91282
log_implementations_std_graceclang__veclen_8_cpy,4718592,11,91381
log_implementations_std_graceclang__veclen_8_cpy,4718592,12,91324
log_implementations_std_graceclang__veclen_8_cpy,4718592,13,91288
log_implementations_std_graceclang__veclen_8_cpy,4718592,14,91339
log_implementations_std_graceclang__veclen_8_cpy,4718592,15,91308
log_implementations_std_graceclang__veclen_8_cpy,4718592,16,91353
log_implementations_std_graceclang__veclen_8_cpy,4718592,17,91320
log_implementations_std_graceclang__veclen_8_cpy,4718592,18,91344
log_implementations_std_graceclang__veclen_8_cpy,4718592,19,91367
log_implementations_std_graceclang__veclen_16_no_cpy,4718592,0,90182
log_implementations_std_graceclang__veclen_16_no_cpy,4718592,1,90305
log_implementations_std_graceclang__veclen_16_no_cpy,4718592,2,90274
log_implementations_std_graceclang__veclen_16_no_cpy,4718592,3,90314
log_implementations_std_graceclang__veclen_16_no_cpy,4718592,4,90240
log_implementations_std_graceclang__veclen_16_no_cpy,4718592,5,90283
log_implementations_std_graceclang__veclen_16_no_cpy,4718592,6,90478
log_implementations_std_graceclang__veclen_16_no_cpy,4718592,7,90236
log_implementations_std_graceclang__veclen_16_no_cpy,4718592,8,90263
log_implementations_std_graceclang__veclen_16_no_cpy,4718592,9,90215
log_implementations_std_graceclang__veclen_16_no_cpy,4718592,10,90279
