sdfg_name,size,rep,time_seconds
division_by_zero,4194304,0,28013
division_by_zero,4194304,1,31319
division_by_zero,4194304,2,28050
division_by_zero,4194304,3,29215
division_by_zero,4194304,4,27584
division_by_zero,4194304,5,27697
division_by_zero,4194304,6,29789
division_by_zero,4194304,7,29040
division_by_zero,4194304,8,28970
division_by_zero,4194304,9,31418
division_by_zero,4194304,10,31558
division_by_zero,4194304,11,31268
division_by_zero,4194304,12,35268
division_by_zero,4194304,13,26066
division_by_zero,4194304,14,27544
division_by_zero,4194304,15,28078
division_by_zero,4194304,16,28272
division_by_zero,4194304,17,28069
division_by_zero,4194304,18,25718
division_by_zero,4194304,19,25611
division_by_zero_vectorized_static_veclen_8_no_cpy,4194304,0,25860
division_by_zero_vectorized_static_veclen_8_no_cpy,4194304,1,42199
division_by_zero_vectorized_static_veclen_8_no_cpy,4194304,2,34809
division_by_zero_vectorized_static_veclen_8_no_cpy,4194304,3,34410
division_by_zero_vectorized_static_veclen_8_no_cpy,4194304,4,33236
division_by_zero_vectorized_static_veclen_8_no_cpy,4194304,5,32961
division_by_zero_vectorized_static_veclen_8_no_cpy,4194304,6,34527
division_by_zero_vectorized_static_veclen_8_no_cpy,4194304,7,28205
division_by_zero_vectorized_static_veclen_8_no_cpy,4194304,8,26721
division_by_zero_vectorized_static_veclen_8_no_cpy,4194304,9,31673
division_by_zero_vectorized_static_veclen_8_no_cpy,4194304,10,26416
division_by_zero_vectorized_static_veclen_8_no_cpy,4194304,11,29468
division_by_zero_vectorized_static_veclen_8_no_cpy,4194304,12,30928
division_by_zero_vectorized_static_veclen_8_no_cpy,4194304,13,30412
division_by_zero_vectorized_static_veclen_8_no_cpy,4194304,14,9220
division_by_zero_vectorized_static_veclen_8_no_cpy,4194304,15,29507
division_by_zero_vectorized_static_veclen_8_no_cpy,4194304,16,29165
division_by_zero_vectorized_static_veclen_8_no_cpy,4194304,17,29277
division_by_zero_vectorized_static_veclen_8_no_cpy,4194304,18,22078
division_by_zero_vectorized_static_veclen_8_no_cpy,4194304,19,29749
division_by_zero_vectorized_static_veclen_8_cpy,4194304,0,45787
division_by_zero_vectorized_static_veclen_8_cpy,4194304,1,14896
division_by_zero_vectorized_static_veclen_8_cpy,4194304,2,28522
division_by_zero_vectorized_static_veclen_8_cpy,4194304,3,27200
division_by_zero_vectorized_static_veclen_8_cpy,4194304,4,27738
division_by_zero_vectorized_static_veclen_8_cpy,4194304,5,25693
division_by_zero_vectorized_static_veclen_8_cpy,4194304,6,26321
division_by_zero_vectorized_static_veclen_8_cpy,4194304,7,27681
division_by_zero_vectorized_static_veclen_8_cpy,4194304,8,27286
division_by_zero_vectorized_static_veclen_8_cpy,4194304,9,27847
division_by_zero_vectorized_static_veclen_8_cpy,4194304,10,28063
division_by_zero_vectorized_static_veclen_8_cpy,4194304,11,21539
division_by_zero_vectorized_static_veclen_8_cpy,4194304,12,28961
division_by_zero_vectorized_static_veclen_8_cpy,4194304,13,28195
division_by_zero_vectorized_static_veclen_8_cpy,4194304,14,29882
division_by_zero_vectorized_static_veclen_8_cpy,4194304,15,50321
division_by_zero_vectorized_static_veclen_8_cpy,4194304,16,32249
division_by_zero_vectorized_static_veclen_8_cpy,4194304,17,31706
division_by_zero_vectorized_static_veclen_8_cpy,4194304,18,36565
division_by_zero_vectorized_static_veclen_8_cpy,4194304,19,30045
