Kernel Name,VLSU Ports,Function Units,Vector Length,X_dim,Y_dim,Num Core Per Cluster,Num Vector Unit Per Cluster,Bank Width,Bank Num,Peak Performance (GFLOP/s),Peak Bandwidth (GB/s),Achieved Performance (GFLOP/s),Achieved Bandwidth (GB/s),Operational Intensity (FLOP/byte),Execution Time (us),Total FLOPs,Total Bytes
l1_cloud_fraction_update_no_scalar_add,64,64,8192,8192,2,1,1,32,32,128.0000,128.0000,51.01,51.01,0.1012,10287.3540,67993600,671744000
l1_cloud_fraction_update_no_scalar_add,8,8,8192,16384,2,1,1,32,32,16.0000,32.0000,67.63,67.63,0.1012,62079.3580,135987200,1343488000
l1_cloud_fraction_update_no_scalar_add,8,16,8192,16384,2,1,1,32,32,32.0000,32.0000,72.60,72.60,0.1012,57829.7580,135987200,1343488000
l1_cloud_fraction_update_no_scalar_add,8,32,8192,16384,2,1,1,32,32,64.0000,32.0000,73.12,73.12,0.1012,57420.1630,135987200,1343488000
l1_cloud_fraction_update_no_scalar_add,8,64,8192,16384,2,1,1,32,32,128.0000,32.0000,73.16,73.16,0.1012,57385.3630,135987200,1343488000
l1_cloud_fraction_update_no_scalar_add,16,8,8192,16384,2,1,1,32,32,16.0000,64.0000,51.47,51.47,0.1012,40783.5630,135987200,1343488000
l1_cloud_fraction_update_no_scalar_add,16,16,8192,16384,2,1,1,32,32,32.0000,64.0000,57.55,57.55,0.1012,36477.3630,135987200,1343488000
l1_cloud_fraction_update_no_scalar_add,16,32,8192,16384,2,1,1,32,32,64.0000,64.0000,58.19,58.19,0.1012,36072.7580,135987200,1343488000
l1_cloud_fraction_update_no_scalar_add,16,64,8192,16384,2,1,1,32,32,128.0000,64.0000,58.25,58.25,0.1012,36036.5630,135987200,1343488000
l1_cloud_fraction_update_no_scalar_add,8,8,8192,16384,2,2,1,32,32,16.0000,32.0000,67.63,67.63,0.1012,62078.6190,135987200,1343488000
l1_cloud_fraction_update_no_scalar_add,8,16,8192,16384,2,2,1,32,32,32.0000,32.0000,72.60,72.60,0.1012,57828.8710,135987200,1343488000
l1_cloud_fraction_update_no_scalar_add,8,32,8192,16384,2,2,1,32,32,64.0000,32.0000,73.11,73.11,0.1012,57429.6190,135987200,1343488000
l1_cloud_fraction_update_no_scalar_add,8,64,8192,16384,2,2,1,32,32,128.0000,32.0000,73.15,73.15,0.1012,57397.4710,135987200,1343488000
l1_cloud_fraction_update_no_scalar_add,16,8,8192,16384,2,2,1,32,32,16.0000,64.0000,51.47,51.47,0.1012,40787.0190,135987200,1343488000
l1_cloud_fraction_update_no_scalar_add,16,16,8192,16384,2,2,1,32,32,32.0000,64.0000,57.54,57.54,0.1012,36480.4710,135987200,1343488000
l1_cloud_fraction_update_no_scalar_add,16,32,8192,16384,2,2,1,32,32,64.0000,64.0000,58.18,58.18,0.1012,36078.6710,135987200,1343488000
l1_cloud_fraction_update_no_scalar_add,16,64,8192,16384,2,2,1,32,32,128.0000,64.0000,58.23,58.23,0.1012,36048.0190,135987200,1343488000
l1_cloud_fraction_update_no_scalar_add,8,8,8192,16384,2,4,1,32,32,16.0000,32.0000,67.63,67.63,0.1012,62082.2990,135987200,1343488000
