Kernel Name,VLSU Ports,Function Units,Vector Length,X_dim,Y_dim,Peak Performance (GFLOP/s),Peak Bandwidth (GB/s),Achieved Performance (GFLOP/s),Achieved Bandwidth (GB/s),Performance % of Peak,Bandwidth % of Peak,Operational Intensity (FLOP/byte),Execution Time (us),Total FLOPs,Total Bytes
l1_matrix_add,64,32,256,1024,2,64.0000,256.0000,7.2082,86.4990,33.79,33.79,0.0833,284.1190,2048000,24576000
l1_matrix_add,64,32,512,1024,2,64.0000,256.0000,8.1551,97.8613,38.23,38.23,0.0833,251.1310,2048000,24576000
l1_matrix_add,64,32,256,1024,4,64.0000,256.0000,6.4797,77.7568,30.37,30.37,0.0833,632.1250,4096000,49152000
l1_matrix_add,64,32,512,1024,4,64.0000,256.0000,8.9800,107.7599,42.09,42.09,0.0833,456.1250,4096000,49152000
l1_matrix_add,64,32,256,1024,8,64.0000,256.0000,7.7201,92.6415,36.19,36.19,0.0833,1061.1230,8192000,98304000
l1_matrix_add,64,32,512,1024,8,64.0000,256.0000,8.9910,107.8925,42.15,42.15,0.0833,911.1290,8192000,98304000
l1_matrix_add,64,32,256,2048,2,64.0000,256.0000,6.7244,80.6928,31.52,31.52,0.0833,609.1250,4096000,49152000
l1_matrix_add,64,32,512,2048,2,64.0000,256.0000,8.8062,105.6744,41.28,41.28,0.0833,465.1270,4096000,49152000
l1_matrix_add,64,32,1024,2048,2,64.0000,256.0000,10.4457,125.3481,48.96,48.96,0.0833,392.1240,4096000,49152000
l1_matrix_add,64,32,256,2048,4,64.0000,256.0000,6.3596,76.3156,29.81,29.81,0.0833,1288.1250,8192000,98304000
l1_matrix_add,64,32,512,2048,4,64.0000,256.0000,9.1010,109.2115,42.66,42.66,0.0833,900.1250,8192000,98304000
l1_matrix_add,64,32,1024,2048,4,64.0000,256.0000,10.5143,126.1720,49.29,49.29,0.0833,779.1270,8192000,98304000
l1_matrix_add,64,32,256,2048,8,64.0000,256.0000,7.9800,95.7605,37.41,37.41,0.0833,2053.1230,16384000,196608000
l1_matrix_add,64,32,512,2048,8,64.0000,256.0000,9.3243,111.8914,43.71,43.71,0.0833,1757.1320,16384000,196608000
l1_matrix_add,64,32,1024,2048,8,64.0000,256.0000,10.9290,131.1484,51.23,51.23,0.0833,1499.1260,16384000,196608000
l1_matrix_add,64,32,256,4096,2,64.0000,256.0000,7.9679,95.6154,37.35,37.35,0.0833,1028.1190,8192000,98304000
l1_matrix_add,64,32,512,4096,2,64.0000,256.0000,9.1110,109.3322,42.71,42.71,0.0833,899.1310,8192000,98304000
l1_matrix_add,64,32,1024,4096,2,64.0000,256.0000,11.5362,138.4343,54.08,54.08,0.0833,710.1130,8192000,98304000
l1_matrix_add,64,32,2048,4096,2,64.0000,256.0000,11.9743,143.6920,56.13,56.13,0.0833,684.1300,8192000,98304000
l1_matrix_add,64,32,256,4096,4,64.0000,256.0000,8.0467,96.5600,37.72,37.72,0.0833,2036.1230,16384000,196608000
l1_matrix_add,64,32,512,4096,4,64.0000,256.0000,9.2506,111.0073,43.36,43.36,0.0833,1771.1270,16384000,196608000
l1_matrix_add,64,32,1024,4096,4,64.0000,256.0000,11.6685,140.0220,54.70,54.70,0.0833,1404.1220,16384000,196608000
l1_matrix_add,64,32,2048,4096,4,64.0000,256.0000,12.2807,147.3684,57.57,57.57,0.0833,1334.1260,16384000,196608000
l1_matrix_add,64,32,256,4096,8,64.0000,256.0000,8.1167,97.4001,38.05,38.05,0.0833,4037.1230,32768000,393216000
l1_matrix_add,64,32,512,4096,8,64.0000,256.0000,9.4184,113.0213,44.15,44.15,0.0833,3479.1320,32768000,393216000
l1_matrix_add,64,32,1024,4096,8,64.0000,256.0000,10.8715,130.4577,50.96,50.96,0.0833,3014.1260,32768000,393216000
l1_matrix_add,64,32,2048,4096,8,64.0000,256.0000,12.5015,150.0178,58.60,58.60,0.0833,2621.1290,32768000,393216000
l1_matrix_add,64,32,256,8192,2,64.0000,256.0000,8.1104,97.3250,38.02,38.02,0.0833,2020.1190,16384000,196608000
l1_matrix_add,64,32,512,8192,2,64.0000,256.0000,9.2926,111.5107,43.56,43.56,0.0833,1763.1310,16384000,196608000
l1_matrix_add,64,32,1024,8192,2,64.0000,256.0000,10.8065,129.6779,50.66,50.66,0.0833,1516.1260,16384000,196608000
l1_matrix_add,64,32,2048,8192,2,64.0000,256.0000,12.3454,148.1451,57.87,57.87,0.0833,1327.1310,16384000,196608000
l1_matrix_add,64,32,4096,8192,2,64.0000,256.0000,13.0848,157.0175,61.33,61.33,0.0833,1252.1410,16384000,196608000
l1_matrix_add,64,32,256,8192,4,64.0000,256.0000,8.1510,97.8119,38.21,38.21,0.0833,4020.1230,32768000,393216000
l1_matrix_add,64,32,512,8192,4,64.0000,256.0000,9.3646,112.3755,43.90,43.90,0.0833,3499.1270,32768000,393216000
l1_matrix_add,64,32,1024,8192,4,64.0000,256.0000,10.8643,130.3713,50.93,50.93,0.0833,3016.1230,32768000,393216000
l1_matrix_add,64,32,2048,8192,4,64.0000,256.0000,12.4967,149.9606,58.58,58.58,0.0833,2622.1280,32768000,393216000
l1_matrix_add,64,32,4096,8192,4,64.0000,256.0000,13.1697,158.0363,61.73,61.73,0.0833,2488.1380,32768000,393216000
l1_matrix_add,64,32,256,16384,2,64.0000,256.0000,8.1836,98.2029,38.36,38.36,0.0833,4004.1190,32768000,393216000
l1_matrix_add,64,32,512,16384,2,64.0000,256.0000,9.7029,116.4349,45.48,45.48,0.0833,3377.1310,32768000,393216000
l1_matrix_add,64,32,1024,16384,2,64.0000,256.0000,10.9077,130.8920,51.13,51.13,0.0833,3004.1260,32768000,393216000
l1_matrix_add,64,32,2048,16384,2,64.0000,256.0000,12.6413,151.6961,59.26,59.26,0.0833,2592.1300,32768000,393216000
l1_matrix_add,64,32,4096,16384,2,64.0000,256.0000,13.4013,160.8162,62.82,62.82,0.0833,2445.1270,32768000,393216000
