,compiler,cluster,source_file,name,median_ns,mean_ns,variance_ns,impl,kernel,median_cpp_ns,median_kernel_ns,median_kernel_cpp_ns,num_impls,norm_runtime,speedup_over_median,norm_cpp_runtime,speedup_over_cpp_median
18,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s258,1000.0,1500.0,944444.4444444445,dace,s258,1200.0,1100.0,1200.0,2,0.9090909090909091,1.1,0.8333333333333334,1.2
19,intel,amd_epyc,runtimes_v7f_default.csv,dace_s258,1000.0,1700.0,1566666.6666666667,dace,s258,1200.0,1100.0,1200.0,2,0.9090909090909091,1.1,0.8333333333333334,1.2
20,intel,amd_epyc,runtimes_v7f_default.csv,cpp_s258,1200.0,1339.090909090909,104993.29090909092,cpp,s258,1200.0,1100.0,1200.0,2,1.0909090909090908,0.9166666666666666,1.0,1.0
21,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s258,1200.0,1305.4545454545455,114207.27272727275,cpp,s258,1200.0,1100.0,1200.0,2,1.0909090909090908,0.9166666666666666,1.0,1.0
22,llvm,amd_epyc,runtimes_v7f_default.csv,cpp_s258,1410.0,1444.4545454545455,97674.27272727272,cpp,s258,1410.0,1455.0,1410.0,2,0.9690721649484536,1.0319148936170213,1.0,1.0
23,llvm,amd_epyc,runtimes_v7f_default.csv,dace_s258,1500.0,1600.0,488888.888888889,dace,s258,1410.0,1455.0,1410.0,2,1.0309278350515463,0.97,1.0638297872340425,0.94
24,llvm,intel_xeon,runtimes_v7f_default.csv,cpp_s258,1530.0,2077.3636363636365,1868864.4545454544,cpp,s258,1530.0,1765.0,1530.0,2,0.8668555240793201,1.15359477124183,1.0,1.0
25,intel,intel_xeon,runtimes_v7f_default.csv,cpp_s258,1807.0,2232.818181818182,1546986.7636363632,cpp,s258,1807.0,1903.5,1807.0,2,0.9493039138429209,1.0534034311012728,1.0,1.0
26,intel,intel_xeon,runtimes_v7f_default.csv,dace_s258,2000.0,2636.3636363636365,1454545.4545454544,dace,s258,1807.0,1903.5,1807.0,2,1.050696086157079,0.95175,1.1068068622025458,0.9035
27,gcc,arm,runtimes_v8f_.csv,dace_s258,2000.0,2454.5454545454545,272727.2727272726,dace,s258,2560.0,2280.0,2560.0,2,0.8771929824561403,1.14,0.78125,1.28
28,graceclang,arm,runtimes_v8f_.csv,dace_s258,2000.0,2000.0,200000.0,dace,s258,2272.0,2056.0,2112.0,2,0.9727626459143969,1.028,0.946969696969697,1.056
29,llvm,intel_xeon,runtimes_v7f_default.csv,dace_s258,2000.0,2454.5454545454545,872727.2727272727,dace,s258,1530.0,1765.0,1530.0,2,1.13314447592068,0.8825,1.3071895424836601,0.765
30,graceclang,arm,runtimes_v8f_no_vectorize.csv,cpp_s258,2112.0,1931.6363636363637,394295.8545454545,cpp,s258,2112.0,2056.0,2112.0,2,1.027237354085603,0.9734848484848485,1.0,1.0
31,llvm,arm,runtimes_v8f_intrinsic_neon.csv,cpp_s258,2144.0,2181.818181818182,208449.16363636364,cpp,s258,2144.0,2144.0,2144.0,1,1.0,1.0,1.0,1.0
32,gcc,arm,runtimes_v8f_.csv,cpp_s258,2560.0,2141.090909090909,468470.69090909103,cpp,s258,2560.0,2280.0,2560.0,2,1.1228070175438596,0.890625,1.0,1.0
33,gcc,intel_xeon,runtimes_v7f_default.csv,cpp_s258,3354.0,3723.4545454545455,1705565.0727272728,cpp,s258,3354.0,4177.0,3354.0,2,0.8029686377783098,1.2453786523553965,1.0,1.0
34,gcc,intel_xeon,runtimes_v7f_default.csv,dace_s258,5000.0,4909.090909090909,290909.0909090909,dace,s258,3354.0,4177.0,3354.0,2,1.1970313622216902,0.8354,1.4907573047107932,0.6708
35,gcc,amd_epyc,runtimes_v7f_force_width_256.csv,cpp_s132,16970.0,19210.0,13762394.2,cpp,s132,16970.0,24485.0,16970.0,2,0.6930773943230549,1.4428403064230997,1.0,1.0
36,intel,amd_epyc,runtimes_v7f_default.csv,dace_s132,17000.0,18090.909090909092,5290909.09090909,dace,s132,62781.0,39890.5,62781.0,2,0.42616663115278075,2.3465,0.27078256160303277,3.693
37,llvm,amd_epyc,runtimes_v7f_default.csv,dace_s132,17000.0,17454.545454545456,3672727.2727272734,dace,s132,17010.0,17005.0,17010.0,2,0.9997059688326962,1.0002941176470588,0.9994121105232217,1.0005882352941176
38,llvm,amd_epyc,runtimes_v7f_default.csv,cpp_s132,17010.0,17848.272727272728,2466720.818181819,cpp,s132,17010.0,17005.0,17010.0,2,1.0002940311673036,0.9997060552616108,1.0,1.0
39,intel,intel_xeon,runtimes_v7f_default.csv,dace_s132,19000.0,18900.0,544444.4444444445,dace,s132,55948.0,37474.0,55948.0,2,0.5070181992848375,1.9723157894736842,0.33960105812540214,2.9446315789473685
40,llvm,intel_xeon,runtimes_v7f_default.csv,dace_s132,20000.0,22727.272727272728,22018181.81818182,dace,s132,29168.0,24584.0,29168.0,2,0.8135372600065083,1.2292,0.6856829402084477,1.4584
41,gcc,arm,runtimes_v8f_.csv,cpp_s132,21215.0,21066.81818181818,366784.1636363631,cpp,s132,21215.0,27607.5,21215.0,2,0.7684506021914335,1.3013198208814518,1.0,1.0
42,llvm,arm,runtimes_v8f_.csv,cpp_s132,21664.0,21838.0,76796.20000000022,cpp,s132,21664.0,21832.0,21664.0,2,0.9923048735800659,1.0077548005908419,1.0,1.0
43,llvm,arm,runtimes_v8f_.csv,dace_s132,22000.0,22200.0,1066666.6666666667,dace,s132,21664.0,21832.0,21664.0,2,1.007695126419934,0.9923636363636363,1.015509601181684,0.9847272727272727
44,graceclang,arm,runtimes_v8f_intrinsic_sve.csv,cpp_s132,22816.0,22719.18181818182,437926.5636363632,cpp,s132,22816.0,22816.0,22816.0,1,1.0,1.0,1.0,1.0
45,gcc,intel_xeon,runtimes_v7f_default.csv,cpp_s132,28960.0,29380.454545454544,156849381.6727273,cpp,s132,28960.0,53980.0,28960.0,2,0.536494998147462,1.863950276243094,1.0,1.0
46,llvm,intel_xeon,runtimes_v7f_default.csv,cpp_s132,29168.0,29473.909090909092,17709182.4909091,cpp,s132,29168.0,24584.0,29168.0,2,1.1864627399934917,0.8428414701042238,1.0,1.0
47,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s132,32000.0,33636.36363636364,6254545.454545451,dace,s132,16980.0,24485.0,16970.0,2,1.306922605676945,0.76515625,1.8856806128461991,0.5303125
48,graceclang,arm,runtimes_v8f_.csv,dace_s4116,33000.0,33500.0,944444.4444444448,dace,s4116,65533.0,49107.0,65214.0,2,0.672001954914778,1.4880909090909091,0.5060263133682952,1.9761818181818183
49,llvm,arm,runtimes_v8f_.csv,dace_s4116,33000.0,33600.0,711111.1111111102,dace,s4116,65949.0,49075.0,65150.0,2,0.6724401426388181,1.487121212121212,0.5065234075211051,1.9742424242424241
50,gcc,arm,runtimes_v8f_.csv,dace_s132,34000.0,36000.0,12200000.0,dace,s132,21215.0,27607.5,21215.0,2,1.2315493978085665,0.8119852941176471,1.6026396417629036,0.6239705882352942
51,llvm,intel_xeon,runtimes_v7f_default.csv,dace_s4116,36000.0,36090.90909090909,690909.090909092,dace,s4116,110100.0,73050.0,110100.0,2,0.4928131416837782,2.029166666666667,0.32697547683923706,3.058333333333333
52,llvm,amd_epyc,runtimes_v7f_default.csv,dace_s4116,39000.0,41363.63636363636,17454545.454545464,dace,s4116,152982.0,95991.0,152982.0,2,0.4062880895083914,2.461307692307692,0.2549319527787583,3.922615384615385
53,intel,amd_epyc,runtimes_v7f_default.csv,dace_s4116,47000.0,47909.09090909091,6290909.090909092,dace,s4116,153061.0,100030.5,153061.0,2,0.4698566937084189,2.128308510638298,0.30706711703177164,3.256617021276596
54,intel,intel_xeon,runtimes_v7f_default.csv,cpp_s132,55948.0,57338.27272727273,8582755.818181824,cpp,s132,55948.0,37474.0,55948.0,2,1.4929818007151625,0.669800529062701,1.0,1.0
55,intel,amd_epyc,runtimes_v7f_default.csv,cpp_s132,62781.0,63932.09090909091,4462705.490909094,cpp,s132,62781.0,39890.5,62781.0,2,1.5738333688472192,0.6353912808015164,1.0,1.0
56,gcc,arm,runtimes_v8f_intrinsic_neon.csv,dace_s4116,63000.0,63181.818181818184,763636.3636363635,dace,s4116,65310.0,64155.0,65310.0,2,0.9819967266775778,1.0183333333333333,0.9646302250803859,1.0366666666666666
57,llvm,arm,runtimes_v8f_intrinsic_sve.csv,cpp_s4116,65150.0,65362.181818181816,541420.9636363634,cpp,s4116,65150.0,49075.0,65150.0,2,1.3275598573611818,0.7532617037605526,1.0,1.0
58,graceclang,arm,runtimes_v8f_intrinsic_sve.csv,cpp_s4116,65214.0,65420.545454545456,310346.4727272734,cpp,s4116,65214.0,49107.0,65214.0,2,1.327998045085222,0.7530131566841476,1.0,1.0
59,gcc,arm,runtimes_v8f_intrinsic_neon.csv,cpp_s4116,65310.0,70504.90909090909,174947870.09090906,cpp,s4116,65310.0,64155.0,65310.0,2,1.0180032733224222,0.9823151125401929,1.0,1.0
60,intel,intel_xeon,runtimes_v7f_force_width_512.csv,dace_s4116,73000.0,70272.72727272728,558618181.818182,dace,s4116,116701.0,94850.5,116701.0,2,0.7696322106894534,1.2993219178082192,0.6255302011122441,1.5986438356164383
61,gcc,intel_xeon,runtimes_v7f_default.csv,dace_s132,79000.0,83727.27272727272,961618181.8181818,dace,s132,28960.0,53980.0,28960.0,2,1.463505001852538,0.6832911392405063,2.727900552486188,0.36658227848101266
62,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s4116,92000.0,93090.90909090909,5690909.090909095,dace,s4116,94521.0,93230.5,94461.0,2,0.9868015295423708,1.013375,0.9739469198928659,1.02675
63,gcc,amd_epyc,runtimes_v7f_force_width_256.csv,cpp_s4116,94461.0,96359.81818181818,31405158.763636358,cpp,s4116,94461.0,93230.5,94461.0,2,1.0131984704576291,0.9869734599464329,1.0,1.0
64,llvm,intel_xeon,runtimes_v7f_default.csv,cpp_s4116,110100.0,111820.36363636363,10110865.854545472,cpp,s4116,110100.0,73050.0,110100.0,2,1.5071868583162218,0.6634877384196185,1.0,1.0
