name,variant,runtime_us,vlen,cpy
benchmark_vector_intrinsics_strided_load_stride_2,dace,4674.0,None,None
benchmark_vector_intrinsics_strided_load_stride_2,dace,4695.0,None,None
benchmark_vector_intrinsics_strided_load_stride_2,dace,4636.0,None,None
benchmark_vector_intrinsics_strided_load_stride_2,dace,4651.0,None,None
benchmark_vector_intrinsics_strided_load_stride_2,dace,4712.0,None,None
benchmark_vector_intrinsics_strided_load_stride_2,dace,4736.0,None,None
benchmark_vector_intrinsics_strided_load_stride_2,dace,4722.0,None,None
benchmark_vector_intrinsics_strided_load_stride_2,dace,4635.0,None,None
benchmark_vector_intrinsics_strided_load_stride_2,dace,4655.0,None,None
benchmark_vector_intrinsics_strided_load_stride_2,dace,4732.0,None,None
benchmark_vector_intrinsics_strided_load_stride_3,dace,5273.0,None,None
benchmark_vector_intrinsics_strided_load_stride_3,dace,5311.0,None,None
benchmark_vector_intrinsics_strided_load_stride_3,dace,5303.0,None,None
benchmark_vector_intrinsics_strided_load_stride_3,dace,5278.0,None,None
benchmark_vector_intrinsics_strided_load_stride_3,dace,5304.0,None,None
benchmark_vector_intrinsics_strided_load_stride_3,dace,5285.0,None,None
benchmark_vector_intrinsics_strided_load_stride_3,dace,5305.0,None,None
benchmark_vector_intrinsics_strided_load_stride_3,dace,5426.0,None,None
benchmark_vector_intrinsics_strided_load_stride_3,dace,5354.0,None,None
benchmark_vector_intrinsics_strided_load_stride_3,dace,5295.0,None,None
benchmark_vector_intrinsics_strided_load_stride_4,dace,7805.0,None,None
benchmark_vector_intrinsics_strided_load_stride_4,dace,7519.0,None,None
benchmark_vector_intrinsics_strided_load_stride_4,dace,7511.0,None,None
benchmark_vector_intrinsics_strided_load_stride_4,dace,7497.0,None,None
benchmark_vector_intrinsics_strided_load_stride_4,dace,7750.0,None,None
benchmark_vector_intrinsics_strided_load_stride_4,dace,7589.0,None,None
benchmark_vector_intrinsics_strided_load_stride_4,dace,7540.0,None,None
benchmark_vector_intrinsics_strided_load_stride_4,dace,7549.0,None,None
benchmark_vector_intrinsics_strided_load_stride_4,dace,7716.0,None,None
benchmark_vector_intrinsics_strided_load_stride_4,dace,7504.0,None,None
benchmark_vector_intrinsics_strided_load_stride_5,dace,10744.0,None,None
benchmark_vector_intrinsics_strided_load_stride_5,dace,10751.0,None,None
benchmark_vector_intrinsics_strided_load_stride_5,dace,10777.0,None,None
benchmark_vector_intrinsics_strided_load_stride_5,dace,10771.0,None,None
benchmark_vector_intrinsics_strided_load_stride_5,dace,10838.0,None,None
benchmark_vector_intrinsics_strided_load_stride_5,dace,10776.0,None,None
benchmark_vector_intrinsics_strided_load_stride_5,dace,10804.0,None,None
benchmark_vector_intrinsics_strided_load_stride_5,dace,10775.0,None,None
benchmark_vector_intrinsics_strided_load_stride_5,dace,10750.0,None,None
benchmark_vector_intrinsics_strided_load_stride_5,dace,10819.0,None,None
benchmark_vector_intrinsics_strided_load_stride_6,dace,13199.0,None,None
benchmark_vector_intrinsics_strided_load_stride_6,dace,13201.0,None,None
benchmark_vector_intrinsics_strided_load_stride_6,dace,13178.0,None,None
benchmark_vector_intrinsics_strided_load_stride_6,dace,13250.0,None,None
benchmark_vector_intrinsics_strided_load_stride_6,dace,13277.0,None,None
benchmark_vector_intrinsics_strided_load_stride_6,dace,13210.0,None,None
benchmark_vector_intrinsics_strided_load_stride_6,dace,13205.0,None,None
benchmark_vector_intrinsics_strided_load_stride_6,dace,13435.0,None,None
benchmark_vector_intrinsics_strided_load_stride_6,dace,13159.0,None,None
benchmark_vector_intrinsics_strided_load_stride_6,dace,13241.0,None,None
benchmark_vector_intrinsics_strided_load_stride_7,dace,15748.0,None,None
benchmark_vector_intrinsics_strided_load_stride_7,dace,15786.0,None,None
benchmark_vector_intrinsics_strided_load_stride_7,dace,15724.0,None,None
benchmark_vector_intrinsics_strided_load_stride_7,dace,15697.0,None,None
benchmark_vector_intrinsics_strided_load_stride_7,dace,15771.0,None,None
benchmark_vector_intrinsics_strided_load_stride_7,dace,15780.0,None,None
benchmark_vector_intrinsics_strided_load_stride_7,dace,15719.0,None,None
benchmark_vector_intrinsics_strided_load_stride_7,dace,15835.0,None,None
benchmark_vector_intrinsics_strided_load_stride_7,dace,15774.0,None,None
benchmark_vector_intrinsics_strided_load_stride_7,dace,15710.0,None,None
benchmark_vector_intrinsics_strided_load_stride_8,dace,16655.0,None,None
benchmark_vector_intrinsics_strided_load_stride_8,dace,16640.0,None,None
benchmark_vector_intrinsics_strided_load_stride_8,dace,16696.0,None,None
benchmark_vector_intrinsics_strided_load_stride_8,dace,16741.0,None,None
benchmark_vector_intrinsics_strided_load_stride_8,dace,16653.0,None,None
benchmark_vector_intrinsics_strided_load_stride_8,dace,16691.0,None,None
benchmark_vector_intrinsics_strided_load_stride_8,dace,16723.0,None,None
benchmark_vector_intrinsics_strided_load_stride_8,dace,16665.0,None,None
benchmark_vector_intrinsics_strided_load_stride_8,dace,16742.0,None,None
benchmark_vector_intrinsics_strided_load_stride_8,dace,16672.0,None,None
benchmark_vector_intrinsics_strided_store_stride_2,dace,4452.0,None,None
benchmark_vector_intrinsics_strided_store_stride_2,dace,4544.0,None,None
benchmark_vector_intrinsics_strided_store_stride_2,dace,4494.0,None,None
benchmark_vector_intrinsics_strided_store_stride_2,dace,4461.0,None,None
benchmark_vector_intrinsics_strided_store_stride_2,dace,4462.0,None,None
benchmark_vector_intrinsics_strided_store_stride_2,dace,4566.0,None,None
benchmark_vector_intrinsics_strided_store_stride_2,dace,4541.0,None,None
benchmark_vector_intrinsics_strided_store_stride_2,dace,4594.0,None,None
benchmark_vector_intrinsics_strided_store_stride_2,dace,4468.0,None,None
benchmark_vector_intrinsics_strided_store_stride_2,dace,4505.0,None,None
benchmark_vector_intrinsics_strided_store_stride_2,dace_vec_8_w_cpy,5452.0,8,True
benchmark_vector_intrinsics_strided_store_stride_2,dace_vec_8_w_cpy,5469.0,8,True
benchmark_vector_intrinsics_strided_store_stride_2,dace_vec_8_w_cpy,5407.0,8,True
benchmark_vector_intrinsics_strided_store_stride_2,dace_vec_8_w_cpy,5495.0,8,True
benchmark_vector_intrinsics_strided_store_stride_2,dace_vec_8_w_cpy,5468.0,8,True
benchmark_vector_intrinsics_strided_store_stride_2,dace_vec_8_w_cpy,5466.0,8,True
benchmark_vector_intrinsics_strided_store_stride_2,dace_vec_8_w_cpy,5426.0,8,True
benchmark_vector_intrinsics_strided_store_stride_2,dace_vec_8_w_cpy,5504.0,8,True
benchmark_vector_intrinsics_strided_store_stride_2,dace_vec_8_w_cpy,5395.0,8,True
benchmark_vector_intrinsics_strided_store_stride_2,dace_vec_8_w_cpy,5520.0,8,True
benchmark_vector_intrinsics_strided_store_stride_2,dace_vec_8_no_cpy,5489.0,8,False
benchmark_vector_intrinsics_strided_store_stride_2,dace_vec_8_no_cpy,5644.0,8,False
benchmark_vector_intrinsics_strided_store_stride_2,dace_vec_8_no_cpy,5521.0,8,False
benchmark_vector_intrinsics_strided_store_stride_2,dace_vec_8_no_cpy,5487.0,8,False
benchmark_vector_intrinsics_strided_store_stride_2,dace_vec_8_no_cpy,5472.0,8,False
benchmark_vector_intrinsics_strided_store_stride_2,dace_vec_8_no_cpy,5534.0,8,False
benchmark_vector_intrinsics_strided_store_stride_2,dace_vec_8_no_cpy,5498.0,8,False
benchmark_vector_intrinsics_strided_store_stride_2,dace_vec_8_no_cpy,5487.0,8,False
benchmark_vector_intrinsics_strided_store_stride_2,dace_vec_8_no_cpy,5540.0,8,False
benchmark_vector_intrinsics_strided_store_stride_2,dace_vec_8_no_cpy,5555.0,8,False
benchmark_vector_intrinsics_strided_store_stride_2,dace_vec_16_w_cpy,5482.0,16,True
benchmark_vector_intrinsics_strided_store_stride_2,dace_vec_16_w_cpy,5453.0,16,True
benchmark_vector_intrinsics_strided_store_stride_2,dace_vec_16_w_cpy,5436.0,16,True
benchmark_vector_intrinsics_strided_store_stride_2,dace_vec_16_w_cpy,5398.0,16,True
